Date,HUBB
2010-01-04,34.05426788330078
2010-01-05,34.01151657104492
2010-01-06,33.97591018676758
2010-01-07,34.203834533691406
2010-01-08,34.32491683959961
2010-01-11,33.97591018676758
2010-01-12,34.0471305847168
2010-01-13,34.55284881591797
2010-01-14,34.66682434082031
2010-01-15,33.38471603393555
2010-01-19,34.040016174316406
2010-01-20,33.598392486572266
2010-01-21,32.45163345336914
2010-01-22,31.98863410949707
2010-01-25,32.15959548950195
2010-01-26,31.94591522216797
2010-01-27,32.031368255615234
2010-01-28,31.639625549316406
2010-01-29,30.67092514038086
2010-02-01,32.32340621948242
2010-02-02,32.31629180908203
2010-02-03,32.401771545410156
2010-02-04,31.618236541748047
2010-02-05,32.088340759277344
2010-02-08,31.760717391967773
2010-02-09,31.860424041748047
2010-02-10,31.52566146850586
2010-02-11,31.95302963256836
2010-02-12,32.6795539855957
2010-02-16,33.24225997924805
2010-02-17,33.284996032714844
2010-02-18,33.82633590698242
2010-02-19,34.032901763916016
2010-02-22,33.84768295288086
2010-02-23,33.14253234863281
2010-02-24,33.31348419189453
2010-02-25,33.96879196166992
2010-02-26,33.37046432495117
2010-03-01,34.032901763916016
2010-03-02,34.30356216430664
2010-03-03,34.63121032714844
2010-03-04,34.56662368774414
2010-03-05,35.11916732788086
2010-03-08,35.24116516113281
2010-03-09,35.06895446777344
2010-03-10,35.44927978515625
2010-03-11,35.44927978515625
2010-03-12,35.98747253417969
2010-03-15,35.765010833740234
2010-03-16,36.547203063964844
2010-03-17,36.26016616821289
2010-03-18,36.17406463623047
2010-03-19,36.4969482421875
2010-03-22,36.626136779785156
2010-03-23,36.64766311645508
2010-03-24,36.3964958190918
2010-03-25,36.145347595214844
2010-03-26,35.91569900512695
2010-03-29,36.10227584838867
2010-03-30,36.36779022216797
2010-03-31,36.18840026855469
2010-04-01,36.64048385620117
2010-04-05,37.0782356262207
2010-04-06,37.25044250488281
2010-04-07,37.01364517211914
2010-04-08,36.7624626159668
2010-04-09,36.94186782836914
2010-04-12,37.02797317504883
2010-04-13,37.135623931884766
2010-04-14,37.185848236083984
2010-04-15,37.68101119995117
2010-04-16,37.45137023925781
2010-04-19,36.949039459228516
2010-04-20,37.429832458496094
2010-04-21,37.32219696044922
2010-04-22,35.78654861450195
2010-04-23,34.92542266845703
2010-04-26,34.69579315185547
2010-04-27,33.698341369628906
2010-04-28,33.47587585449219
2010-04-29,34.39439392089844
2010-04-30,33.34671401977539
2010-05-03,34.9684944152832
2010-05-04,32.995079040527344
2010-05-05,32.64345932006836
2010-05-06,31.258525848388672
2010-05-07,30.942766189575195
2010-05-10,32.49994659423828
2010-05-11,32.60757827758789
2010-05-12,33.727027893066406
2010-05-13,33.80597686767578
2010-05-14,33.296478271484375
2010-05-17,33.1960334777832
2010-05-18,32.70088195800781
2010-05-19,32.03351974487305
2010-05-20,30.497854232788086
2010-05-21,30.914060592651367
2010-05-24,30.44761848449707
2010-05-25,30.146224975585938
2010-05-26,30.483510971069336
2010-05-27,31.287221908569336
2010-05-28,30.605514526367188
2010-06-01,30.46197509765625
2010-06-02,31.26568031311035
2010-06-03,31.19392967224121
2010-06-04,29.658267974853516
2010-06-07,29.242061614990234
2010-06-08,29.328166961669922
2010-06-09,29.42146873474121
2010-06-10,30.404560089111328
2010-06-11,30.46915054321289
2010-06-14,30.85664176940918
2010-06-15,31.724958419799805
2010-06-16,31.516836166381836
2010-06-17,31.45172882080078
2010-06-18,31.90031623840332
2010-06-21,31.82072639465332
2010-06-22,31.184019088745117
2010-06-23,30.66307258605957
2010-06-24,30.149362564086914
2010-06-25,30.402606964111328
2010-06-28,30.033601760864258
2010-06-29,28.69508934020996
2010-06-30,28.71677589416504
2010-07-01,28.15243911743164
2010-07-02,28.02944564819336
2010-07-06,27.826858520507812
2010-07-07,28.666141510009766
2010-07-08,29.389671325683594
2010-07-09,29.954017639160156
2010-07-12,29.447561264038086
2010-07-13,30.236202239990234
2010-07-14,30.330245971679688
2010-07-15,30.453262329101562
2010-07-16,29.628440856933594
2010-07-19,29.954017639160156
2010-07-20,30.489423751831055
2010-07-21,30.930782318115234
2010-07-22,32.76853561401367
2010-07-23,33.37630081176758
2010-07-26,34.27347183227539
2010-07-27,34.24455261230469
2010-07-28,34.2662467956543
2010-07-29,34.22282791137695
2010-07-30,34.143245697021484
2010-08-02,34.98252868652344
2010-08-03,34.87400436401367
2010-08-04,34.73653030395508
2010-08-05,35.293643951416016
2010-08-06,35.06936264038086
2010-08-09,35.271949768066406
2010-08-10,34.81612014770508
2010-08-11,33.303958892822266
2010-08-12,33.23882293701172
2010-08-13,32.76131057739258
2010-08-16,32.826416015625
2010-08-17,33.51377868652344
2010-08-18,33.651248931884766
2010-08-19,33.15924835205078
2010-08-20,32.88430404663086
2010-08-23,32.334434509277344
2010-08-24,32.146305084228516
2010-08-25,32.03778076171875
2010-08-26,32.4501953125
2010-08-27,33.021766662597656
2010-08-30,32.312713623046875
2010-08-31,32.544246673583984
2010-09-01,33.55718994140625
2010-09-02,34.01299285888672
2010-09-03,34.389251708984375
2010-09-07,33.82490539550781
2010-09-08,34.01299285888672
2010-09-09,34.143245697021484
2010-09-10,34.37478256225586
2010-09-13,34.84506607055664
2010-09-14,35.119998931884766
2010-09-15,35.170650482177734
2010-09-16,35.13447952270508
2010-09-17,35.460060119628906
2010-09-20,36.38616943359375
2010-09-21,35.98823165893555
2010-09-22,35.829078674316406
2010-09-23,35.829078674316406
2010-09-24,36.863990783691406
2010-09-27,36.6380615234375
2010-09-28,36.958740234375
