Date,AON
2010-01-04,32.125526428222656
2010-01-05,31.92229652404785
2010-01-06,31.913843154907227
2010-01-07,31.820693969726562
2010-01-08,32.08317184448242
2010-01-11,32.218658447265625
2010-01-12,32.167850494384766
2010-01-13,32.22711181640625
2010-01-14,31.97311782836914
2010-01-15,31.803756713867188
2010-01-19,32.03239059448242
2010-01-20,32.252532958984375
2010-01-21,32.34567642211914
2010-01-22,32.62508773803711
2010-01-25,32.96380615234375
2010-01-26,33.05693817138672
2010-01-27,33.175479888916016
2010-01-28,33.16698455810547
2010-01-29,33.06499481201172
2010-02-01,32.97148513793945
2010-02-02,33.54095458984375
2010-02-03,33.41347122192383
2010-02-04,32.98847579956055
2010-02-05,33.753475189208984
2010-02-08,33.702476501464844
2010-02-09,33.85548400878906
2010-02-10,33.69398498535156
2010-02-11,33.498477935791016
2010-02-12,33.83848571777344
2010-02-16,33.914981842041016
2010-02-17,34.23798751831055
2010-02-18,34.229461669921875
2010-02-19,34.48447799682617
2010-02-22,34.3909797668457
2010-02-23,34.501487731933594
2010-02-24,34.62898254394531
2010-02-25,34.841495513916016
2010-02-26,34.79897689819336
2010-03-01,34.83298873901367
2010-03-02,34.79897689819336
2010-03-03,34.7139778137207
2010-03-04,34.7139778137207
2010-03-05,35.24098587036133
2010-03-08,35.21546936035156
2010-03-09,35.113468170166016
2010-03-10,34.824493408203125
2010-03-11,35.12198257446289
2010-03-12,35.30898666381836
2010-03-15,35.61497497558594
2010-03-16,35.597984313964844
2010-03-17,35.71699142456055
2010-03-18,35.98897933959961
2010-03-19,36.25248336791992
2010-03-22,36.2864990234375
2010-03-23,36.45646667480469
2010-03-24,36.056983947753906
2010-03-25,36.20146179199219
2010-03-26,36.19298553466797
2010-03-29,36.4649772644043
2010-03-30,36.45646667480469
2010-03-31,36.3034782409668
2010-04-01,36.541481018066406
2010-04-05,36.490482330322266
2010-04-06,36.5584831237793
2010-04-07,36.6094856262207
2010-04-08,36.70296859741211
2010-04-09,36.668975830078125
2010-04-12,36.906978607177734
2010-04-13,36.8559684753418
2010-04-14,36.81348419189453
2010-04-15,36.89847183227539
2010-04-16,36.61797332763672
2010-04-19,36.838985443115234
2010-04-20,37.408477783203125
2010-04-21,37.501976013183594
2010-04-22,37.6209831237793
2010-04-23,37.467979431152344
2010-04-26,37.23846435546875
2010-04-27,36.575469970703125
2010-04-28,36.9494743347168
2010-04-29,37.52948760986328
2010-04-30,36.2159423828125
2010-05-03,36.173301696777344
2010-05-04,35.85771560668945
2010-05-05,35.83213806152344
2010-05-06,35.090065002441406
2010-05-07,35.081539154052734
2010-05-10,36.11359405517578
2010-05-11,36.164772033691406
2010-05-12,36.667999267578125
2010-05-13,36.18183517456055
2010-05-14,35.4909553527832
2010-05-17,35.69565963745117
2010-05-18,34.71477127075195
2010-05-19,34.50154113769531
2010-05-20,33.196529388427734
2010-05-21,33.8106575012207
2010-05-24,33.22212219238281
2010-05-25,33.07711410522461
2010-05-26,32.82124328613281
2010-05-27,33.78506088256836
2010-05-28,33.6656494140625
2010-06-01,32.949188232421875
2010-06-02,33.819175720214844
2010-06-03,33.955650329589844
2010-06-04,32.77006149291992
2010-06-07,32.77006149291992
2010-06-08,33.00887680053711
2010-06-09,32.241233825683594
2010-06-10,32.7188835144043
2010-06-11,32.91505432128906
2010-06-14,32.642120361328125
2010-06-15,33.478004455566406
2010-06-16,33.58889389038086
2010-06-17,33.82770919799805
2010-06-18,33.89594268798828
2010-06-21,33.74241638183594
2010-06-22,33.35006332397461
2010-06-23,33.21359634399414
2010-06-24,32.75299835205078
2010-06-25,33.02593994140625
2010-06-28,32.92360305786133
2010-06-29,32.17300033569336
2010-06-30,31.66122055053711
2010-07-01,31.37122917175293
2010-07-02,31.652700424194336
2010-07-06,31.763582229614258
2010-07-07,32.497108459472656
2010-07-08,32.59095001220703
2010-07-09,32.70180892944336
2010-07-12,30.38181495666504
2010-07-13,31.618600845336914
2010-07-14,31.644163131713867
2010-07-15,31.541833877563477
2010-07-16,30.91065216064453
2010-07-19,30.432994842529297
2010-07-20,30.697416305541992
2010-07-21,30.390365600585938
2010-07-22,31.106822967529297
2010-07-23,31.234771728515625
2010-07-26,31.396821975708008
2010-07-27,31.05564308166504
2010-07-28,31.26034164428711
2010-07-29,31.371685028076172
2010-07-30,32.262393951416016
2010-08-02,32.656368255615234
2010-08-03,32.37372970581055
2010-08-04,32.31379699707031
2010-08-05,32.5621452331543
2010-08-06,32.7163200378418
2010-08-09,33.12739562988281
2010-08-10,32.930416107177734
2010-08-11,31.971187591552734
2010-08-12,31.834171295166016
2010-08-13,31.61149024963379
2010-08-16,31.46592140197754
2010-08-17,32.0654182434082
2010-08-18,32.0654182434082
2010-08-19,31.654314041137695
2010-08-20,31.61149024963379
2010-08-23,31.620054244995117
2010-08-24,31.3203067779541
2010-08-25,31.243213653564453
2010-08-26,31.06337547302246
2010-08-27,31.834171295166016
2010-08-30,31.166147232055664
2010-08-31,31.03767967224121
2010-09-01,31.825593948364258
2010-09-02,32.37372970581055
2010-09-03,32.86192321777344
2010-09-07,32.18531036376953
2010-09-08,32.35660934448242
2010-09-09,32.59640121459961
2010-09-10,32.348045349121094
2010-09-13,32.69063186645508
2010-09-14,32.390865325927734
2010-09-15,32.348045349121094
2010-09-16,32.45081329345703
2010-09-17,32.64780807495117
2010-09-20,33.238739013671875
2010-09-21,33.230194091796875
2010-09-22,33.18735122680664
2010-09-23,32.75912857055664
2010-09-24,33.786869049072266
2010-09-27,33.786869049072266
2010-09-28,33.8896484375
