Date,ROST
2010-01-04,9.127828598022461
2010-01-05,9.294605255126953
2010-01-06,9.437864303588867
2010-01-07,9.824869155883789
2010-01-08,9.634573936462402
2010-01-11,9.68161678314209
2010-01-12,9.717964172363281
2010-01-13,9.82059383392334
2010-01-14,9.750036239624023
2010-01-15,9.596087455749512
2010-01-19,9.788520812988281
2010-01-20,9.677339553833008
2010-01-21,9.499870300292969
2010-01-22,9.371580123901367
2010-01-25,9.482766151428223
2010-01-26,9.664510726928711
2010-01-27,9.837696075439453
2010-01-28,9.841979026794434
2010-01-29,9.82059383392334
2010-02-01,9.942468643188477
2010-02-02,10.013028144836426
2010-02-03,9.878324508666992
2010-02-04,9.664510726928711
2010-02-05,9.829153060913086
2010-02-08,9.662368774414062
2010-02-09,9.737204551696777
2010-02-10,9.688029289245605
2010-02-11,9.878324508666992
2010-02-12,9.927502632141113
2010-02-16,9.96599006652832
2010-02-17,10.103303909301758
2010-02-18,10.105449676513672
2010-02-19,10.105449676513672
2010-02-22,10.116180419921875
2010-02-23,10.088282585144043
2010-02-24,10.32858657836914
2010-02-25,10.485207557678223
2010-02-26,10.495935440063477
2010-03-01,10.577468872070312
2010-03-02,10.5731782913208
2010-03-03,10.609652519226074
2010-03-04,10.955083847045898
2010-03-05,10.972241401672363
2010-03-08,11.111700057983398
2010-03-09,11.04519271850586
2010-03-10,11.171783447265625
2010-03-11,11.287637710571289
2010-03-12,11.354147911071777
2010-03-15,11.489317893981934
2010-03-16,11.63092041015625
2010-03-17,11.57728385925293
2010-03-18,11.188942909240723
2010-03-19,11.600885391235352
2010-03-22,11.733902931213379
2010-03-23,11.641644477844238
2010-03-24,11.495756149291992
2010-03-25,11.530082702636719
2010-03-26,11.502189636230469
2010-03-29,11.474296569824219
2010-03-30,11.431384086608887
2010-03-31,11.472153663635254
2010-04-01,11.46142292022705
2010-04-05,11.793981552124023
2010-04-06,11.73176383972168
2010-04-07,11.6159029006958
2010-04-08,12.038573265075684
2010-04-09,11.98922348022461
2010-04-12,12.017115592956543
2010-04-13,12.126540184020996
2010-04-14,12.107229232788086
2010-04-15,12.150139808654785
2010-04-16,12.105083465576172
2010-04-19,12.027847290039062
2010-04-20,12.16516399383545
2010-04-21,12.255270957946777
2010-04-22,12.529897689819336
2010-04-23,12.553497314453125
2010-04-26,12.529897689819336
2010-04-27,12.257417678833008
2010-04-28,12.075043678283691
2010-04-29,12.29174518585205
2010-04-30,12.014970779418945
2010-05-03,12.23381519317627
2010-05-04,11.8132905960083
2010-05-05,11.8004150390625
2010-05-06,11.345564842224121
2010-05-07,11.049482345581055
2010-05-10,11.555828094482422
2010-05-11,11.603028297424316
2010-05-12,11.641644477844238
2010-05-13,11.319817543029785
2010-05-14,11.21898078918457
2010-05-17,11.375600814819336
2010-05-18,11.109557151794434
2010-05-19,11.09882926940918
2010-05-20,11.216835975646973
2010-05-21,11.274764060974121
2010-05-24,11.221122741699219
2010-05-25,11.339126586914062
2010-05-26,11.176069259643555
2010-05-27,11.407787322998047
2010-05-28,11.242579460144043
2010-06-01,11.300507545471191
2010-06-02,11.671689987182617
2010-06-03,12.091300964355469
2010-06-04,11.755610466003418
2010-06-07,11.42852783203125
2010-06-08,11.749152183532715
2010-06-09,11.964341163635254
2010-06-10,12.366734504699707
2010-06-11,12.336609840393066
2010-06-14,12.259143829345703
2010-06-15,12.390406608581543
2010-06-16,12.362434387207031
2010-06-17,12.414079666137695
2010-06-18,12.332308769226074
2010-06-21,12.134337425231934
2010-06-22,11.893327713012695
2010-06-23,11.923453330993652
2010-06-24,11.848138809204102
2010-06-25,11.729789733886719
2010-06-28,11.764213562011719
2010-06-29,11.49093246459961
2010-06-30,11.467260360717773
2010-07-01,11.781435012817383
2010-07-02,11.675992012023926
2010-07-06,11.759916305541992
2010-07-07,11.910543441772461
2010-07-08,11.626495361328125
2010-07-09,11.639410018920898
2010-07-12,11.566245079040527
2010-07-13,11.684601783752441
2010-07-14,11.66523265838623
2010-07-15,11.79004192352295
2010-07-16,11.415613174438477
2010-07-19,11.488778114318848
2010-07-20,11.706117630004883
2010-07-21,11.505993843078613
2010-07-22,11.802949905395508
2010-07-23,11.975099563598633
2010-07-26,12.024588584899902
2010-07-27,11.648014068603516
2010-07-28,11.458650588989258
2010-07-29,11.262831687927246
2010-07-30,11.331692695617676
2010-08-02,11.32953929901123
2010-08-03,11.174606323242188
2010-08-04,11.385488510131836
2010-08-05,10.892715454101562
2010-08-06,10.806636810302734
2010-08-09,11.056254386901855
2010-08-10,10.972333908081055
2010-08-11,10.716259956359863
2010-08-12,10.677526473999023
2010-08-13,10.550567626953125
2010-08-16,10.63233757019043
2010-08-17,10.688287734985352
2010-08-18,10.955119132995605
2010-08-19,10.81954574584961
2010-08-20,10.718416213989258
2010-08-23,10.875500679016113
2010-08-24,10.677526473999023
2010-08-25,10.935749053955078
2010-08-26,10.795879364013672
2010-08-27,10.963722229003906
2010-08-30,10.836762428283691
2010-08-31,10.713715553283691
2010-09-01,11.031049728393555
2010-09-02,11.268509864807129
2010-09-03,11.354859352111816
2010-09-07,11.13466739654541
2010-09-08,11.175684928894043
2010-09-09,11.171363830566406
2010-09-10,11.25771427154541
2010-09-13,11.426095962524414
2010-09-14,11.581520080566406
2010-09-15,11.67003059387207
2010-09-16,11.65492057800293
2010-09-17,11.637650489807129
2010-09-20,11.771490097045898
2010-09-21,11.633332252502441
2010-09-22,11.842731475830078
2010-09-23,12.065077781677246
2010-09-24,12.183804512023926
2010-09-27,11.96577262878418
2010-09-28,12.12120246887207
