Date,C
2010-01-04,25.378507614135742
2010-01-05,26.348875045776367
2010-01-06,27.16993522644043
2010-01-07,27.244579315185547
2010-01-08,26.796730041503906
2010-01-11,27.09530258178711
2010-01-12,26.27423095703125
2010-01-13,26.12495231628418
2010-01-14,26.1995792388916
2010-01-15,25.527809143066406
2010-01-19,26.423507690429688
2010-01-20,25.82636833190918
2010-01-21,24.408161163330078
2010-01-22,24.258872985839844
2010-01-25,24.109590530395508
2010-01-26,23.5124454498291
2010-01-27,23.885663986206055
2010-01-28,24.184234619140625
2010-01-29,24.781370162963867
2010-02-01,24.930660247802734
2010-02-02,25.45314598083496
2010-02-03,25.154584884643555
2010-02-04,23.736379623413086
2010-02-05,24.03494644165039
2010-02-08,23.5124454498291
2010-02-09,23.736379623413086
2010-02-10,23.885663986206055
2010-02-11,23.960302352905273
2010-02-12,23.736379623413086
2010-02-16,24.706724166870117
2010-02-17,25.45314598083496
2010-02-18,25.602453231811523
2010-02-19,25.527809143066406
2010-02-22,25.82636833190918
2010-02-23,25.00530242919922
2010-02-24,25.751726150512695
2010-02-25,25.303871154785156
2010-02-26,25.378507614135742
2010-03-01,25.303871154785156
2010-03-02,25.378507614135742
2010-03-03,25.378507614135742
2010-03-04,25.602453231811523
2010-03-05,26.12495231628418
2010-03-08,26.572792053222656
2010-03-09,28.513505935668945
2010-03-10,29.558513641357422
2010-03-11,31.200651168823242
2010-03-12,29.633159637451172
2010-03-15,29.036001205444336
2010-03-16,30.230283737182617
2010-03-17,30.230283737182617
2010-03-18,30.006362915039062
2010-03-19,29.110647201538086
2010-03-22,30.15565299987793
2010-03-23,30.827436447143555
2010-03-24,30.976715087890625
2010-03-25,31.872426986694336
2010-03-26,32.17100524902344
2010-03-29,31.200651168823242
2010-03-30,30.528867721557617
2010-03-31,30.230283737182617
2010-04-01,31.200651168823242
2010-04-05,31.797788619995117
2010-04-06,32.021728515625
2010-04-07,32.54420852661133
2010-04-08,33.36529541015625
2010-04-09,33.96243667602539
2010-04-12,34.63420486450195
2010-04-13,34.484920501708984
2010-04-14,36.798828125
2010-04-15,35.90312957763672
2010-04-16,34.037071228027344
2010-04-19,36.42564392089844
2010-04-20,37.09741973876953
2010-04-21,36.798828125
2010-04-22,36.35099792480469
2010-04-23,36.2763557434082
2010-04-26,34.410274505615234
2010-04-27,32.394920349121094
2010-04-28,33.21599578857422
2010-04-29,34.037071228027344
2010-04-30,32.618858337402344
2010-05-03,32.91743469238281
2010-05-04,31.797788619995117
2010-05-05,31.200651168823242
2010-05-06,30.15565299987793
2010-05-07,29.857070922851562
2010-05-10,31.499217987060547
2010-05-11,31.126008987426758
2010-05-12,31.200651168823242
2010-05-13,30.528867721557617
2010-05-14,29.707782745361328
2010-05-17,28.812088012695312
2010-05-18,27.84173011779785
2010-05-19,28.438865661621094
2010-05-20,27.09530258178711
2010-05-21,27.991018295288086
2010-05-24,28.21493911743164
2010-05-25,28.21493911743164
2010-05-26,28.812088012695312
2010-05-27,30.006362915039062
2010-05-28,29.558513641357422
2010-06-01,28.7374324798584
2010-06-02,29.25993537902832
2010-06-03,29.558513641357422
2010-06-04,28.289588928222656
2010-06-07,27.16993522644043
2010-06-08,27.767078399658203
2010-06-09,28.886720657348633
2010-06-10,29.110647201538086
2010-06-11,28.961362838745117
2010-06-14,28.961362838745117
2010-06-15,29.782432556152344
2010-06-16,29.782432556152344
2010-06-17,29.558513641357422
2010-06-18,29.93172836303711
2010-06-21,30.006362915039062
2010-06-22,29.40922737121582
2010-06-23,29.036001205444336
2010-06-24,28.21493911743164
2010-06-25,29.40922737121582
2010-06-28,29.857070922851562
2010-06-29,27.84173011779785
2010-06-30,28.065649032592773
2010-07-01,28.21493911743164
2010-07-02,28.289588928222656
2010-07-06,28.289588928222656
2010-07-07,29.110647201538086
2010-07-08,29.633159637451172
2010-07-09,30.15565299987793
2010-07-12,30.678150177001953
2010-07-13,32.09634780883789
2010-07-14,31.42458152770996
2010-07-15,31.051361083984375
2010-07-16,29.110647201538086
2010-07-19,29.707782745361328
2010-07-20,29.782432556152344
2010-07-21,29.40922737121582
2010-07-22,30.528867721557617
2010-07-23,30.006362915039062
2010-07-26,30.976715087890625
2010-07-27,31.051361083984375
2010-07-28,30.528867721557617
2010-07-29,30.75278091430664
2010-07-30,30.6035099029541
2010-08-02,31.275287628173828
2010-08-03,30.827436447143555
2010-08-04,30.902080535888672
2010-08-05,30.6035099029541
2010-08-06,30.304927825927734
2010-08-09,30.4542293548584
2010-08-10,29.857070922851562
2010-08-11,28.7374324798584
2010-08-12,28.886720657348633
2010-08-13,28.961362838745117
2010-08-16,28.886720657348633
2010-08-17,28.7374324798584
2010-08-18,28.812088012695312
2010-08-19,28.289588928222656
2010-08-20,27.991018295288086
2010-08-23,27.991018295288086
2010-08-24,27.692447662353516
2010-08-25,27.468515396118164
2010-08-26,27.31922149658203
2010-08-27,28.065649032592773
2010-08-30,27.393861770629883
2010-08-31,27.692447662353516
2010-09-01,28.7374324798584
2010-09-02,28.961362838745117
2010-09-03,29.185287475585938
2010-09-07,28.588150024414062
2010-09-08,28.662796020507812
2010-09-09,29.185287475585938
2010-09-10,29.185287475585938
2010-09-13,29.782432556152344
2010-09-14,29.40922737121582
2010-09-15,29.25993537902832
2010-09-16,29.633159637451172
2010-09-17,29.483863830566406
2010-09-20,29.782432556152344
2010-09-21,29.40922737121582
2010-09-22,28.961362838745117
2010-09-23,28.36423110961914
2010-09-24,29.110647201538086
2010-09-27,28.886720657348633
2010-09-28,28.961362838745117
