Date,NTRS
2010-01-04,35.36881637573242
2010-01-05,35.32168960571289
2010-01-06,34.80997848510742
2010-01-07,35.139888763427734
2010-01-08,35.29473114013672
2010-01-11,34.36558532714844
2010-01-12,34.30499267578125
2010-01-13,34.70896911621094
2010-01-14,34.5406379699707
2010-01-15,34.70896911621094
2010-01-19,35.301483154296875
2010-01-20,37.32813262939453
2010-01-21,36.028648376464844
2010-01-22,35.059085845947266
2010-01-25,35.005218505859375
2010-01-26,34.29151916503906
2010-01-27,35.34188461303711
2010-01-28,34.73588943481445
2010-01-29,34.015464782714844
2010-02-01,35.12641525268555
2010-02-02,35.09275436401367
2010-02-03,34.74937057495117
2010-02-04,33.59127426147461
2010-02-05,34.028934478759766
2010-02-08,33.65861511230469
2010-02-09,33.71921920776367
2010-02-10,34.04240798950195
2010-02-11,33.89427185058594
2010-02-12,33.67207336425781
2010-02-16,34.331912994384766
2010-02-17,34.90422439575195
2010-02-18,35.32841491699219
2010-02-19,36.76255416870117
2010-02-22,36.79621505737305
2010-02-23,35.99500274658203
2010-02-24,36.062320709228516
2010-02-25,35.75932693481445
2010-02-26,35.88054275512695
2010-03-01,35.98152160644531
2010-03-02,35.96132278442383
2010-03-03,35.99500274658203
2010-03-04,36.19697570800781
2010-03-05,36.95782470703125
2010-03-08,37.154075622558594
2010-03-09,37.086402893066406
2010-03-10,36.565303802490234
2010-03-11,36.57883834838867
2010-03-12,36.52468490600586
2010-03-15,36.720951080322266
2010-03-16,37.093162536621094
2010-03-17,37.763153076171875
2010-03-18,37.6413459777832
2010-03-19,37.52627182006836
2010-03-22,37.64809799194336
2010-03-23,37.75639343261719
2010-03-24,37.330039978027344
2010-03-25,37.884979248046875
2010-03-26,37.45862579345703
2010-03-29,37.3503303527832
2010-03-30,36.98487854003906
2010-03-31,37.3977165222168
2010-04-01,38.33163070678711
2010-04-05,38.6903190612793
2010-04-06,38.87981033325195
2010-04-07,38.514366149902344
2010-04-08,39.13022232055664
2010-04-09,39.258792877197266
2010-04-12,39.77312088012695
2010-04-13,39.942325592041016
2010-04-14,39.90172576904297
2010-04-15,39.69192886352539
2010-04-16,38.839202880859375
2010-04-19,39.50242614746094
2010-04-20,37.47216033935547
2010-04-21,37.039031982421875
2010-04-22,37.64809799194336
2010-04-23,38.10831069946289
2010-04-26,37.43154525756836
2010-04-27,36.77510070800781
2010-04-28,36.79539108276367
2010-04-29,37.66166305541992
2010-04-30,37.208229064941406
2010-05-03,37.154075622558594
2010-05-04,36.4908561706543
2010-05-05,36.49760818481445
2010-05-06,34.968135833740234
2010-05-07,35.056121826171875
2010-05-10,37.29619598388672
2010-05-11,36.84952926635742
2010-05-12,37.45183563232422
2010-05-13,36.73447036743164
2010-05-14,35.990047454833984
2010-05-17,36.42316818237305
2010-05-18,35.72610855102539
2010-05-19,35.4283332824707
2010-05-20,33.9056282043457
2010-05-21,35.110260009765625
2010-05-24,34.27784729003906
2010-05-25,34.3658332824707
2010-05-26,34.162811279296875
2010-05-27,35.17117691040039
2010-05-28,34.38613510131836
2010-06-01,33.71614456176758
2010-06-02,34.58916473388672
2010-06-03,34.467350006103516
2010-06-04,33.17472457885742
2010-06-07,32.82282257080078
2010-06-08,33.394588470458984
2010-06-09,33.1835823059082
2010-06-10,33.694095611572266
2010-06-11,33.98679733276367
2010-06-14,33.58518600463867
2010-06-15,34.55176544189453
2010-06-16,34.93294906616211
2010-06-17,34.64706039428711
2010-06-18,34.23865509033203
2010-06-21,33.619224548339844
2010-06-22,33.088279724121094
2010-06-23,32.979366302490234
2010-06-24,32.291873931884766
2010-06-25,32.972564697265625
2010-06-28,32.87727355957031
2010-06-29,32.27826690673828
2010-06-30,31.78815269470215
2010-07-01,31.69968032836914
2010-07-02,31.182361602783203
2010-07-06,31.284452438354492
2010-07-07,33.44904708862305
2010-07-08,32.60499954223633
2010-07-09,33.03382873535156
2010-07-12,33.41500473022461
2010-07-13,34.12974166870117
2010-07-14,33.884700775146484
2010-07-15,33.85065841674805
2010-07-16,32.91811752319336
2010-07-19,33.05424880981445
2010-07-20,33.571571350097656
2010-07-21,32.101280212402344
2010-07-22,31.971961975097656
2010-07-23,32.33952331542969
2010-07-26,32.82282257080078
2010-07-27,32.85005187988281
2010-07-28,32.42802047729492
2010-07-29,32.32592010498047
2010-07-30,31.98556900024414
2010-08-02,33.02702713012695
2010-08-03,32.89088439941406
2010-08-04,33.02021408081055
2010-08-05,33.42863464355469
2010-08-06,33.06106948852539
2010-08-09,33.34013748168945
2010-08-10,33.44904708862305
2010-08-11,33.42182159423828
2010-08-12,34.16377639770508
2010-08-13,33.619224548339844
2010-08-16,33.78258514404297
2010-08-17,34.374786376953125
2010-08-18,33.905120849609375
2010-08-19,32.87727355957031
2010-08-20,32.88407516479492
2010-08-23,32.482479095458984
2010-08-24,31.95153045654297
2010-08-25,31.652042388916016
2010-08-26,31.216392517089844
2010-08-27,32.02642822265625
2010-08-30,31.202774047851562
2010-08-31,31.400175094604492
2010-09-01,32.26465606689453
2010-09-02,32.14211654663086
2010-09-03,33.25844955444336
2010-09-07,32.47566604614258
2010-09-08,32.74956512451172
2010-09-09,32.82485580444336
2010-09-10,32.66054153442383
2010-09-13,33.53696823120117
2010-09-14,33.28361892700195
2010-09-15,33.331565856933594
2010-09-16,33.721839904785156
2010-09-17,33.578041076660156
2010-09-20,33.87931823730469
2010-09-21,33.16722106933594
2010-09-22,32.55097961425781
2010-09-23,32.16069793701172
2010-09-24,33.304161071777344
2010-09-27,32.84541320800781
2010-09-28,32.934425354003906
