Date,CNP
2010-01-04,8.109891891479492
2010-01-05,8.048452377319336
2010-01-06,7.970256328582764
2010-01-07,8.048452377319336
2010-01-08,7.9534993171691895
2010-01-11,8.009359359741211
2010-01-12,8.059622764587402
2010-01-13,8.126644134521484
2010-01-14,8.16574478149414
2010-01-15,8.160160064697266
2010-01-19,8.27745246887207
2010-01-20,8.299790382385254
2010-01-21,8.132233619689941
2010-01-22,7.931160926818848
2010-01-25,8.003768920898438
2010-01-26,7.931160926818848
2010-01-27,7.864134311676025
2010-01-28,7.875305652618408
2010-01-29,7.7915263175964355
2010-02-01,7.964670181274414
2010-02-02,8.07638168334961
2010-02-03,8.031692504882812
2010-02-04,7.7580156326293945
2010-02-05,7.774771213531494
2010-02-08,7.679821968078613
2010-02-09,7.825035572052002
2010-02-10,7.7245049476623535
2010-02-11,7.783987045288086
2010-02-12,7.732999801635742
2010-02-16,7.902954578399658
2010-02-17,7.965274810791016
2010-02-18,8.152226448059082
2010-02-19,8.231535911560059
2010-02-22,8.186214447021484
2010-02-23,8.106903076171875
2010-02-24,8.050253868103027
2010-02-25,7.987936019897461
2010-02-26,7.580041885375977
2010-03-01,7.704673767089844
2010-03-02,7.834971904754639
2010-03-03,7.800983905792236
2010-03-04,7.942613124847412
2010-03-05,7.936950206756592
2010-03-08,8.01625919342041
2010-03-09,7.993597984313965
2010-03-10,7.999265193939209
2010-03-11,8.089910507202148
2010-03-12,8.067245483398438
2010-03-15,8.061579704284668
2010-03-16,8.17488956451416
2010-03-17,8.191883087158203
2010-03-18,8.163555145263672
2010-03-19,8.17488956451416
2010-03-22,8.089910507202148
2010-03-23,8.101238250732422
2010-03-24,8.038918495178223
2010-03-25,8.00493049621582
2010-03-26,8.038918495178223
2010-03-29,8.19754695892334
2010-03-30,8.18055248260498
2010-03-31,8.13523006439209
2010-04-01,8.214540481567383
2010-04-05,8.293856620788574
2010-04-06,8.350509643554688
2010-04-07,8.19754695892334
2010-04-08,8.14089584350586
2010-04-09,8.214540481567383
2010-04-12,8.231535911560059
2010-04-13,8.214540481567383
2010-04-14,8.225873947143555
2010-04-15,8.282526016235352
2010-04-16,8.112566947937012
2010-04-19,8.072914123535156
2010-04-20,8.13523006439209
2010-04-21,8.14655876159668
2010-04-22,8.13523006439209
2010-04-23,8.25419807434082
2010-04-26,8.24286937713623
2010-04-27,8.033257484436035
2010-04-28,8.1239013671875
2010-04-29,8.152226448059082
2010-04-30,8.13523006439209
2010-05-03,8.25419807434082
2010-05-04,8.1239013671875
2010-05-05,8.14655876159668
2010-05-06,7.863299369812012
2010-05-07,7.78965425491333
2010-05-10,8.010598182678223
2010-05-11,8.033257484436035
2010-05-12,8.208456039428711
2010-05-13,8.185479164123535
2010-05-14,8.128033638000488
2010-05-17,8.145269393920898
2010-05-18,8.030385971069336
2010-05-19,7.904011249542236
2010-05-20,7.622547626495361
2010-05-21,7.657011032104492
2010-05-24,7.582337379455566
2010-05-25,7.501917839050293
2010-05-26,7.553614139556885
2010-05-27,7.766151428222656
2010-05-28,7.823592185974121
2010-06-01,7.6282877922058105
2010-06-02,7.800615310668945
2010-06-03,7.881040573120117
2010-06-04,7.582337379455566
2010-06-07,7.634036540985107
2010-06-08,7.657011032104492
2010-06-09,7.410008907318115
2010-06-10,7.559356689453125
2010-06-11,7.622547626495361
2010-06-14,7.662755966186523
2010-06-15,7.812103748321533
2010-06-16,7.915496826171875
2010-06-17,8.01314926147461
2010-06-18,8.047618865966797
2010-06-21,8.036127090454102
2010-06-22,7.835079193115234
2010-06-23,7.766151428222656
2010-06-24,7.777636528015137
2010-06-25,7.766151428222656
2010-06-28,7.881040573120117
2010-06-29,7.645523548126221
2010-06-30,7.559356689453125
2010-07-01,7.501917839050293
2010-07-02,7.484686374664307
2010-07-06,7.605311870574951
2010-07-07,7.875289440155029
2010-07-08,8.024641990661621
2010-07-09,8.070594787597656
2010-07-12,8.08208179473877
2010-07-13,8.151009559631348
2010-07-14,8.145269393920898
2010-07-15,8.214198112487793
2010-07-16,8.001666069030762
2010-07-19,8.070594787597656
2010-07-20,8.13952350616455
2010-07-21,7.990175247192383
2010-07-22,8.151009559631348
2010-07-23,8.185479164123535
2010-07-26,8.27164077758789
2010-07-27,8.386526107788086
2010-07-28,8.352055549621582
2010-07-29,8.23143196105957
2010-07-30,8.173986434936523
2010-08-02,8.346312522888184
2010-08-03,8.306106567382812
2010-08-04,8.461195945739746
2010-08-05,8.50715160369873
2010-08-06,8.524382591247559
2010-08-09,8.593315124511719
2010-08-10,8.650757789611816
2010-08-11,8.466944694519043
2010-08-12,8.429106712341309
2010-08-13,8.440744400024414
2010-08-16,8.440744400024414
2010-08-17,8.603739738464355
2010-08-18,8.56881332397461
2010-08-19,8.434924125671387
2010-08-20,8.469854354858398
2010-08-23,8.469854354858398
2010-08-24,8.539710998535156
2010-08-25,8.597918510437012
2010-08-26,8.510602951049805
2010-08-27,8.70852279663086
2010-08-30,8.539710998535156
2010-08-31,8.609563827514648
2010-09-01,8.801664352416992
2010-09-02,8.766736030578613
2010-09-03,8.883160591125488
2010-09-07,8.8889799118042
2010-09-08,8.766736030578613
2010-09-09,8.85405445098877
2010-09-10,8.848234176635742
2010-09-13,8.883160591125488
2010-09-14,8.877335548400879
2010-09-15,8.801664352416992
2010-09-16,8.72598648071289
2010-09-17,8.749271392822266
2010-09-20,8.953015327453613
2010-09-21,8.941370010375977
2010-09-22,8.970474243164062
2010-09-23,8.871515274047852
2010-09-24,9.110184669494629
2010-09-27,9.150938034057617
