Date,FDS
2010-01-04,56.299259185791016
2010-01-05,56.831172943115234
2010-01-06,56.95783615112305
2010-01-07,57.43909454345703
2010-01-08,57.56573486328125
2010-01-11,56.67076873779297
2010-01-12,56.231719970703125
2010-01-13,57.363094329833984
2010-01-14,56.64544677734375
2010-01-15,56.409034729003906
2010-01-19,56.594764709472656
2010-01-20,55.53936004638672
2010-01-21,54.62749481201172
2010-01-22,53.92671585083008
2010-01-25,53.54677963256836
2010-01-26,53.994266510009766
2010-01-27,54.64439392089844
2010-01-28,53.757850646972656
2010-01-29,53.19217300415039
2010-02-01,53.83383560180664
2010-02-02,54.585304260253906
2010-02-03,54.10403060913086
2010-02-04,52.50825500488281
2010-02-05,53.065494537353516
2010-02-08,52.60957336425781
2010-02-09,53.26814270019531
2010-02-10,53.2765998840332
2010-02-11,54.31511306762695
2010-02-12,54.79637145996094
2010-02-16,55.11721420288086
2010-02-17,55.59846878051758
2010-02-18,55.14252471923828
2010-02-19,55.05809783935547
2010-02-22,55.074989318847656
2010-02-23,54.880794525146484
2010-02-24,56.100379943847656
2010-02-25,56.02415466308594
2010-02-26,56.066497802734375
2010-03-01,57.252166748046875
2010-03-02,58.24309539794922
2010-03-03,58.87828826904297
2010-03-04,58.44635772705078
2010-03-05,59.538902282714844
2010-03-08,59.49656295776367
2010-03-09,60.13175964355469
2010-03-10,60.267242431640625
2010-03-11,60.478965759277344
2010-03-12,60.284202575683594
2010-03-15,60.65683364868164
2010-03-16,62.579368591308594
2010-03-17,64.51036071777344
2010-03-18,63.56178283691406
2010-03-19,61.5037841796875
2010-03-22,61.851009368896484
2010-03-23,62.291404724121094
2010-03-24,61.571510314941406
2010-03-25,61.17344284057617
2010-03-26,61.317420959472656
2010-03-29,61.80866241455078
2010-03-30,62.037330627441406
2010-03-31,62.1389274597168
2010-04-01,62.33376693725586
2010-04-05,63.01975631713867
2010-04-06,63.197635650634766
2010-04-07,63.58720397949219
2010-04-08,63.214576721191406
2010-04-09,63.47709274291992
2010-04-12,63.917518615722656
2010-04-13,63.892093658447266
2010-04-14,64.34941864013672
2010-04-15,64.01066589355469
2010-04-16,63.146793365478516
2010-04-19,63.23149490356445
2010-04-20,64.12921905517578
2010-04-21,64.34097290039062
2010-04-22,64.51036071777344
2010-04-23,64.88301086425781
2010-04-26,65.15396881103516
2010-04-27,64.44257354736328
2010-04-28,63.50251388549805
2010-04-29,63.46015930175781
2010-04-30,63.705780029296875
2010-05-03,64.959228515625
2010-05-04,63.32463073730469
2010-05-05,62.664058685302734
2010-05-06,61.11418151855469
2010-05-07,59.75908660888672
2010-05-10,62.21516799926758
2010-05-11,61.63923263549805
2010-05-12,62.935054779052734
2010-05-13,63.29078674316406
2010-05-14,62.19822692871094
2010-05-17,62.43538284301758
2010-05-18,61.12264633178711
2010-05-19,60.563663482666016
2010-05-20,57.66719055175781
2010-05-21,58.50564193725586
2010-05-24,58.08218765258789
2010-05-25,57.24372100830078
2010-05-26,56.767852783203125
2010-05-27,58.858375549316406
2010-05-28,57.830108642578125
2010-06-01,57.28620910644531
2010-06-02,58.12754440307617
2010-06-03,58.9263801574707
2010-06-04,58.17852020263672
2010-06-07,56.19843673706055
2010-06-08,55.89251708984375
2010-06-09,56.130455017089844
2010-06-10,57.33723068237305
2010-06-11,58.14453125
2010-06-14,58.705413818359375
2010-06-15,60.56647872924805
2010-06-16,60.82996368408203
2010-06-17,60.79595947265625
2010-06-18,60.6345100402832
2010-06-21,61.0764274597168
2010-06-22,59.46173858642578
2010-06-23,59.26628875732422
2010-06-24,58.212520599365234
2010-06-25,59.87813186645508
2010-06-28,60.26058578491211
2010-06-29,57.847110748291016
2010-06-30,56.92929458618164
2010-07-01,56.77634811401367
2010-07-02,56.20695114135742
2010-07-06,56.368408203125
2010-07-07,58.12754440307617
2010-07-08,58.382469177246094
2010-07-09,58.705413818359375
2010-07-12,58.68842315673828
2010-07-13,60.77897644042969
2010-07-14,60.89793395996094
2010-07-15,60.41353988647461
2010-07-16,59.308773040771484
2010-07-19,59.83565902709961
2010-07-20,60.6514778137207
2010-07-21,60.43903350830078
2010-07-22,61.92623519897461
2010-07-23,63.421913146972656
2010-07-26,64.56915283203125
2010-07-27,64.10176849365234
2010-07-28,63.676849365234375
2010-07-29,63.27742385864258
2010-07-30,63.73631286621094
2010-08-02,64.96854400634766
2010-08-03,65.04502868652344
2010-08-04,66.11582946777344
2010-08-05,65.27449798583984
2010-08-06,66.25179290771484
2010-08-09,66.87214660644531
2010-08-10,66.45574951171875
2010-08-11,65.24048614501953
2010-08-12,64.46715545654297
2010-08-13,63.81282424926758
2010-08-16,63.51538848876953
2010-08-17,64.20374298095703
2010-08-18,63.838294982910156
2010-08-19,62.94599533081055
2010-08-20,63.8978157043457
2010-08-23,64.35669708251953
2010-08-24,62.77605056762695
2010-08-25,62.16417694091797
2010-08-26,62.7845458984375
2010-08-27,63.49211120605469
2010-08-30,62.67372131347656
2010-08-31,62.69926834106445
2010-09-01,65.09471130371094
2010-09-02,65.73409271240234
2010-09-03,67.3282241821289
2010-09-07,66.63771057128906
2010-09-08,67.51573181152344
2010-09-09,67.96754455566406
2010-09-10,68.68364715576172
2010-09-13,70.82335662841797
2010-09-14,70.78070068359375
2010-09-15,70.21809387207031
2010-09-16,70.35448455810547
2010-09-17,69.94528198242188
2010-09-20,71.2751693725586
2010-09-21,71.68433380126953
2010-09-22,68.67512512207031
2010-09-23,68.1380615234375
2010-09-24,68.64952850341797
2010-09-27,68.58988189697266
2010-09-28,69.74070739746094
