Date,KO
2010-01-04,17.692522048950195
2010-01-05,17.478496551513672
2010-01-06,17.472293853759766
2010-01-07,17.428865432739258
2010-01-08,17.106287002563477
2010-01-11,17.453683853149414
2010-01-12,17.642887115478516
2010-01-13,17.689414978027344
2010-01-14,17.720430374145508
2010-01-15,17.459884643554688
2010-01-19,17.500211715698242
2010-01-20,17.2148380279541
2010-01-21,16.864349365234375
2010-01-22,16.824018478393555
2010-01-25,16.858139038085938
2010-01-26,16.793004989624023
2010-01-27,16.90777015686035
2010-01-28,16.805416107177734
2010-01-29,16.827119827270508
2010-02-01,16.867441177368164
2010-02-02,17.07526206970215
2010-02-03,17.019432067871094
2010-02-04,16.57278060913086
2010-02-05,16.467317581176758
2010-02-08,16.330841064453125
2010-02-09,16.75267791748047
2010-02-10,16.684436798095703
2010-02-11,16.817811965942383
2010-02-12,16.743375778198242
2010-02-16,17.003917694091797
2010-02-17,17.16211700439453
2010-02-18,17.342016220092773
2010-02-19,17.2830810546875
2010-02-22,17.177627563476562
2010-02-23,17.00701904296875
2010-02-24,17.109384536743164
2010-02-25,16.47661781311035
2010-02-26,16.35255241394043
2010-03-01,16.52314567565918
2010-03-02,16.53245735168457
2010-03-03,16.72786521911621
2010-03-04,16.895360946655273
2010-03-05,16.966699600219727
2010-03-08,16.89225959777832
2010-03-09,16.805416107177734
2010-03-10,16.811613082885742
2010-03-11,16.76158332824707
2010-03-12,16.683393478393555
2010-03-15,16.7772159576416
2010-03-16,16.7928466796875
2010-03-17,16.836633682250977
2010-03-18,16.871030807495117
2010-03-19,17.121196746826172
2010-03-22,17.055532455444336
2010-03-23,17.293197631835938
2010-03-24,17.080556869506836
2010-03-25,17.136831283569336
2010-03-26,17.089937210083008
2010-03-29,17.127460479736328
2010-03-30,17.158729553222656
2010-03-31,17.199382781982422
2010-04-01,17.293197631835938
2010-04-05,17.15559959411621
2010-04-06,16.977352142333984
2010-04-07,16.830373764038086
2010-04-08,16.811613082885742
2010-04-09,17.0711727142334
2010-04-12,17.124332427978516
2010-04-13,17.205638885498047
2010-04-14,17.183740615844727
2010-04-15,16.967973709106445
2010-04-16,17.18999671936035
2010-04-19,17.29945182800293
2010-04-20,17.033647537231445
2010-04-21,16.94608497619629
2010-04-22,16.983606338500977
2010-04-23,16.849138259887695
2010-04-26,16.802230834960938
2010-04-27,16.53329086303711
2010-04-28,16.6865291595459
2010-04-29,16.805360794067383
2010-04-30,16.71466827392578
2010-05-03,16.811613082885742
2010-05-04,16.630237579345703
2010-05-05,16.78034210205078
2010-05-06,16.35504722595215
2010-05-07,16.470746994018555
2010-05-10,16.8991756439209
2010-05-11,16.76470184326172
2010-05-12,16.892919540405273
2010-05-13,16.727182388305664
2010-05-14,16.68027114868164
2010-05-17,16.702165603637695
2010-05-18,16.605222702026367
2010-05-19,16.611480712890625
2010-05-20,16.11738395690918
2010-05-21,16.133012771606445
2010-05-24,16.092365264892578
2010-05-25,15.829683303833008
2010-05-26,15.660826683044434
2010-05-27,16.02044105529785
2010-05-28,16.073598861694336
2010-06-01,16.039203643798828
2010-06-02,16.389448165893555
2010-06-03,16.495769500732422
2010-06-04,16.032949447631836
2010-06-07,15.885972023010254
2010-06-08,16.123632431030273
2010-06-09,16.057968139648438
2010-06-10,16.401954650878906
2010-06-11,16.28842544555664
2010-06-14,16.244274139404297
2010-06-15,16.455575942993164
2010-06-16,16.524946212768555
2010-06-17,16.51233673095703
2010-06-18,16.49656867980957
2010-06-21,16.550174713134766
2010-06-22,16.543865203857422
2010-06-23,16.474485397338867
2010-06-24,16.335731506347656
2010-06-25,15.850069046020508
2010-06-28,16.108667373657227
2010-06-29,15.87214469909668
2010-06-30,15.805928230285645
2010-07-01,15.777539253234863
2010-07-02,15.78385066986084
2010-07-06,15.903677940368652
2010-07-07,16.231658935546875
2010-07-08,16.531251907348633
2010-07-09,16.524946212768555
2010-07-12,16.54071044921875
2010-07-13,16.6258602142334
2010-07-14,16.657400131225586
2010-07-15,16.666854858398438
2010-07-16,16.51548194885254
2010-07-19,16.483949661254883
2010-07-20,16.78985023498535
2010-07-21,17.054758071899414
2010-07-22,17.111526489257812
2010-07-23,17.26604652404785
2010-07-26,17.325960159301758
2010-07-27,17.36065101623535
2010-07-28,17.307044982910156
2010-07-29,17.341733932495117
2010-07-30,17.37957763671875
2010-08-02,17.78954315185547
2010-08-03,17.780080795288086
2010-08-04,17.833696365356445
2010-08-05,17.776927947998047
2010-08-06,17.896770477294922
2010-08-09,18.010292053222656
2010-08-10,17.96930503845215
2010-08-11,17.672863006591797
2010-08-12,17.562482833862305
2010-08-13,17.575098037719727
2010-08-16,17.62240219116211
2010-08-17,17.698089599609375
2010-08-18,17.60979461669922
2010-08-19,17.433191299438477
2010-08-20,17.439491271972656
2010-08-23,17.53410530090332
2010-08-24,17.553024291992188
2010-08-25,17.46787452697754
2010-08-26,17.395343780517578
2010-08-27,17.710710525512695
2010-08-30,17.51833724975586
2010-08-31,17.62240219116211
2010-09-01,18.073381423950195
2010-09-02,18.095449447631836
2010-09-03,18.1522159576416
2010-09-07,18.174287796020508
2010-09-08,18.23736000061035
2010-09-09,18.38241958618164
2010-09-10,18.4549617767334
2010-09-13,18.439067840576172
2010-09-14,18.299259185791016
2010-09-15,18.245243072509766
2010-09-16,18.273841857910156
2010-09-17,18.289731979370117
2010-09-20,18.420007705688477
2010-09-21,18.464494705200195
2010-09-22,18.502620697021484
2010-09-23,18.38823127746582
2010-09-24,18.62654685974121
2010-09-27,18.620187759399414
2010-09-28,18.779064178466797
