Date,PEP
2010-01-04,38.70892333984375
2010-01-05,39.17668151855469
2010-01-06,38.784793853759766
2010-01-07,38.53827667236328
2010-01-08,38.41184997558594
2010-01-11,38.367618560791016
2010-01-12,38.90488052368164
2010-01-13,39.22090148925781
2010-01-14,39.694976806640625
2010-01-15,39.372615814208984
2010-01-19,39.39790725708008
2010-01-20,39.15769958496094
2010-01-21,38.51930618286133
2010-01-22,38.171653747558594
2010-01-25,38.070526123046875
2010-01-26,38.08316421508789
2010-01-27,38.10844421386719
2010-01-28,37.76081085205078
2010-01-29,37.68496322631836
2010-02-01,38.367618560791016
2010-02-02,38.652042388916016
2010-02-03,38.74053955078125
2010-02-04,37.69758605957031
2010-02-05,37.615421295166016
2010-02-08,37.26777267456055
2010-02-09,37.956748962402344
2010-02-10,38.165340423583984
2010-02-11,38.67731475830078
2010-02-12,38.50666809082031
2010-02-16,38.753173828125
2010-02-17,39.258853912353516
2010-02-18,39.524322509765625
2010-02-19,39.606483459472656
2010-02-22,39.44847106933594
2010-02-23,39.050254821777344
2010-02-24,39.2398796081543
2010-02-25,39.37894058227539
2010-02-26,39.486392974853516
2010-03-01,40.093196868896484
2010-03-02,40.32707214355469
2010-03-03,40.72811508178711
2010-03-04,40.81086349487305
2010-03-05,40.97639465332031
2010-03-08,40.83634567260742
2010-03-09,40.97000503540039
2010-03-10,41.01457214355469
2010-03-11,41.35834503173828
2010-03-12,41.44108200073242
2010-03-15,42.10948944091797
2010-03-16,42.058563232421875
2010-03-17,42.376834869384766
2010-03-18,42.34502029418945
2010-03-19,42.37049865722656
2010-03-22,42.21133804321289
2010-03-23,42.56145095825195
2010-03-24,42.17951965332031
2010-03-25,42.364112854003906
2010-03-26,42.38958740234375
2010-03-29,42.364112854003906
2010-03-30,42.50416946411133
2010-03-31,42.1158561706543
2010-04-01,42.446868896484375
2010-04-05,42.00127029418945
2010-04-06,42.262271881103516
2010-04-07,42.00762939453125
2010-04-08,41.994911193847656
2010-04-09,42.2431640625
2010-04-12,42.21769714355469
2010-04-13,42.262271881103516
2010-04-14,42.19860076904297
2010-04-15,42.18587112426758
2010-04-16,42.10312271118164
2010-04-19,42.090396881103516
2010-04-20,41.950347900390625
2010-04-21,42.00127029418945
2010-04-22,41.224639892578125
2010-04-23,41.19281005859375
2010-04-26,41.3901481628418
2010-04-27,40.88726043701172
2010-04-28,41.21827697753906
2010-04-29,41.504730224609375
2010-04-30,41.51746368408203
2010-05-03,41.816650390625
2010-05-04,41.651161193847656
2010-05-05,41.504730224609375
2010-05-06,41.18645095825195
2010-05-07,41.103694915771484
2010-05-10,42.275001525878906
2010-05-11,42.364112854003906
2010-05-12,42.61238479614258
2010-05-13,42.3195686340332
2010-05-14,42.058563232421875
2010-05-17,42.49143600463867
2010-05-18,42.351375579833984
2010-05-19,42.039466857910156
2010-05-20,40.6517333984375
2010-05-21,40.47349548339844
2010-05-24,40.30797576904297
2010-05-25,40.03424835205078
2010-05-26,38.9775276184082
2010-05-27,40.040618896484375
2010-05-28,40.03424835205078
2010-06-01,39.951499938964844
2010-06-02,40.70844268798828
2010-06-03,40.65070343017578
2010-06-04,39.412635803222656
2010-06-07,39.59865951538086
2010-06-08,40.18883514404297
2010-06-09,40.086212158203125
2010-06-10,40.95219802856445
2010-06-11,40.7725715637207
2010-06-14,40.95861053466797
2010-06-15,41.20879364013672
2010-06-16,40.99711227416992
2010-06-17,41.369163513183594
2010-06-18,41.106163024902344
2010-06-21,41.067665100097656
2010-06-22,40.605804443359375
2010-06-23,40.240150451660156
2010-06-24,40.028480529785156
2010-06-25,38.98286056518555
2010-06-28,39.74620819091797
2010-06-29,39.27792739868164
2010-06-30,39.09832000732422
2010-07-01,39.463966369628906
2010-07-02,39.47038650512695
2010-07-06,39.54094696044922
2010-07-07,40.36845016479492
2010-07-08,41.05483627319336
2010-07-09,40.734100341796875
2010-07-12,40.88805389404297
2010-07-13,40.6891975402832
2010-07-14,40.7725715637207
2010-07-15,40.51599884033203
2010-07-16,40.06053924560547
2010-07-19,39.803955078125
2010-07-20,41.52312088012695
2010-07-21,41.02277374267578
2010-07-22,41.18954849243164
2010-07-23,41.3434944152832
2010-07-26,41.68349838256836
2010-07-27,42.13895034790039
2010-07-28,41.824615478515625
2010-07-29,41.625755310058594
2010-07-30,41.63859176635742
2010-08-02,41.86951446533203
2010-08-03,42.19025421142578
2010-08-04,42.44684982299805
2010-08-05,42.0683708190918
2010-08-06,42.27366256713867
2010-08-09,42.60722351074219
2010-08-10,42.67778778076172
2010-08-11,41.9849967956543
2010-08-12,41.81178665161133
2010-08-13,42.055545806884766
2010-08-16,41.972171783447266
2010-08-17,42.04915237426758
2010-08-18,42.02989196777344
2010-08-19,41.478233337402344
2010-08-20,41.56803512573242
2010-08-23,41.58085250854492
2010-08-24,41.555206298828125
2010-08-25,41.42047882080078
2010-08-26,41.13823699951172
2010-08-27,41.13182830810547
2010-08-30,40.798240661621094
2010-08-31,41.170318603515625
2010-09-01,41.939422607421875
2010-09-02,41.991146087646484
2010-09-03,42.378910064697266
2010-09-07,42.32075881958008
2010-09-08,42.28842544555664
2010-09-09,42.72146224975586
2010-09-10,42.92182159423828
2010-09-13,42.81842041015625
2010-09-14,42.64391326904297
2010-09-15,42.9799919128418
2010-09-16,43.05108642578125
2010-09-17,42.73439407348633
2010-09-20,43.23204803466797
2010-09-21,42.954139709472656
2010-09-22,43.08340072631836
2010-09-23,42.521114349365234
2010-09-24,42.740848541259766
2010-09-27,42.89596939086914
2010-09-28,43.16096115112305
