Date,J
2010-01-04,30.491533279418945
2010-01-05,30.895971298217773
2010-01-06,31.91897201538086
2010-01-07,33.17985916137695
2010-01-08,33.10056686401367
2010-01-11,32.75956344604492
2010-01-12,32.664398193359375
2010-01-13,32.45821762084961
2010-01-14,32.58509826660156
2010-01-15,31.934823989868164
2010-01-19,32.1885871887207
2010-01-20,31.831727981567383
2010-01-21,31.641403198242188
2010-01-22,31.451087951660156
2010-01-25,31.681062698364258
2010-01-26,30.880111694335938
2010-01-27,31.260761260986328
2010-01-28,30.1981143951416
2010-01-29,29.968137741088867
2010-02-01,30.38050651550293
2010-02-02,29.61920738220215
2010-02-03,29.79368019104004
2010-02-04,28.691383361816406
2010-02-05,28.49312400817871
2010-02-08,28.731029510498047
2010-02-09,29.10374641418457
2010-02-10,28.778608322143555
2010-02-11,29.183055877685547
2010-02-12,28.945144653320312
2010-02-16,30.348791122436523
2010-02-17,30.72150421142578
2010-02-18,31.21317481994629
2010-02-19,31.18145179748535
2010-02-22,31.18145179748535
2010-02-23,30.824596405029297
2010-02-24,31.3004093170166
2010-02-25,31.244897842407227
2010-02-26,30.76908302307129
2010-03-01,31.2686824798584
2010-03-02,31.617616653442383
2010-03-03,31.96653938293457
2010-03-04,31.871383666992188
2010-03-05,32.862648010253906
2010-03-08,33.314674377441406
2010-03-09,33.98081588745117
2010-03-10,34.02046585083008
2010-03-11,34.29801559448242
2010-03-12,34.53591537475586
2010-03-15,34.440757751464844
2010-03-16,34.868988037109375
2010-03-17,35.23377990722656
2010-03-18,34.77382278442383
2010-03-19,34.179054260253906
2010-03-22,34.416961669921875
2010-03-23,35.083106994628906
2010-03-24,36.45502853393555
2010-03-25,36.010929107666016
2010-03-26,35.58269500732422
2010-03-29,36.20125198364258
2010-03-30,36.010929107666016
2010-03-31,35.83647537231445
2010-04-01,36.29641342163086
2010-04-05,36.613624572753906
2010-04-06,36.010929107666016
2010-04-07,35.18620300292969
2010-04-08,35.11482238769531
2010-04-09,37.755577087402344
2010-04-12,37.065650939941406
2010-04-13,37.54938888549805
2010-04-14,37.95382308959961
2010-04-15,37.99348831176758
2010-04-16,37.19252014160156
2010-04-19,37.08943176269531
2010-04-20,37.72385025024414
2010-04-21,38.16794204711914
2010-04-22,38.73891830444336
2010-04-23,39.02439880371094
2010-04-26,38.59617614746094
2010-04-27,37.63661575317383
2010-04-28,38.36620330810547
2010-04-29,39.627098083496094
2010-04-30,38.23930358886719
2010-05-03,38.96096420288086
2010-05-04,36.85947036743164
2010-05-05,36.24883270263672
2010-05-06,35.106895446777344
2010-05-07,33.58430099487305
2010-05-10,35.812679290771484
2010-05-11,35.479618072509766
2010-05-12,37.11323547363281
2010-05-13,37.0260009765625
2010-05-14,36.5660400390625
2010-05-17,36.391578674316406
2010-05-18,35.72544479370117
2010-05-19,34.15526580810547
2010-05-20,32.347190856933594
2010-05-21,33.35432815551758
2010-05-24,32.35512924194336
2010-05-25,32.228233337402344
2010-05-26,32.09341812133789
2010-05-27,33.64774703979492
2010-05-28,33.116416931152344
2010-06-01,31.90310287475586
2010-06-02,33.76669692993164
2010-06-03,34.65487289428711
2010-06-04,31.831727981567383
2010-06-07,30.562904357910156
2010-06-08,31.229042053222656
2010-06-09,31.41935920715332
2010-06-10,32.6326789855957
2010-06-11,32.370975494384766
2010-06-14,32.339263916015625
2010-06-15,33.14021301269531
2010-06-16,33.14813995361328
2010-06-17,32.93402862548828
2010-06-18,33.005401611328125
2010-06-21,33.03712844848633
2010-06-22,32.220314025878906
2010-06-23,32.04584503173828
2010-06-24,31.21317481994629
2010-06-25,31.32419776916504
2010-06-28,30.824596405029297
2010-06-29,29.270286560058594
2010-06-30,28.89756202697754
2010-07-01,28.429683685302734
2010-07-02,28.096614837646484
2010-07-06,28.604148864746094
2010-07-07,29.587491989135742
2010-07-08,29.63507652282715
2010-07-09,30.110881805419922
2010-07-12,29.627138137817383
2010-07-13,30.65806770324707
2010-07-14,30.515323638916016
2010-07-15,29.920557022094727
2010-07-16,28.699308395385742
2010-07-19,28.953079223632812
2010-07-20,29.825397491455078
2010-07-21,29.302005767822266
2010-07-22,30.60254669189453
2010-07-23,31.165597915649414
2010-07-26,31.696922302246094
2010-07-27,29.41303062438965
2010-07-28,28.6517276763916
2010-07-29,28.532779693603516
2010-07-30,29.000654220581055
2010-08-02,29.872976303100586
2010-08-03,29.5240478515625
2010-08-04,29.365446090698242
2010-08-05,28.96894073486328
2010-08-06,29.111679077148438
2010-08-09,29.20684242248535
2010-08-10,28.905494689941406
2010-08-11,27.874568939208984
2010-08-12,27.834918975830078
2010-08-13,27.88249969482422
2010-08-16,27.81113052368164
2010-08-17,28.279008865356445
2010-08-18,28.588285446166992
2010-08-19,28.374174118041992
2010-08-20,28.072830200195312
2010-08-23,27.834918975830078
2010-08-24,27.826990127563477
2010-08-25,27.803203582763672
2010-08-26,27.644594192504883
2010-08-27,28.183853149414062
2010-08-30,27.61287498474121
2010-08-31,27.50185775756836
2010-09-01,28.54863929748535
2010-09-02,29.190982818603516
2010-09-03,29.436817169189453
2010-09-07,29.595422744750977
2010-09-08,29.381309509277344
2010-09-09,29.309932708740234
2010-09-10,29.21476936340332
2010-09-13,29.381309509277344
2010-09-14,28.889633178710938
2010-09-15,28.76274871826172
2010-09-16,28.57242774963379
2010-09-17,28.63587188720703
2010-09-20,29.262353897094727
2010-09-21,29.349584579467773
2010-09-22,29.389236450195312
2010-09-23,29.016515731811523
2010-09-24,29.66678810119629
2010-09-27,29.91262435913086
2010-09-28,29.936418533325195
2010-09-29,30.642202377319336
2010-09-30,30.68978500366211
2010-10-01,30.93562126159668
2010-10-04,30.412227630615234
2010-10-05,31.665199279785156
2010-10-06,31.98240852355957
2010-10-07,31.45901107788086
2010-10-08,31.90310287475586
2010-10-11,31.601764678955078
2010-10-12,31.617616653442383
2010-10-13,32.133079528808594
2010-10-14,31.657262802124023
2010-10-15,31.229042053222656
2010-10-18,31.46693992614746
2010-10-19,30.6342716217041
2010-10-20,31.110076904296875
2010-10-21,31.20524024963379
2010-10-22,31.094228744506836
2010-10-25,30.975276947021484
2010-10-26,31.078369140625
2010-10-27,30.190181732177734
2010-10-28,30.72150421142578
2010-10-29,30.618412017822266
2010-11-01,30.85631561279297
2010-11-02,31.42728614807129
2010-11-03,31.363855361938477
2010-11-04,32.6009635925293
2010-11-05,33.6873893737793
2010-11-08,33.90943908691406
2010-11-09,33.79048156738281
2010-11-10,33.89357376098633
2010-11-11,33.727046966552734
2010-11-12,33.08468246459961
2010-11-15,33.36225128173828
2010-11-16,31.681062698364258
2010-11-17,31.91897201538086
2010-11-18,32.410640716552734
2010-11-19,31.98240852355957
2010-11-22,31.41935920715332
2010-11-23,30.93562126159668
2010-11-24,31.42728614807129
2010-11-26,30.85631561279297
2010-11-29,30.832529067993164
2010-11-30,30.531179428100586
2010-12-01,31.197315216064453
2010-12-02,32.228233337402344
2010-12-03,32.735774993896484
2010-12-06,33.0450439453125
2010-12-07,33.05297088623047
2010-12-08,33.203643798828125
2010-12-09,33.4891357421875
2010-12-10,33.98873519897461
2010-12-13,34.05218505859375
2010-12-14,33.96494674682617
2010-12-15,33.35432815551758
2010-12-16,33.6873893737793
2010-12-17,34.51212692260742
2010-12-20,34.694522857666016
