Date,TPL
2010-01-04,8.398499488830566
2010-01-05,8.874213218688965
2010-01-06,8.649333000183105
2010-01-07,8.577254295349121
2010-01-08,8.361019134521484
2010-01-11,8.337959289550781
2010-01-12,8.288941383361816
2010-01-13,8.415797233581543
2010-01-14,8.072710037231445
2010-01-15,8.035228729248047
2010-01-19,7.986214637756348
2010-01-20,7.856475353240967
2010-01-21,7.741153240203857
2010-01-22,7.723852157592773
2010-01-25,7.830527305603027
2010-01-26,7.76998233795166
2010-01-27,7.524918556213379
2010-01-28,7.582584381103516
2010-01-29,7.5623979568481445
2010-02-01,7.784397602081299
2010-02-02,7.775750160217285
2010-02-03,7.631591796875
2010-02-04,7.640241622924805
2010-02-05,7.720970630645752
2010-02-08,7.38076114654541
2010-02-09,7.5479841232299805
2010-02-10,7.640241622924805
2010-02-11,7.643124580383301
2010-02-12,7.611412048339844
2010-02-16,7.974682807922363
2010-02-17,7.784397602081299
2010-02-18,7.937202453613281
2010-02-19,8.066944122314453
2010-02-22,8.072710037231445
2010-02-23,7.850711822509766
2010-02-24,7.91413688659668
2010-02-25,7.715203762054443
2010-02-26,7.784397602081299
2010-03-01,7.957385063171387
2010-03-02,7.994865417480469
2010-03-03,8.144789695739746
2010-03-04,8.08424186706543
2010-03-05,8.415797233581543
2010-03-08,8.54842472076416
2010-03-09,8.430215835571289
2010-03-10,8.2153959274292
2010-03-11,8.122502326965332
2010-03-12,8.186365127563477
2010-03-15,8.084760665893555
2010-03-16,8.148627281188965
2010-03-17,7.99767541885376
2010-03-18,7.98315954208374
2010-03-19,7.98315954208374
2010-03-22,7.858330726623535
2010-03-23,7.797368049621582
2010-03-24,8.009284019470215
2010-03-25,7.98315954208374
2010-03-26,7.971546173095703
2010-03-29,7.98315954208374
2010-03-30,8.003478050231934
2010-03-31,8.128308296203613
2010-04-01,8.40408706665039
2010-04-05,8.560850143432617
2010-04-06,8.47956657409668
2010-04-07,8.41860294342041
2010-04-08,8.412798881530762
2010-04-09,8.375060081481934
2010-04-12,8.375060081481934
2010-04-13,8.305388450622559
2010-04-14,8.363448143005371
2010-04-15,8.305388450622559
2010-04-16,8.244426727294922
2010-04-19,8.128308296203613
2010-04-20,8.238619804382324
2010-04-21,8.369250297546387
2010-04-22,8.302485466003418
