Date,CTRA
2010-01-04,8.425722122192383
2010-01-05,8.414795875549316
2010-01-06,8.378340721130371
2010-01-07,8.303614616394043
2010-01-08,8.285386085510254
2010-01-11,8.072150230407715
2010-01-12,7.862552165985107
2010-01-13,7.993776321411133
2010-01-14,7.984665870666504
2010-01-15,7.835211753845215
2010-01-19,7.99013090133667
2010-01-20,7.884424686431885
2010-01-21,7.835211753845215
2010-01-22,7.645668983459473
2010-01-25,7.713100433349609
2010-01-26,7.5290207862854
2010-01-27,7.244701862335205
2010-01-28,7.1080098152160645
2010-01-29,6.97496223449707
2010-02-01,7.285041332244873
2010-02-02,7.474738121032715
2010-02-03,7.378065586090088
2010-02-04,7.009618282318115
2010-02-05,7.013266563415527
2010-02-08,6.869170665740967
2010-02-09,7.0004987716674805
2010-02-10,6.989555358886719
2010-02-11,7.120880603790283
2010-02-12,7.204782962799072
2010-02-16,7.4473772048950195
2010-02-17,7.36712121963501
2010-02-18,7.467439651489258
2010-02-19,7.536754131317139
2010-02-22,7.502096176147461
2010-02-23,7.2449116706848145
2010-02-24,7.325168609619141
2010-02-25,7.374417781829834
2010-02-26,7.321522235870361
2010-03-01,7.4364333152771
2010-03-02,7.4364333152771
2010-03-03,7.452850341796875
2010-03-04,7.339759826660156
2010-03-05,7.545873165130615
2010-03-08,7.549516677856445
2010-03-09,7.46379280090332
2010-03-10,7.611537456512451
2010-03-11,7.525809288024902
2010-03-12,7.635251045227051
2010-03-15,7.4473772048950195
2010-03-16,7.507568836212158
2010-03-17,7.591470241546631
2010-03-18,7.208432674407959
2010-03-19,6.956722736358643
2010-03-22,6.849106311798096
2010-03-23,6.974958419799805
2010-03-24,6.962191104888916
2010-03-25,6.739665985107422
2010-03-26,6.63934850692749
2010-03-29,6.7724995613098145
2010-03-30,6.683124542236328
2010-03-31,6.712307453155518
2010-04-01,6.883762836456299
2010-04-05,7.0862274169921875
2010-04-06,7.111762046813965
2010-04-07,6.964016437530518
2010-04-08,7.002323150634766
2010-04-09,7.288686752319336
2010-04-12,7.22849702835083
2010-04-13,7.376242160797119
2010-04-14,7.389007568359375
2010-04-15,7.36712121963501
2010-04-16,7.104464530944824
2010-04-19,7.036978721618652
2010-04-20,7.11358642578125
2010-04-21,7.109936237335205
2010-04-22,7.202960968017578
2010-04-23,7.277747631072998
2010-04-26,7.192019939422607
2010-04-27,6.849106311798096
2010-04-28,6.969491481781006
2010-04-29,6.520786285400391
2010-04-30,6.590100288391113
2010-05-03,6.796208381652832
2010-05-04,6.642995357513428
2010-05-05,6.347509384155273
2010-05-06,5.982705116271973
2010-05-07,5.820223331451416
2010-05-10,6.1488447189331055
2010-05-11,6.048431873321533
2010-05-12,6.262032985687256
2010-05-13,6.243778705596924
2010-05-14,6.176229476928711
2010-05-17,6.026523113250732
2010-05-18,6.006440162658691
2010-05-19,6.002789497375488
2010-05-20,5.612098693847656
2010-05-21,5.725289821624756
2010-05-24,5.537246227264404
2010-05-25,5.750848293304443
2010-05-26,5.916985034942627
2010-05-27,6.3551435470581055
2010-05-28,6.333236217498779
2010-06-01,6.0119194984436035
2010-06-02,6.448253154754639
2010-06-03,6.786000728607178
2010-06-04,6.384355545043945
2010-06-07,6.30585241317749
2010-06-08,6.29672384262085
2010-06-09,6.2401251792907715
2010-06-10,6.63812255859375
2010-06-11,6.756791114807129
2010-06-14,6.756791114807129
2010-06-15,7.012383937835693
2010-06-16,6.977696418762207
2010-06-17,6.827991008758545
2010-06-18,6.650900363922119
2010-06-21,6.557791709899902
2010-06-22,6.057560443878174
2010-06-23,6.008266448974609
2010-06-24,5.931591033935547
2010-06-25,6.0119194984436035
2010-06-28,6.092250823974609
2010-06-29,5.765454292297363
2010-06-30,5.717987060546875
2010-07-01,5.7106828689575195
2010-07-02,5.646784782409668
2010-07-06,5.694252014160156
2010-07-07,5.90420389175415
2010-07-08,6.136062145233154
2010-07-09,6.114155292510986
2010-07-12,6.0539093017578125
2010-07-13,6.11598014831543
2010-07-14,6.11598014831543
2010-07-15,6.083119869232178
2010-07-16,5.818399906158447
2010-07-19,5.825699329376221
2010-07-20,6.0648651123046875
2010-07-21,5.977231979370117
2010-07-22,5.982706069946289
2010-07-23,5.812920093536377
2010-07-26,5.7873616218566895
2010-07-27,5.559153079986572
2010-07-28,5.478824615478516
2010-07-29,5.573760986328125
2010-07-30,5.562806606292725
2010-08-02,5.712510108947754
2010-08-03,5.897080421447754
2010-08-04,5.986622333526611
2010-08-05,5.939109802246094
2010-08-06,5.820326328277588
2010-08-09,5.908043384552002
2010-08-10,5.887942790985107
2010-08-11,5.659514904022217
2010-08-12,5.622966766357422
2010-08-13,5.608345985412598
2010-08-16,5.515148162841797
2010-08-17,5.538907051086426
2010-08-18,5.509665489196777
2010-08-19,5.407332420349121
2010-08-20,5.350681304931641
2010-08-23,5.394538879394531
2010-08-24,5.241034030914307
2010-08-25,5.1112895011901855
2010-08-26,5.102152347564697
2010-08-27,5.24286413192749
2010-08-30,5.149663925170898
2010-08-31,5.087532997131348
2010-09-01,5.2593092918396
2010-09-02,5.2812395095825195
2010-09-03,5.350681304931641
2010-09-07,5.222761154174805
2010-09-08,5.228242874145508
2010-09-09,5.199004650115967
2010-09-10,5.3214430809021
2010-09-13,5.354336261749268
2010-09-14,5.357990741729736
2010-09-15,5.266621112823486
2010-09-16,5.083877086639404
2010-09-17,4.932200908660889
2010-09-20,5.056467056274414
2010-09-21,5.120427131652832
2010-09-22,5.012607574462891
2010-09-23,5.114943504333496
2010-09-24,5.24286413192749
