Date,CPB
2010-01-04,20.919902801513672
2010-01-05,20.95696258544922
2010-01-06,20.72224998474121
2010-01-07,20.407251358032227
2010-01-08,20.277545928955078
2010-01-11,20.33930778503418
2010-01-12,20.580190658569336
2010-01-13,20.889015197753906
2010-01-14,20.78401756286621
2010-01-15,20.376371383666992
2010-01-19,20.41343116760254
2010-01-20,20.302248001098633
2010-01-21,20.1478328704834
2010-01-22,20.24665641784668
2010-01-25,20.240478515625
2010-01-26,20.234310150146484
2010-01-27,20.41343116760254
2010-01-28,20.703720092773438
2010-01-29,20.450490951538086
2010-02-01,20.598718643188477
2010-02-02,20.790199279785156
2010-02-03,20.580190658569336
2010-02-04,20.036653518676758
2010-02-05,20.055191040039062
2010-02-08,20.191064834594727
2010-02-09,20.580190658569336
2010-02-10,20.580190658569336
2010-02-11,20.728435516357422
2010-02-12,20.407251358032227
2010-02-16,20.74696159362793
2010-02-17,20.76548957824707
2010-02-18,20.907550811767578
2010-02-19,20.95696258544922
2010-02-22,20.69136619567871
2010-02-23,20.499897003173828
2010-02-24,20.47519302368164
2010-02-25,20.549312591552734
2010-02-26,20.58637809753418
2010-03-01,20.598718643188477
2010-03-02,20.907550811767578
2010-03-03,21.024904251098633
2010-03-04,21.092845916748047
2010-03-05,21.2410831451416
2010-03-08,21.09902000427246
2010-03-09,21.03725814819336
2010-03-10,20.926071166992188
2010-03-11,21.15460968017578
2010-03-12,21.302839279174805
2010-03-15,21.432552337646484
2010-03-16,21.617849349975586
2010-03-17,21.698139190673828
2010-03-18,21.642553329467773
2010-03-19,21.80931282043457
2010-03-22,21.821678161621094
2010-03-23,21.939029693603516
2010-03-24,21.766090393066406
2010-03-25,21.537555694580078
2010-03-26,21.568429946899414
2010-03-29,21.96373176574707
2010-03-30,22.006973266601562
2010-03-31,22.003856658935547
2010-04-01,22.134571075439453
2010-04-05,22.047422409057617
2010-04-06,21.991413116455078
2010-04-07,22.03498077392578
2010-04-08,21.866910934448242
2010-04-09,22.01008415222168
2010-04-12,22.047422409057617
2010-04-13,22.12212371826172
2010-04-14,22.178150177001953
2010-04-15,22.383548736572266
2010-04-16,22.227941513061523
2010-04-19,22.25284194946289
2010-04-20,22.40846061706543
2010-04-21,22.364879608154297
2010-04-22,22.271509170532227
2010-04-23,22.15324592590332
2010-04-26,22.084775924682617
2010-04-27,21.85446548461914
2010-04-28,22.02252769470215
2010-04-29,22.234161376953125
2010-04-30,22.321311950683594
2010-05-03,22.427125930786133
2010-05-04,22.184371948242188
2010-05-05,22.234161376953125
2010-05-06,21.829570770263672
2010-05-07,21.810890197753906
2010-05-10,22.283958435058594
2010-05-11,22.333757400512695
2010-05-12,22.4209041595459
2010-05-13,22.40846061706543
2010-05-14,21.99763298034668
2010-05-17,22.20303726196289
2010-05-18,22.084775924682617
2010-05-19,22.171920776367188
2010-05-20,21.761098861694336
2010-05-21,22.084775924682617
2010-05-24,22.02252769470215
2010-05-25,21.898040771484375
2010-05-26,21.711301803588867
2010-05-27,22.364879608154297
2010-05-28,22.290191650390625
2010-06-01,22.19681739807129
2010-06-02,22.669879913330078
2010-06-03,22.813051223754883
2010-06-04,22.40846061706543
2010-06-07,22.427125930786133
2010-06-08,22.85039710998535
2010-06-09,22.77570152282715
2010-06-10,22.763259887695312
2010-06-11,22.70101547241211
2010-06-14,22.837949752807617
2010-06-15,23.030912399291992
2010-06-16,23.024690628051758
2010-06-17,23.335912704467773
2010-06-18,23.12428092956543
2010-06-21,23.099390029907227
2010-06-22,22.800607681274414
2010-06-23,22.875295639038086
2010-06-24,22.694782257080078
2010-06-25,22.476930618286133
2010-06-28,22.75703239440918
2010-06-29,22.427125930786133
2010-06-30,22.302642822265625
2010-07-01,22.31831932067871
2010-07-02,22.14895248413086
2010-07-06,22.387313842773438
2010-07-07,22.757410049438477
2010-07-08,22.88286018371582
2010-07-09,22.76995277404785
2010-07-12,22.55667495727539
2010-07-13,22.600582122802734
2010-07-14,22.506494522094727
2010-07-15,22.613128662109375
2010-07-16,22.468862533569336
2010-07-19,22.606861114501953
2010-07-20,22.876596450805664
2010-07-21,22.5504150390625
2010-07-22,22.66958999633789
2010-07-23,22.738590240478516
2010-07-26,22.707231521606445
2010-07-27,23.039684295654297
2010-07-28,22.788772583007812
2010-07-29,22.437501907348633
2010-07-30,22.519039154052734
2010-08-02,22.613128662109375
2010-08-03,22.519039154052734
2010-08-04,22.826412200927734
2010-08-05,22.7636775970459
2010-08-06,22.694679260253906
2010-08-09,22.713497161865234
2010-08-10,22.845226287841797
2010-08-11,22.644489288330078
2010-08-12,22.631956100463867
2010-08-13,22.700958251953125
2010-08-16,22.75112533569336
2010-08-17,23.13377571105957
2010-08-18,23.1525936126709
2010-08-19,22.90167999267578
2010-08-20,22.98322105407715
2010-08-23,23.146316528320312
2010-08-24,23.1525936126709
2010-08-25,23.365854263305664
2010-08-26,23.177682876586914
2010-08-27,23.503868103027344
2010-08-30,23.196504592895508
2010-08-31,23.37212562561035
2010-09-01,23.190223693847656
2010-09-02,23.409767150878906
2010-09-03,22.713497161865234
2010-09-07,22.519039154052734
2010-09-08,22.537860870361328
2010-09-09,22.56295394897461
2010-09-10,22.57549285888672
2010-09-13,22.619413375854492
2010-09-14,22.381052017211914
2010-09-15,22.67586898803711
2010-09-16,22.776229858398438
2010-09-17,22.76995277404785
2010-09-20,22.895404815673828
2010-09-21,22.757410049438477
2010-09-22,22.914216995239258
2010-09-23,22.688411712646484
2010-09-24,22.73232078552246
2010-09-27,22.726036071777344
2010-09-28,22.864044189453125
