Date,DD
2010-01-04,27.77605628967285
2010-01-05,29.013505935668945
2010-01-06,29.527530670166016
2010-01-07,29.54656982421875
2010-01-08,29.65127944946289
2010-01-11,29.280044555664062
2010-01-12,29.37523651123047
2010-01-13,29.270523071289062
2010-01-14,29.061098098754883
2010-01-15,28.547082901000977
2010-01-19,29.203880310058594
2010-01-20,28.89928436279297
2010-01-21,27.290592193603516
2010-01-22,26.424373626708984
2010-01-25,27.043113708496094
2010-01-26,26.73850440979004
2010-01-27,26.881296157836914
2010-01-28,26.053142547607422
2010-01-29,25.786609649658203
2010-02-01,27.252517700195312
2010-02-02,26.2435245513916
2010-02-03,26.253042221069336
2010-02-04,25.329708099365234
2010-02-05,25.244041442871094
2010-02-08,24.920392990112305
2010-02-09,26.452943801879883
2010-02-10,26.186399459838867
2010-02-11,26.519569396972656
2010-02-12,26.452943801879883
2010-02-16,27.1097412109375
2010-02-17,27.35723114013672
2010-02-18,28.11874008178711
2010-02-19,27.823652267456055
2010-02-22,27.947397232055664
2010-02-23,27.490489959716797
2010-02-24,27.60471534729004
2010-02-25,26.957429885864258
2010-02-26,26.94792366027832
2010-03-01,27.30963134765625
2010-03-02,27.490489959716797
2010-03-03,28.18536949157715
2010-03-04,28.137781143188477
2010-03-05,28.556610107421875
2010-03-08,28.08066749572754
2010-03-09,27.81412696838379
2010-03-10,27.661832809448242
2010-03-11,27.985464096069336
2010-03-12,28.404314041137695
2010-03-15,28.556610107421875
2010-03-16,28.975433349609375
2010-03-17,28.965911865234375
2010-03-18,28.556610107421875
2010-03-19,27.557125091552734
2010-03-22,28.166332244873047
2010-03-23,28.52806282043457
2010-03-24,28.89928436279297
2010-03-25,28.4423828125
2010-03-26,28.613718032836914
2010-03-29,28.240623474121094
2010-03-30,28.470216751098633
2010-03-31,28.288450241088867
2010-04-01,28.996383666992188
2010-04-05,29.646915435791016
2010-04-06,29.80954933166504
2010-04-07,29.455583572387695
2010-04-08,29.39817237854004
2010-04-09,29.445995330810547
2010-04-12,29.407737731933594
2010-04-13,29.273813247680664
2010-04-14,29.847806930541992
2010-04-15,29.962596893310547
2010-04-16,29.216421127319336
2010-04-19,29.43644142150879
2010-04-20,29.044218063354492
2010-04-21,28.996383666992188
2010-04-22,28.967687606811523
2010-04-23,29.80954933166504
2010-04-26,29.972187042236328
2010-04-27,28.76679229736328
2010-04-28,30.450511932373047
2010-04-29,30.440937042236328
2010-04-30,29.49384307861328
2010-05-03,30.058265686035156
2010-05-04,28.03971290588379
2010-05-05,27.178726196289062
2010-05-06,25.523704528808594
2010-05-07,24.394845962524414
2010-05-10,26.25077247619629
2010-05-11,26.681262969970703
2010-05-12,27.58051872253418
2010-05-13,27.790985107421875
2010-05-14,26.155101776123047
2010-05-17,25.734172821044922
2010-05-18,25.571537017822266
2010-05-19,25.389766693115234
2010-05-20,24.586181640625
2010-05-21,25.322813034057617
2010-05-24,24.739238739013672
2010-05-25,25.62893295288086
2010-05-26,25.370630264282227
2010-05-27,26.853466033935547
2010-05-28,25.743741989135742
2010-06-01,24.490510940551758
2010-06-02,25.313243865966797
2010-06-03,24.94970703125
2010-06-04,23.76344108581543
2010-06-07,23.38078498840332
2010-06-08,24.06001853942871
2010-06-09,24.337448120117188
2010-06-10,25.24627113342285
2010-06-11,25.56196403503418
2010-06-14,24.777509689331055
2010-06-15,25.62893295288086
2010-06-16,25.56196403503418
2010-06-17,25.504562377929688
2010-06-18,25.829837799072266
2010-06-21,25.79155921936035
2010-06-22,25.102781295776367
2010-06-23,25.150606155395508
2010-06-24,24.193937301635742
2010-06-25,24.232213973999023
2010-06-28,24.55941390991211
2010-06-29,23.250598907470703
2010-06-30,22.827163696289062
2010-07-01,22.384479522705078
2010-07-02,22.105392456054688
2010-07-06,22.192005157470703
2010-07-07,23.375717163085938
2010-07-08,24.04936408996582
2010-07-09,24.97323226928711
2010-07-12,24.780757904052734
2010-07-13,25.704622268676758
2010-07-14,25.983705520629883
2010-07-15,25.627626419067383
2010-07-16,24.222585678100586
2010-07-19,24.184093475341797
2010-07-20,24.617156982421875
2010-07-21,24.55941390991211
2010-07-22,25.63726043701172
2010-07-23,25.916345596313477
2010-07-26,26.224294662475586
2010-07-27,26.32053565979004
2010-07-28,26.060693740844727
2010-07-29,26.243545532226562
2010-07-30,26.301286697387695
2010-08-02,27.26364517211914
2010-08-03,24.5401668548584
2010-08-04,23.85689353942871
2010-08-05,24.309206008911133
2010-08-06,24.4824275970459
2010-08-09,25.021352767944336
2010-08-10,25.0117244720459
2010-08-11,24.232213973999023
2010-08-12,24.039743423461914
2010-08-13,24.21296501159668
2010-08-16,24.232213973999023
2010-08-17,24.5401668548584
2010-08-18,24.751888275146484
2010-08-19,23.972375869750977
2010-08-20,23.510438919067383
2010-08-23,23.135116577148438
2010-08-24,22.249752044677734
2010-08-25,22.249752044677734
2010-08-26,22.84641456604004
2010-08-27,23.78952407836914
2010-08-30,23.414209365844727
2010-08-31,23.452707290649414
2010-09-01,24.626779556274414
2010-09-02,24.90585708618164
2010-09-03,25.473665237426758
2010-09-07,24.53054428100586
2010-09-08,24.790382385253906
2010-09-09,24.723020553588867
2010-09-10,25.0117244720459
2010-09-13,25.589134216308594
2010-09-14,25.531396865844727
2010-09-15,25.18494987487793
2010-09-16,25.415912628173828
2010-09-17,25.714244842529297
2010-09-20,26.147302627563477
2010-09-21,26.224294662475586
2010-09-22,26.330158233642578
2010-09-23,25.95484161376953
2010-09-24,27.0134334564209
2010-09-27,26.86907958984375
2010-09-28,26.956157684326172
