Date,KR
2010-01-04,7.651096343994141
2010-01-05,7.5614333152771
2010-01-06,7.565169811248779
2010-01-07,7.639884948730469
2010-01-08,7.568905353546143
2010-01-11,7.598792552947998
2010-01-12,7.7370195388793945
2010-01-13,7.707132339477539
2010-01-14,7.707132339477539
2010-01-15,7.740756511688232
2010-01-19,7.8789825439453125
2010-01-20,8.065778732299805
2010-01-21,8.03962516784668
2010-01-22,8.133020401000977
2010-01-25,8.151703834533691
2010-01-26,8.069515228271484
2010-01-27,8.043364524841309
2010-01-28,7.9723801612854
2010-01-29,8.006003379821777
2010-02-01,8.028417587280273
2010-02-02,8.080723762512207
2010-02-03,8.03962516784668
2010-02-04,7.9051384925842285
2010-02-05,7.9126081466674805
2010-02-08,7.893927574157715
2010-02-09,7.983584880828857
2010-02-10,7.966702461242676
2010-02-11,8.04550838470459
2010-02-12,8.015486717224121
2010-02-16,8.098044395446777
2010-02-17,8.15433406829834
2010-02-18,8.255651473999023
2010-02-19,8.289421081542969
2010-02-22,8.293176651000977
2010-02-23,8.139317512512207
2010-02-24,8.214374542236328
2010-02-25,8.371979713439941
2010-02-26,8.293176651000977
2010-03-01,8.409506797790527
2010-03-02,8.510825157165527
2010-03-03,8.454536437988281
2010-03-04,8.514579772949219
2010-03-05,8.533340454101562
2010-03-08,8.593381881713867
2010-03-09,8.386991500854492
2010-03-10,8.311936378479004
2010-03-11,8.173094749450684
2010-03-12,8.35697078704834
2010-03-15,8.368226051330566
2010-03-16,8.364474296569824
2010-03-17,8.420763969421387
2010-03-18,8.345712661743164
2010-03-19,8.120559692382812
2010-03-22,8.004228591918945
2010-03-23,8.026745796203613
2010-03-24,7.974208354949951
2010-03-25,7.970455646514893
2010-03-26,7.959195613861084
2010-03-29,8.007979393005371
2010-03-30,8.04550838470459
2010-03-31,8.128063201904297
2010-04-01,8.210622787475586
2010-04-05,8.266913414001465
2010-04-06,8.233133316040039
2010-04-07,8.349465370178223
2010-04-08,8.398247718811035
2010-04-09,8.45828914642334
2010-04-12,8.454536437988281
2010-04-13,8.507071495056152
2010-04-14,8.683441162109375
2010-04-15,8.781007766723633
2010-04-16,8.871070861816406
2010-04-19,8.818534851074219
2010-04-20,8.784761428833008
2010-04-21,8.818534851074219
2010-04-22,8.886082649230957
2010-04-23,8.89358139038086
2010-04-26,8.852310180664062
2010-04-27,8.597136497497559
2010-04-28,8.664680480957031
2010-04-29,8.443279266357422
2010-04-30,8.341958045959473
2010-05-03,8.533340454101562
2010-05-04,8.480806350708008
2010-05-05,8.462042808532715
2010-05-06,8.259403228759766
2010-05-07,8.086784362792969
2010-05-10,8.334457397460938
2010-05-11,8.315691947937012
2010-05-12,8.336421966552734
2010-05-13,8.490938186645508
2010-05-14,8.381643295288086
2010-05-17,8.321343421936035
2010-05-18,8.4381742477417
2010-05-19,8.472092628479004
2010-05-20,8.106528282165527
2010-05-21,8.012309074401855
2010-05-24,7.789955139160156
2010-05-25,7.616593837738037
2010-05-26,7.469611167907715
2010-05-27,7.480921268463135
2010-05-28,7.5864434242248535
2010-06-01,7.488458633422852
2010-06-02,7.560059070587158
2010-06-03,7.533679008483887
2010-06-04,7.28117561340332
2010-06-07,7.220877170562744
2010-06-08,7.401778697967529
2010-06-09,7.356551170349121
2010-06-10,7.450769901275635
2010-06-11,7.533679008483887
2010-06-14,7.4319233894348145
2010-06-15,7.680657863616943
2010-06-16,7.567601203918457
2010-06-17,7.820106029510498
2010-06-18,7.560059070587158
2010-06-21,7.5035319328308105
2010-06-22,7.605288505554199
2010-06-23,7.635438442230225
2010-06-24,7.597750663757324
2010-06-25,7.624130725860596
2010-06-28,7.639204978942871
2010-06-29,7.465843200683594
2010-06-30,7.420618534088135
2010-07-01,7.54121732711792
2010-07-02,7.484689235687256
2010-07-06,7.544990539550781
2010-07-07,7.707040786743164
2010-07-08,7.73342227935791
2010-07-09,7.710807800292969
2010-07-12,7.714576244354248
2010-07-13,7.827643394470215
2010-07-14,7.812567234039307
2010-07-15,7.835178375244141
2010-07-16,7.676897048950195
2010-07-19,7.575139045715332
2010-07-20,7.7221174240112305
2010-07-21,7.771111011505127
2010-07-22,7.699505805969238
2010-07-23,7.838948726654053
2010-07-26,7.963313102722168
2010-07-27,8.019847869873047
2010-07-28,7.921860694885254
2010-07-29,7.970852851867676
2010-07-30,7.982161045074463
2010-08-02,8.057531356811523
2010-08-03,8.13291072845459
2010-08-04,8.204514503479004
2010-08-05,8.287426948547363
2010-08-06,8.366570472717285
2010-08-09,8.362798690795898
2010-08-10,8.453248977661133
2010-08-11,8.294964790344238
2010-08-12,8.304424285888672
2010-08-13,8.327134132385254
2010-08-16,8.296855926513672
2010-08-17,8.338492393493652
2010-08-18,8.1000337600708
2010-08-19,7.982694149017334
2010-08-20,7.9978346824646
2010-08-23,7.914565563201904
2010-08-24,7.7745184898376465
2010-08-25,7.83129358291626
2010-08-26,7.706384658813477
2010-08-27,7.695029258728027
2010-08-30,7.539843559265137
2010-08-31,7.467927932739258
2010-09-01,7.592831611633301
2010-09-02,7.713954448699951
2010-09-03,7.83129358291626
2010-09-07,7.83507776260376
2010-09-08,7.83507776260376
2010-09-09,7.952415466308594
2010-09-10,8.043258666992188
2010-09-13,7.963772296905518
2010-09-14,8.047040939331055
2010-09-15,8.134096145629883
2010-09-16,8.281719207763672
2010-09-17,8.247650146484375
2010-09-20,8.281719207763672
2010-09-21,8.175736427307129
2010-09-22,8.183302879333496
2010-09-23,8.277928352355957
2010-09-24,8.361199378967285
2010-09-27,8.296855926513672
2010-09-28,8.281719207763672
2010-09-29,8.187088966369629
2010-09-30,8.198444366455078
2010-10-01,8.221153259277344
2010-10-04,8.084894180297852
2010-10-05,8.088676452636719
2010-10-06,8.031902313232422
2010-10-07,8.069751739501953
2010-10-08,8.058395385742188
2010-10-11,8.171951293945312
2010-10-12,8.209800720214844
2010-10-13,8.330923080444336
2010-10-14,8.38391399383545
2010-10-15,8.330923080444336
2010-10-18,8.399052619934082
2010-10-19,8.1076021194458
2010-10-20,8.236294746398926
2010-10-21,8.232508659362793
2010-10-22,8.251433372497559
2010-10-25,8.236294746398926
2010-10-26,8.353632926940918
2010-10-27,8.402839660644531
2010-10-28,8.391481399536133
2010-10-29,8.327134132385254
2010-11-01,8.330923080444336
2010-11-02,8.531530380249023
2010-11-03,8.611017227172852
2010-11-04,8.78513240814209
2010-11-05,8.747278213500977
2010-11-08,8.595873832702637
2010-11-09,8.59965705871582
2010-11-10,8.616775512695312
2010-11-11,8.612967491149902
2010-11-12,8.742259979248047
2010-11-15,8.689022064208984
2010-11-16,8.533114433288574
2010-11-17,8.673811912536621
2010-11-18,8.654799461364746
2010-11-19,8.681416511535645
2010-11-22,8.795493125915527
2010-11-23,8.74986457824707
2010-11-24,8.753668785095215
2010-11-26,8.77267837524414
2010-11-29,8.776482582092285
2010-11-30,8.955207824707031
2010-12-01,9.073088645935059
2010-12-02,8.225099563598633
2010-12-03,8.027368545532227
2010-12-06,7.8448381423950195
2010-12-07,7.863851547241211
2010-12-08,7.894273281097412
2010-12-09,7.894273281097412
2010-12-10,7.852445125579834
2010-12-13,8.027368545532227
2010-12-14,7.985532760620117
2010-12-15,8.130035400390625
2010-12-16,8.209891319274902
2010-12-17,8.251720428466797
2010-12-20,8.270731925964355
2010-12-21,8.255522727966309
2010-12-22,8.282139778137207
2010-12-23,8.259324073791504
2010-12-27,8.342981338500977
2010-12-28,8.266931533813477
2010-12-29,8.35819149017334
2010-12-30,8.434247016906738
2010-12-31,8.502691268920898
2011-01-03,8.369603157043457
2011-01-04,8.251720428466797
2011-01-05,8.308758735656738
2011-01-06,8.21749496459961
2011-01-07,8.213695526123047
2011-01-10,8.1870756149292
2011-01-11,8.156654357910156
2011-01-12,8.270731925964355
2011-01-13,8.183271408081055
2011-01-14,8.152853965759277
2011-01-18,8.149045944213867
2011-01-19,8.179471969604492
2011-01-20,8.209891319274902
2011-01-21,8.198482513427734
2011-01-24,8.251720428466797
2011-01-25,8.232707977294922
2011-01-26,8.21749496459961
2011-01-27,8.179471969604492
2011-01-28,8.095810890197754
2011-01-31,8.137641906738281
2011-02-01,8.247918128967285
2011-02-02,8.228903770446777
2011-02-03,8.350587844848633
2011-02-04,8.49128532409668
2011-02-07,8.49128532409668
2011-02-08,8.472270011901855
2011-02-09,8.609167098999023
2011-02-10,8.56353759765625
2011-02-11,8.630393981933594
2011-02-14,8.56926441192627
2011-02-15,8.638033866882324
2011-02-16,8.87108325958252
2011-02-17,8.821415901184082
2011-02-18,8.825237274169922
2011-02-22,8.863439559936523
2011-02-23,8.829057693481445
2011-02-24,8.7755708694458
2011-02-25,8.73354721069336
2011-02-28,8.748827934265137
2011-03-01,8.683880805969238
2011-03-02,8.603650093078613
2011-03-03,8.794676780700684
2011-03-04,9.016261100769043
2011-03-07,9.031542778015137
2011-03-08,9.058282852172852
2011-03-09,9.065923690795898
2011-03-10,9.146153450012207
2011-03-11,9.13469409942627
2011-03-14,9.115592002868652
2011-03-15,9.169076919555664
2011-03-16,8.985695838928223
2011-03-17,9.065923690795898
2011-03-18,9.115592002868652
2011-03-21,9.031542778015137
2011-03-22,9.035361289978027
2011-03-23,8.97805404663086
