Date,KEY
2010-01-04,3.6432995796203613
2010-01-05,3.7843706607818604
2010-01-06,3.759836435317993
2010-01-07,3.9193077087402344
2010-01-08,3.9867749214172363
2010-01-11,4.005177974700928
2010-01-12,3.9315755367279053
2010-01-13,3.9806418418884277
2010-01-14,4.201448917388916
2010-01-15,4.219848155975342
2010-01-19,4.146247386932373
2010-01-20,4.268916606903076
2010-01-21,4.501991271972656
2010-01-22,4.446789741516113
2010-01-25,4.330252170562744
2010-01-26,4.225983142852783
2010-01-27,4.3854546546936035
2010-01-28,4.459057807922363
2010-01-29,4.4038543701171875
2010-02-01,4.501991271972656
2010-02-02,4.612393856048584
2010-02-03,4.544924736022949
2010-02-04,4.262783527374268
2010-02-05,4.225983142852783
2010-02-08,4.183048248291016
2010-02-09,4.244384288787842
2010-02-10,4.219848155975342
2010-02-11,4.213714599609375
2010-02-12,4.164647579193115
2010-02-16,4.244384288787842
2010-02-17,4.189182281494141
2010-02-18,4.133979797363281
2010-02-19,4.164647579193115
2010-02-22,4.275050163269043
2010-02-23,4.133979797363281
2010-02-24,4.360920429229736
2010-02-25,4.287318706512451
2010-02-26,4.39173698425293
2010-03-01,4.2811760902404785
2010-03-02,4.32417106628418
2010-03-03,4.32417106628418
2010-03-04,4.361024379730225
2010-03-05,4.453159809112549
2010-03-08,4.4654459953308105
2010-03-09,4.4593024253845215
2010-03-10,4.643571376800537
2010-03-11,4.840123176574707
2010-03-12,4.637428283691406
2010-03-15,4.649712562561035
2010-03-16,4.7295637130737305
2010-03-17,4.852407932281494
2010-03-18,4.643571376800537
2010-03-19,4.668137073516846
2010-03-22,4.692708492279053
2010-03-23,4.723421096801758
2010-03-24,4.852407932281494
2010-03-25,4.870835304260254
2010-03-26,4.8278398513793945
2010-03-29,4.741847991943359
2010-03-30,4.766417503356934
2010-03-31,4.760274410247803
2010-04-01,4.790985584259033
2010-04-05,5.012108325958252
2010-04-06,5.202517986297607
2010-04-07,5.23322868347168
2010-04-08,5.122668743133545
2010-04-09,5.128809452056885
2010-04-12,5.122668743133545
2010-04-13,4.999824523925781
2010-04-14,5.23322868347168
2010-04-15,5.128809452056885
2010-04-16,4.913833141326904
2010-04-19,4.993680953979492
2010-04-20,5.270083427429199
2010-04-21,5.491206169128418
2010-04-22,5.601766109466553
2010-04-23,5.644764423370361
2010-04-26,5.405215263366699
2010-04-27,5.294653415679932
2010-04-28,5.349934101104736
2010-04-29,5.503488540649414
2010-04-30,5.54034423828125
2010-05-03,5.521918296813965
2010-05-04,5.306939125061035
2010-05-05,5.245515823364258
2010-05-06,4.895402431488037
2010-05-07,4.840123176574707
2010-05-10,5.128809452056885
2010-05-11,5.270083427429199
2010-05-12,5.362217903137207
2010-05-13,5.331508159637451
2010-05-14,5.17794942855835
2010-05-17,5.073531150817871
2010-05-18,4.833981037139893
2010-05-19,4.784843921661377
2010-05-20,4.588289737701416
2010-05-21,4.833981037139893
2010-05-24,4.60671854019165
2010-05-25,4.784843921661377
2010-05-26,4.7357072830200195
2010-05-27,5.043217658996582
2010-05-28,4.932514667510986
2010-06-01,4.852560043334961
2010-06-02,5.067817687988281
2010-06-03,5.0247673988342285
2010-06-04,4.778754711151123
2010-06-07,4.63730001449585
2010-06-08,4.803357124328613
2010-06-09,4.864861011505127
2010-06-10,5.061668872833252
2010-06-11,5.067817687988281
2010-06-14,4.994015216827393
2010-06-15,5.110870361328125
2010-06-16,5.160075664520264
2010-06-17,5.110870361328125
2010-06-18,5.14777135848999
2010-06-21,5.190823554992676
2010-06-22,5.0247673988342285
2010-06-23,5.0555195808410645
2010-06-24,4.950965404510498
2010-06-25,5.086269855499268
2010-06-28,5.0555195808410645
2010-06-29,4.803357124328613
2010-06-30,4.729554653167725
2010-07-01,4.532746315002441
2010-07-02,4.440493106842041
2010-07-06,4.557347774505615
2010-07-07,4.920213222503662
2010-07-08,5.000166893005371
2010-07-09,5.135470867156982
2010-07-12,5.061668872833252
2010-07-13,5.14777135848999
2010-07-14,5.067817687988281
2010-07-15,5.0493669509887695
2010-07-16,4.766456604003906
2010-07-19,4.778754711151123
2010-07-20,4.760306358337402
2010-07-21,4.63730001449585
2010-07-22,4.889461040496826
2010-07-23,4.938663482666016
2010-07-26,5.110870361328125
2010-07-27,5.178524971008301
2010-07-28,5.203123569488525
2010-07-29,5.190823554992676
2010-07-30,5.203123569488525
2010-08-02,5.479886531829834
2010-08-03,5.233876705169678
2010-08-04,5.215426445007324
2010-08-05,5.203123569488525
2010-08-06,5.0247673988342285
2010-08-09,5.14777135848999
2010-08-10,5.22157621383667
2010-08-11,4.864861011505127
2010-08-12,4.797208309173584
2010-08-13,4.809508800506592
2010-08-16,4.79105806350708
2010-08-17,4.8279571533203125
2010-08-18,4.784906387329102
2010-08-19,4.674201011657715
2010-08-20,4.6988043785095215
2010-08-23,4.6988043785095215
2010-08-24,4.520445823669434
2010-08-25,4.4712443351745605
2010-08-26,4.514296054840088
2010-08-27,4.668262481689453
2010-08-30,4.4773430824279785
2010-08-31,4.538929462432861
2010-09-01,4.834544658660889
2010-09-02,4.883814811706543
2010-09-03,4.945401668548584
2010-09-07,4.754483222961426
2010-09-08,4.914607524871826
2010-09-09,5.000828742980957
2010-09-10,5.062417030334473
2010-09-13,5.117843151092529
2010-09-14,4.970035076141357
2010-09-15,5.056255340576172
2010-09-16,5.037782669067383
2010-09-17,5.068573951721191
2010-09-20,5.148636817932129
2010-09-21,5.025463104248047
2010-09-22,4.85302209854126
2010-09-23,4.711373329162598
2010-09-24,4.865339756011963
