Date,AWK
2010-01-04,15.887508392333984
2010-01-05,16.04883575439453
2010-01-06,16.133012771606445
2010-01-07,16.168081283569336
2010-01-08,16.133012771606445
2010-01-11,16.294343948364258
2010-01-12,16.217182159423828
2010-01-13,16.287330627441406
2010-01-14,16.11898422241211
2010-01-15,15.852432250976562
2010-01-19,15.782299041748047
2010-01-20,15.747228622436523
2010-01-21,15.508742332458496
2010-01-22,15.473661422729492
2010-01-25,15.536791801452637
2010-01-26,15.44560718536377
2010-01-27,15.44560718536377
2010-01-28,15.193086624145508
2010-01-29,15.291287422180176
2010-02-01,15.529777526855469
2010-02-02,15.501727104187012
2010-02-03,15.684091567993164
2010-02-04,15.256216049194336
2010-02-05,15.20711612701416
2010-02-08,15.15802001953125
2010-02-09,15.010716438293457
2010-02-10,15.129964828491211
2010-02-11,15.305323600769043
2010-02-12,15.543807029724121
2010-02-16,15.66418743133545
2010-02-17,15.727924346923828
2010-02-18,15.940367698669434
2010-02-19,16.202383041381836
2010-02-22,16.067838668823242
2010-02-23,15.897884368896484
2010-02-24,15.763338088989258
2010-02-25,15.798733711242676
2010-02-26,15.763338088989258
2010-03-01,14.927714347839355
2010-03-02,14.694032669067383
2010-03-03,14.814413070678711
2010-03-04,15.048105239868164
2010-03-05,15.161404609680176
2010-03-08,15.118917465209961
2010-03-09,15.026854515075684
2010-03-10,14.920639991760254
2010-03-11,14.885232925415039
2010-03-12,14.84274959564209
2010-03-15,14.941888809204102
2010-03-16,14.920639991760254
2010-03-17,15.062260627746582
2010-03-18,15.15433120727539
2010-03-19,15.048105239868164
2010-03-22,14.948958396911621
2010-03-23,15.3030366897583
2010-03-24,15.366765022277832
2010-03-25,15.232226371765137
2010-03-26,15.048105239868164
2010-03-29,15.175570487976074
2010-03-30,15.133086204528809
2010-03-31,15.409257888793945
2010-04-01,15.444659233093262
2010-04-05,15.685434341430664
2010-04-06,15.678359031677246
2010-04-07,15.373847961425781
2010-04-08,15.118917465209961
2010-04-09,15.310114860534668
2010-04-12,15.260546684265137
2010-04-13,15.210976600646973
2010-04-14,15.182652473449707
2010-04-15,15.175570487976074
2010-04-16,15.203892707824707
2010-04-19,15.026854515075684
2010-04-20,15.189736366271973
2010-04-21,15.324285507202148
2010-04-22,15.175570487976074
2010-04-23,15.126004219055176
2010-04-26,14.913554191589355
2010-04-27,14.75068473815918
2010-04-28,15.041013717651367
2010-04-29,15.359683990478516
2010-04-30,15.423418998718262
2010-05-03,15.53672981262207
2010-05-04,15.579214096069336
2010-05-05,15.58629322052002
2010-05-06,15.15433120727539
2010-05-07,14.665706634521484
2010-05-10,15.529643058776855
2010-05-11,15.33135986328125
2010-05-12,15.366765022277832
2010-05-13,15.402176856994629
2010-05-14,15.28776741027832
2010-05-17,15.223413467407227
2010-05-18,14.958843231201172
2010-05-19,14.765776634216309
2010-05-20,14.265247344970703
2010-05-21,14.365358352661133
2010-05-24,14.336756706237793
2010-05-25,14.308148384094238
2010-05-26,14.301005363464355
2010-05-27,14.501211166381836
2010-05-28,14.544114112854004
2010-06-01,14.315296173095703
2010-06-02,14.458308219909668
2010-06-03,14.594167709350586
2010-06-04,14.243794441223145
2010-06-07,14.243794441223145
2010-06-08,14.451153755187988
2010-06-09,14.372504234313965
2010-06-10,14.308148384094238
2010-06-11,14.372504234313965
2010-06-14,14.77293586730957
2010-06-15,14.915946006774902
2010-06-16,14.937390327453613
2010-06-17,15.080404281616211
2010-06-18,15.545190811157227
2010-06-21,15.3378267288208
2010-06-22,15.08756160736084
2010-06-23,14.994597434997559
2010-06-24,14.873039245605469
2010-06-25,15.030353546142578
2010-06-28,15.144756317138672
2010-06-29,14.844438552856445
2010-06-30,14.730030059814453
2010-07-01,14.301005363464355
2010-07-02,14.322452545166016
2010-07-06,14.508362770080566
2010-07-07,15.073249816894531
2010-07-08,15.166213035583496
2010-07-09,15.180510520935059
2010-07-12,15.058952331542969
2010-07-13,15.101853370666504
2010-07-14,15.216263771057129
2010-07-15,15.273472785949707
2010-07-16,14.90164852142334
2010-07-19,15.058952331542969
2010-07-20,15.344970703125
2010-07-21,15.008901596069336
2010-07-22,15.28776741027832
2010-07-23,15.259163856506348
2010-07-26,15.530890464782715
2010-07-27,15.616693496704102
2010-07-28,15.409326553344727
2010-07-29,15.19481372833252
2010-07-30,15.28776741027832
2010-08-02,15.588089942932129
2010-08-03,15.416483879089355
2010-08-04,15.43078327178955
2010-08-05,16.174428939819336
2010-08-06,16.13152503967285
2010-08-09,16.16013526916504
2010-08-10,16.31743812561035
2010-08-11,16.24593162536621
2010-08-12,16.074323654174805
2010-08-13,16.203035354614258
2010-08-16,15.95753288269043
2010-08-17,16.12360382080078
2010-08-18,16.080289840698242
2010-08-19,15.950305938720703
2010-08-20,15.943097114562988
2010-08-23,15.885334014892578
2010-08-24,15.84921932220459
2010-08-25,16.361886978149414
2010-08-26,16.383546829223633
2010-08-27,16.41965675354004
2010-08-30,16.31856346130371
2010-08-31,16.304121017456055
2010-09-01,16.636268615722656
2010-09-02,16.795114517211914
2010-09-03,16.85288429260254
2010-09-07,16.520736694335938
2010-09-08,16.246356964111328
2010-09-09,16.28968048095703
2010-09-10,16.325788497924805
2010-09-13,16.441312789916992
2010-09-14,16.448532104492188
2010-09-15,16.499067306518555
2010-09-16,16.412433624267578
2010-09-17,16.708477020263672
2010-09-20,16.74457550048828
2010-09-21,16.650705337524414
2010-09-22,16.780675888061523
2010-09-23,16.636268615722656
2010-09-24,16.961196899414062
2010-09-27,16.845666885375977
2010-09-28,16.80234718322754
