Date,EL
2010-01-04,20.13813018798828
2010-01-05,20.059310913085938
2010-01-06,20.121545791625977
2010-01-07,20.374608993530273
2010-01-08,20.457590103149414
2010-01-11,20.652578353881836
2010-01-12,20.561309814453125
2010-01-13,20.731412887573242
2010-01-14,20.702375411987305
2010-01-15,20.644277572631836
2010-01-19,20.739707946777344
2010-01-20,20.345565795898438
2010-01-21,22.208370208740234
2010-01-22,22.05901336669922
2010-01-25,22.05901336669922
2010-01-26,22.21666717529297
2010-01-27,22.254011154174805
2010-01-28,22.005081176757812
2010-01-29,21.789348602294922
2010-02-01,22.320384979248047
2010-02-02,23.233112335205078
2010-02-03,23.4696044921875
2010-02-04,23.166732788085938
2010-02-05,22.984188079833984
2010-02-08,23.096206665039062
2010-02-09,23.33683967590332
2010-02-10,23.258010864257812
2010-02-11,23.594064712524414
2010-02-12,23.50693702697754
2010-02-16,24.21222496032715
2010-02-17,24.41966438293457
2010-02-18,24.689334869384766
2010-02-19,24.4072208404541
2010-02-22,24.51508331298828
2010-02-23,24.33669662475586
2010-02-24,24.896778106689453
2010-02-25,25.129104614257812
2010-02-26,24.946565628051758
2010-03-01,25.78876304626465
2010-03-02,25.602069854736328
2010-03-03,25.38218116760254
2010-03-04,25.340694427490234
2010-03-05,25.58132553100586
2010-03-08,25.86343765258789
2010-03-09,25.577178955078125
2010-03-10,25.66429901123047
2010-03-11,26.216083526611328
2010-03-12,26.348844528198242
2010-03-15,26.182899475097656
2010-03-16,26.319805145263672
2010-03-17,26.523090362548828
2010-03-18,26.469165802001953
2010-03-19,26.191190719604492
2010-03-22,26.94626808166504
2010-03-23,27.091474533081055
2010-03-24,26.42352294921875
2010-03-25,26.299060821533203
2010-03-26,26.518945693969727
2010-03-29,27.000211715698242
2010-03-30,27.174453735351562
2010-03-31,26.91307830810547
2010-04-01,27.2076416015625
2010-04-05,26.863298416137695
2010-04-06,26.253421783447266
2010-04-07,26.336402893066406
2010-04-08,26.5687313079834
2010-04-09,27.157859802246094
2010-04-12,27.348697662353516
2010-04-13,27.319658279418945
2010-04-14,27.67646026611328
2010-04-15,27.883878707885742
2010-04-16,28.1660099029541
2010-04-19,27.97101593017578
2010-04-20,28.439828872680664
2010-04-21,28.058141708374023
2010-04-22,28.61408042907715
2010-04-23,28.833955764770508
2010-04-26,29.033096313476562
2010-04-27,27.8216495513916
2010-04-28,27.630823135375977
2010-04-29,27.469011306762695
2010-04-30,27.348697662353516
2010-05-03,27.435821533203125
2010-05-04,26.991907119750977
2010-05-05,26.05428123474121
2010-05-06,25.22038459777832
2010-05-07,24.282756805419922
2010-05-10,26.06257438659668
2010-05-11,26.195344924926758
2010-05-12,26.510643005371094
2010-05-13,26.220237731933594
2010-05-14,25.3241024017334
2010-05-17,25.62696075439453
2010-05-18,25.07101821899414
2010-05-19,24.925813674926758
2010-05-20,24.083621978759766
2010-05-21,24.436254501342773
2010-05-24,24.307649612426758
2010-05-25,23.884475708007812
2010-05-26,23.42811393737793
2010-05-27,24.34913444519043
2010-05-28,24.174890518188477
2010-06-01,24.029680252075195
2010-06-02,24.34913444519043
2010-06-03,24.689334869384766
2010-06-04,22.95929718017578
2010-06-07,22.77260398864746
2010-06-08,23.26215362548828
2010-06-09,23.643850326538086
2010-06-10,24.108503341674805
2010-06-11,24.00478744506836
2010-06-14,24.129262924194336
2010-06-15,24.99634552001953
2010-06-16,24.66444969177246
2010-06-17,24.780607223510742
2010-06-18,24.867734909057617
2010-06-21,24.469449996948242
2010-06-22,23.96330451965332
2010-06-23,23.78905487060547
2010-06-24,23.4447078704834
2010-06-25,23.328535079956055
2010-06-28,23.31194305419922
2010-06-29,22.980043411254883
2010-06-30,23.121097564697266
2010-07-01,23.61066246032715
2010-07-02,23.809799194335938
2010-07-06,24.33669662475586
2010-07-07,25.054426193237305
2010-07-08,25.51494598388672
2010-07-09,25.80120277404785
2010-07-12,25.78461456298828
2010-07-13,26.440120697021484
2010-07-14,27.01679039001465
2010-07-15,26.937959671020508
2010-07-16,26.332250595092773
2010-07-19,26.05843162536621
2010-07-20,25.89662742614746
2010-07-21,25.37388038635254
2010-07-22,25.834394454956055
2010-07-23,26.000349044799805
2010-07-26,26.12480926513672
2010-07-27,26.315658569335938
2010-07-28,25.722389221191406
2010-07-29,25.88418960571289
2010-07-30,25.826099395751953
2010-08-02,26.323949813842773
2010-08-03,26.045976638793945
2010-08-04,26.253421783447266
2010-08-05,26.265867233276367
2010-08-06,26.328094482421875
2010-08-09,26.523090362548828
2010-08-10,26.12066078186035
2010-08-11,25.037830352783203
2010-08-12,24.394773483276367
2010-08-13,23.98819351196289
2010-08-16,23.82639503479004
2010-08-17,24.295202255249023
2010-08-18,24.36157989501953
2010-08-19,24.0794677734375
2010-08-20,23.809799194335938
2010-08-23,23.465450286865234
2010-08-24,23.42811393737793
2010-08-25,23.61479949951172
2010-08-26,23.502792358398438
2010-08-27,23.79734992980957
2010-08-30,23.11280632019043
2010-08-31,23.26215362548828
2010-09-01,24.0960693359375
2010-09-02,24.21222496032715
2010-09-03,24.527538299560547
2010-09-07,23.88862419128418
2010-09-08,24.21222496032715
2010-09-09,24.20808219909668
2010-09-10,24.32839584350586
2010-09-13,24.411375045776367
2010-09-14,24.465307235717773
2010-09-15,24.606359481811523
2010-09-16,24.556577682495117
2010-09-17,24.423812866210938
2010-09-20,25.037830352783203
2010-09-21,25.025390625
2010-09-22,25.041980743408203
2010-09-23,24.909225463867188
2010-09-24,25.47760009765625
2010-09-27,25.43197250366211
2010-09-28,26.05428123474121
