Date,PRU
2010-01-04,28.895721435546875
2010-01-05,29.46505355834961
2010-01-06,29.81109619140625
2010-01-07,30.291118621826172
2010-01-08,29.894832611083984
2010-01-11,29.855754852294922
2010-01-12,29.61016273498535
2010-01-13,30.028783798217773
2010-01-14,30.185077667236328
2010-01-15,29.83901023864746
2010-01-19,30.240888595581055
2010-01-20,29.928319931030273
2010-01-21,28.79525375366211
2010-01-22,27.935701370239258
2010-01-25,28.3040771484375
2010-01-26,27.611963272094727
2010-01-27,28.817583084106445
2010-01-28,28.237098693847656
2010-01-29,27.90220832824707
2010-02-01,28.58873748779297
2010-02-02,28.990615844726562
2010-02-03,28.108722686767578
2010-02-04,26.9086971282959
2010-02-05,27.087299346923828
2010-02-08,26.244478225708008
2010-02-09,26.992408752441406
2010-02-10,27.282655715942383
2010-02-11,27.120786666870117
2010-02-12,26.869626998901367
2010-02-16,27.86871337890625
2010-02-17,28.22593116760254
2010-02-18,28.510601043701172
2010-02-19,28.745019912719727
2010-02-22,28.85666275024414
2010-02-23,28.19245719909668
2010-02-24,28.968292236328125
2010-02-25,29.158065795898438
2010-02-26,29.252952575683594
2010-03-01,29.83901023864746
2010-03-02,29.699472427368164
2010-03-03,29.48737144470215
2010-03-04,30.01203727722168
2010-03-05,30.46413803100586
2010-03-08,30.877187728881836
2010-03-09,30.9329833984375
2010-03-10,31.15069007873535
2010-03-11,31.156259536743164
2010-03-12,31.20649528503418
2010-03-15,31.18975067138672
2010-03-16,31.8651123046875
2010-03-17,32.14419937133789
2010-03-18,32.255828857421875
2010-03-19,32.350711822509766
2010-03-22,32.41770553588867
2010-03-23,32.56837844848633
2010-03-24,32.59071350097656
2010-03-25,32.652122497558594
2010-03-26,33.04840850830078
2010-03-29,33.439117431640625
2010-03-30,33.30515670776367
2010-03-31,33.768409729003906
2010-04-01,34.20936965942383
2010-04-05,35.163814544677734
2010-04-06,35.61592102050781
2010-04-07,35.07451629638672
2010-04-08,35.43172073364258
2010-04-09,35.45405197143555
2010-04-12,35.21405792236328
2010-04-13,35.375919342041016
2010-04-14,36.34152603149414
2010-04-15,35.97871780395508
2010-04-16,35.07451629638672
2010-04-19,35.53779220581055
2010-04-20,36.43641662597656
2010-04-21,36.1964111328125
2010-04-22,36.04571533203125
2010-04-23,36.737815856933594
2010-04-26,36.553619384765625
2010-04-27,34.41588592529297
2010-04-28,35.03543472290039
2010-04-29,36.40850067138672
2010-04-30,35.47638702392578
2010-05-03,35.92291259765625
2010-05-04,34.41588592529297
2010-05-05,34.24286651611328
2010-05-06,33.50609588623047
2010-05-07,32.456764221191406
2010-05-10,34.951717376708984
2010-05-11,35.25312805175781
2010-05-12,35.71080017089844
2010-05-13,34.52193069458008
2010-05-14,33.74611282348633
2010-05-17,33.9693717956543
2010-05-18,33.33864212036133
2010-05-19,32.618621826171875
2010-05-20,30.47530746459961
2010-05-21,31.474407196044922
2010-05-24,30.6539249420166
2010-05-25,31.078115463256836
2010-05-26,31.089290618896484
2010-05-27,33.00933837890625
2010-05-28,32.21116638183594
2010-06-01,31.658597946166992
2010-06-02,32.90327072143555
2010-06-03,33.104225158691406
2010-06-04,31.06694984436035
2010-06-07,30.469722747802734
2010-06-08,31.228822708129883
2010-06-09,30.787870407104492
2010-06-10,32.47908401489258
2010-06-11,32.82514190673828
2010-06-14,32.36186981201172
2010-06-15,32.92002868652344
2010-06-16,32.64094543457031
2010-06-17,32.942359924316406
2010-06-18,32.9591178894043
2010-06-21,32.813987731933594
2010-06-22,32.20558166503906
2010-06-23,31.831628799438477
2010-06-24,31.15069007873535
2010-06-25,32.12186050415039
2010-06-28,32.07722091674805
2010-06-29,30.34135627746582
2010-06-30,29.95063591003418
2010-07-01,30.079010009765625
2010-07-02,30.079010009765625
2010-07-06,30.346925735473633
2010-07-07,31.122764587402344
2010-07-08,31.318117141723633
2010-07-09,31.479991912841797
2010-07-12,31.407432556152344
2010-07-13,31.747894287109375
2010-07-14,31.26230812072754
2010-07-15,31.245567321777344
2010-07-16,29.816680908203125
2010-07-19,29.777620315551758
2010-07-20,29.95063591003418
2010-07-21,29.420387268066406
2010-07-22,30.51997184753418
2010-07-23,30.9329833984375
2010-07-26,30.96089744567871
2010-07-27,31.122764587402344
2010-07-28,30.94415855407715
2010-07-29,31.279056549072266
2010-07-30,31.97674560546875
2010-08-02,32.585140228271484
2010-08-03,31.88184928894043
2010-08-04,31.65300178527832
2010-08-05,32.37302780151367
2010-08-06,32.97585678100586
2010-08-09,33.232601165771484
2010-08-10,33.05957794189453
2010-08-11,31.591623306274414
2010-08-12,30.977645874023438
2010-08-13,30.972068786621094
2010-08-16,30.54229164123535
2010-08-17,31.078115463256836
2010-08-18,30.905092239379883
2010-08-19,29.509702682495117
2010-08-20,29.269691467285156
2010-08-23,28.990615844726562
2010-08-24,28.248258590698242
2010-08-25,28.125471115112305
2010-08-26,27.712434768676758
2010-08-27,28.70595932006836
2010-08-30,27.952436447143555
2010-08-31,28.24267578125
2010-09-01,29.46505355834961
2010-09-02,29.86691665649414
2010-09-03,30.71531105041504
2010-09-07,29.827842712402344
2010-09-08,30.023197174072266
2010-09-09,30.503211975097656
2010-09-10,30.067840576171875
2010-09-13,30.799043655395508
2010-09-14,30.52554702758789
2010-09-15,31.011125564575195
2010-09-16,30.91625213623047
2010-09-17,30.82137107849121
2010-09-20,31.424171447753906
2010-09-21,32.12744903564453
2010-09-22,31.50789451599121
2010-09-23,30.447402954101562
2010-09-24,31.26230812072754
2010-09-27,31.106029510498047
2010-09-28,31.145095825195312
