Date,OMC
2010-01-04,24.854745864868164
2010-01-05,24.766929626464844
2010-01-06,24.572452545166016
2010-01-07,24.42815589904785
2010-01-08,24.710451126098633
2010-01-11,24.710451126098633
2010-01-12,24.296417236328125
2010-01-13,24.566173553466797
2010-01-14,23.90748405456543
2010-01-15,23.625171661376953
2010-01-19,23.7130069732666
2010-01-20,23.518545150756836
2010-01-21,23.229963302612305
2010-01-22,22.76573371887207
2010-01-25,22.972768783569336
2010-01-26,22.928842544555664
2010-01-27,22.583816528320312
2010-01-28,22.489721298217773
2010-01-29,22.144689559936523
2010-02-01,22.602630615234375
2010-02-02,23.17350196838379
2010-02-03,23.22368621826172
2010-02-04,22.433258056640625
2010-02-05,22.13214111328125
2010-02-08,21.667917251586914
2010-02-09,22.113323211669922
2010-02-10,22.42698860168457
2010-02-11,22.307802200317383
2010-02-12,22.081958770751953
2010-02-16,22.552452087402344
2010-02-17,22.803380966186523
2010-02-18,23.073137283325195
2010-02-19,23.255050659179688
2010-02-22,23.198604583740234
2010-02-23,23.00412368774414
2010-02-24,23.135862350463867
2010-02-25,22.972768783569336
2010-02-26,22.972768783569336
2010-03-01,23.637731552124023
2010-03-02,23.625171661376953
2010-03-03,23.73239517211914
2010-03-04,23.656709671020508
2010-03-05,24.003583908081055
2010-03-08,23.95943832397461
2010-03-09,24.110794067382812
2010-03-10,24.49551773071289
2010-03-11,24.76039695739746
2010-03-12,24.791942596435547
2010-03-15,24.697330474853516
2010-03-16,24.74778175354004
2010-03-17,25.088350296020508
2010-03-18,24.949607849121094
2010-03-19,24.64687728881836
2010-03-22,25.012670516967773
2010-03-23,25.11358070373535
2010-03-24,25.06943702697754
2010-03-25,25.082046508789062
2010-03-26,25.107275009155273
2010-03-29,24.955913543701172
2010-03-30,25.151426315307617
2010-03-31,24.47660255432129
2010-04-01,24.489219665527344
2010-04-05,24.74778175354004
2010-04-06,24.848697662353516
2010-04-07,24.53336524963379
2010-04-08,24.709936141967773
2010-04-09,24.88022804260254
2010-04-12,24.74778175354004
2010-04-13,24.911758422851562
2010-04-14,25.737953186035156
2010-04-15,25.98392105102539
2010-04-16,25.561357498168945
2010-04-19,25.93345832824707
2010-04-20,27.48493003845215
2010-04-21,27.037153244018555
2010-04-22,27.06867790222168
2010-04-23,27.352474212646484
2010-04-26,27.14436912536621
2010-04-27,26.374923706054688
2010-04-28,26.595666885375977
2010-04-29,27.201126098632812
2010-04-30,26.904706954956055
2010-05-03,27.472318649291992
2010-05-04,26.62720489501953
2010-05-05,26.103748321533203
2010-05-06,25.618120193481445
2010-05-07,24.73516845703125
2010-05-10,25.990215301513672
2010-05-11,26.179424285888672
2010-05-12,26.507373809814453
2010-05-13,26.337106704711914
2010-05-14,25.927154541015625
2010-05-17,25.996524810791016
2010-05-18,25.567670822143555
2010-05-19,25.20186996459961
2010-05-20,24.054040908813477
2010-05-21,24.19278907775879
2010-05-24,23.795459747314453
2010-05-25,23.328760147094727
2010-05-26,23.776548385620117
2010-05-27,24.457679748535156
2010-05-28,23.9342041015625
2010-06-01,23.19632339477539
2010-06-02,23.927907943725586
2010-06-03,24.02250862121582
2010-06-04,22.7485408782959
2010-06-07,22.786386489868164
2010-06-08,22.7485408782959
2010-06-09,22.7485408782959
2010-06-10,23.536884307861328
2010-06-11,23.720760345458984
2010-06-14,23.758817672729492
2010-06-15,24.47531509399414
2010-06-16,24.66554832458496
2010-06-17,24.323139190673828
2010-06-18,24.139257431030273
2010-06-21,24.018783569335938
2010-06-22,23.295940399169922
2010-06-23,23.467134475708008
2010-06-24,22.972564697265625
2010-06-25,22.91548728942871
2010-06-28,22.852081298828125
2010-06-29,22.097530364990234
2010-06-30,21.748796463012695
2010-07-01,21.755142211914062
2010-07-02,21.50150489807129
2010-07-06,21.41273307800293
2010-07-07,21.831220626831055
2010-07-08,21.881948471069336
2010-07-09,21.945354461669922
2010-07-12,22.1038761138916
2010-07-13,22.795019149780273
2010-07-14,22.68722152709961
2010-07-15,22.928178787231445
2010-07-16,22.389202117919922
2010-07-19,22.820384979248047
2010-07-20,23.441781997680664
2010-07-21,23.080345153808594
2010-07-22,23.930011749267578
2010-07-23,24.399232864379883
2010-07-26,24.297780990600586
2010-07-27,24.082199096679688
2010-07-28,23.701745986938477
2010-07-29,23.631996154785156
2010-07-30,23.62565803527832
2010-08-02,24.088531494140625
2010-08-03,24.006105422973633
2010-08-04,24.26607894897461
2010-08-05,24.608478546142578
2010-08-06,24.335824966430664
2010-08-09,24.66554832458496
2010-08-10,24.367525100708008
2010-08-11,23.612979888916016
2010-08-12,23.295940399169922
2010-08-13,23.05498695373535
2010-08-16,22.985244750976562
2010-08-17,23.232540130615234
2010-08-18,23.422740936279297
2010-08-19,23.074010848999023
2010-08-20,23.112056732177734
2010-08-23,22.68722152709961
2010-08-24,22.401891708374023
2010-08-25,22.477983474731445
2010-08-26,22.389202117919922
2010-08-27,22.63015365600586
2010-08-30,22.26239013671875
2010-08-31,22.198989868164062
2010-09-01,22.70625114440918
2010-09-02,22.858421325683594
2010-09-03,23.467134475708008
2010-09-07,22.997926712036133
2010-09-08,23.384708404541016
2010-09-09,23.54322052001953
2010-09-10,23.82221794128418
2010-09-13,24.272409439086914
2010-09-14,24.37386131286621
2010-09-15,24.31679344177246
2010-09-16,24.31046485900879
2010-09-17,24.868440628051758
2010-09-20,25.161617279052734
2010-09-21,25.059642791748047
2010-09-22,24.87482261657715
2010-09-23,24.575279235839844
2010-09-24,25.359188079833984
2010-09-27,25.212602615356445
2010-09-28,25.308198928833008
