Date,LOW
2010-01-04,17.375816345214844
2010-01-05,17.195749282836914
2010-01-06,17.240764617919922
2010-01-07,17.735925674438477
2010-01-08,17.69841957092285
2010-01-11,17.54836082458496
2010-01-12,17.503345489501953
2010-01-13,17.420820236206055
2010-01-14,17.398313522338867
2010-01-15,17.420915603637695
2010-01-19,17.405847549438477
2010-01-20,17.172365188598633
2010-01-21,17.240148544311523
2010-01-22,16.803306579589844
2010-01-25,16.660205841064453
2010-01-26,16.539695739746094
2010-01-27,16.660205841064453
2010-01-28,16.55475425720215
2010-01-29,16.306211471557617
2010-02-01,16.562297821044922
2010-02-02,17.006664276123047
2010-02-03,16.652673721313477
2010-02-04,16.2685546875
2010-02-05,16.26102638244629
2010-02-08,16.389066696166992
2010-02-09,16.44931983947754
2010-02-10,16.419187545776367
2010-02-11,16.697866439819336
2010-02-12,16.690338134765625
2010-02-16,17.12717628479004
2010-02-17,17.360658645629883
2010-02-18,17.43598175048828
2010-02-19,17.420915603637695
2010-02-22,17.375720977783203
2010-02-23,17.17989730834961
2010-02-24,17.805025100708008
2010-02-25,17.940603256225586
2010-02-26,17.85775375366211
2010-03-01,18.061111450195312
2010-03-02,17.842689514160156
2010-03-03,17.789968490600586
2010-03-04,17.91800880432129
2010-03-05,18.113834381103516
2010-03-08,18.03851890563965
2010-03-09,18.083702087402344
2010-03-10,18.294593811035156
2010-03-11,18.520545959472656
2010-03-12,18.79168128967285
2010-03-15,18.85947036743164
2010-03-16,18.867000579833984
2010-03-17,18.94985008239746
2010-03-18,18.7540283203125
2010-03-19,18.66364097595215
2010-03-22,18.761564254760742
2010-03-23,18.701309204101562
2010-03-24,18.36237335205078
2010-03-25,18.332244873046875
2010-03-26,18.437698364257812
2010-03-29,18.309654235839844
2010-03-30,18.332244873046875
2010-03-31,18.256938934326172
2010-04-01,18.482892990112305
2010-04-05,18.731441497802734
2010-04-06,18.814279556274414
2010-04-07,19.01764488220215
2010-04-08,19.27372169494629
2010-04-09,19.30384635925293
2010-04-12,19.28125762939453
2010-04-13,19.748212814331055
2010-04-14,20.026891708374023
2010-04-15,20.079614639282227
2010-04-16,19.800947189331055
2010-04-19,19.989879608154297
2010-04-20,20.118358612060547
2010-04-21,20.148590087890625
2010-04-22,20.80609703063965
2010-04-23,21.32757568359375
2010-04-26,21.282224655151367
2010-04-27,20.40555191040039
2010-04-28,20.428226470947266
2010-04-29,20.707855224609375
2010-04-30,20.496240615844727
2010-05-03,20.964807510375977
2010-05-04,20.382875442504883
2010-05-05,20.141029357910156
2010-05-06,19.287025451660156
2010-05-07,19.12830924987793
2010-05-10,20.178815841674805
2010-05-11,20.481124877929688
2010-05-12,20.45088768005371
2010-05-13,19.83873176574707
2010-05-14,19.70269012451172
2010-05-17,19.090530395507812
2010-05-18,18.667301177978516
2010-05-19,18.757991790771484
2010-05-20,17.91153907775879
2010-05-21,18.289426803588867
2010-05-24,18.274303436279297
2010-05-25,18.45568084716797
2010-05-26,18.395219802856445
2010-05-27,18.98471450805664
2010-05-28,18.705087661743164
2010-06-01,18.35743522644043
2010-06-02,18.46324920654297
2010-06-03,18.470806121826172
2010-06-04,17.77549934387207
2010-06-07,17.67724609375
2010-06-08,17.662132263183594
2010-06-09,17.594112396240234
2010-06-10,18.01734733581543
2010-06-11,17.745275497436523
2010-06-14,17.72259521484375
2010-06-15,18.08536148071289
2010-06-16,17.53365707397461
2010-06-17,17.140661239624023
2010-06-18,17.09532356262207
2010-06-21,17.01218605041504
2010-06-22,16.445363998413086
2010-06-23,16.513383865356445
2010-06-24,16.0523681640625
2010-06-25,16.12038230895996
2010-06-28,16.0447998046875
2010-06-29,15.568681716918945
2010-06-30,15.43264102935791
2010-07-01,15.425081253051758
2010-07-02,15.319272994995117
2010-07-06,15.084994316101074
2010-07-07,15.409966468811035
2010-07-08,15.289046287536621
2010-07-09,15.440202713012695
2010-07-12,15.387297630310059
2010-07-13,15.991908073425293
2010-07-14,15.772735595703125
2010-07-15,15.780287742614746
2010-07-16,15.145459175109863
2010-07-19,15.145455360412598
2010-07-20,15.44942855834961
2010-07-21,15.183452606201172
2010-07-22,15.829388618469238
2010-07-23,16.04216766357422
2010-07-26,16.566524505615234
2010-07-27,16.072574615478516
2010-07-28,15.730596542358398
2010-07-29,15.563405990600586
2010-07-30,15.760997772216797
2010-08-02,16.209354400634766
2010-08-03,15.760997772216797
2010-08-04,15.814188957214355
2010-08-05,15.760997772216797
2010-08-06,15.411430358886719
2010-08-09,15.434223175048828
2010-08-10,15.13784408569336
2010-08-11,15.054261207580566
2010-08-12,15.00106143951416
2010-08-13,14.88707160949707
2010-08-16,14.970670700073242
2010-08-17,15.191043853759766
2010-08-18,15.798995018005371
2010-08-19,15.502618789672852
2010-08-20,15.685006141662598
2010-08-23,15.373432159423828
2010-08-24,15.365828514099121
2010-08-25,15.738202095031738
2010-08-26,15.69260311126709
2010-08-27,16.034578323364258
2010-08-30,15.54821491241455
2010-08-31,15.411430358886719
2010-09-01,16.140966415405273
2010-09-02,16.672924041748047
2010-09-03,16.688112258911133
2010-09-07,16.361347198486328
2010-09-08,16.36894989013672
2010-09-09,16.391740798950195
2010-09-10,16.353740692138672
2010-09-13,16.49812889099121
2010-09-14,16.361347198486328
2010-09-15,16.323347091674805
2010-09-16,16.194154739379883
2010-09-17,15.973777770996094
2010-09-20,16.30814552307129
2010-09-21,16.482933044433594
2010-09-22,16.536130905151367
2010-09-23,16.353740692138672
2010-09-24,17.08327865600586
2010-09-27,16.923696517944336
2010-09-28,17.030086517333984
