Date,VTR
2010-01-04,24.942401885986328
2010-01-05,25.0632381439209
2010-01-06,24.781299591064453
2010-01-07,25.057485580444336
2010-01-08,24.781299591064453
2010-01-11,25.28187370300293
2010-01-12,25.120758056640625
2010-01-13,25.839975357055664
2010-01-14,25.753681182861328
2010-01-15,25.70189094543457
2010-01-19,26.081636428833008
2010-01-20,25.63859748840332
2010-01-21,25.0632381439209
2010-01-22,24.597179412841797
2010-01-25,24.533884048461914
2010-01-26,24.42456817626953
2010-01-27,24.787046432495117
2010-01-28,24.568408966064453
2010-01-29,24.280723571777344
2010-02-01,24.60293197631836
2010-02-02,24.971162796020508
2010-02-03,24.57990837097168
2010-02-04,23.56150245666504
2010-02-05,24.205913543701172
2010-02-08,23.711103439331055
2010-02-09,23.63630485534668
2010-02-10,23.814666748046875
2010-02-11,24.090858459472656
2010-02-12,24.09659767150879
2010-02-16,24.913625717163086
2010-02-17,25.41420555114746
2010-02-18,25.868751525878906
2010-02-19,25.943553924560547
2010-02-22,25.909038543701172
2010-02-23,25.73066520690918
2010-02-24,25.83423614501953
2010-02-25,25.575300216674805
2010-02-26,25.425718307495117
2010-03-01,25.59832191467285
2010-03-02,25.575300216674805
2010-03-03,25.49475860595703
2010-03-04,25.529279708862305
2010-03-05,25.960813522338867
2010-03-08,26.11616325378418
2010-03-09,26.288774490356445
2010-03-10,26.437236785888672
2010-03-11,26.72832679748535
2010-03-12,27.06599998474121
2010-03-15,27.159143447875977
2010-03-16,27.60743522644043
2010-03-17,27.898513793945312
2010-03-18,27.67729949951172
2010-03-19,27.601594924926758
2010-03-22,28.306053161621094
2010-03-23,28.22454833984375
2010-03-24,28.323522567749023
2010-03-25,28.247838973999023
2010-03-26,28.003324508666992
2010-03-29,28.0266056060791
2010-03-30,28.0266056060791
2010-03-31,27.64236068725586
2010-04-01,27.5899715423584
2010-04-05,28.032421112060547
2010-04-06,28.445789337158203
2010-04-07,27.875242233276367
2010-04-08,27.543384552001953
2010-04-09,27.362911224365234
2010-04-12,27.194080352783203
2010-04-13,27.54921531677246
2010-04-14,27.188247680664062
2010-04-15,26.571128845214844
2010-04-16,25.790998458862305
2010-04-19,25.965662002563477
2010-04-20,26.57695770263672
2010-04-21,26.827289581298828
2010-04-22,27.456064224243164
2010-04-23,27.93927574157715
2010-04-26,28.23036003112793
2010-04-27,27.5899715423584
2010-04-28,27.578327178955078
2010-04-29,28.49237060546875
2010-04-30,27.496814727783203
2010-05-03,28.259496688842773
2010-05-04,27.782089233398438
2010-05-05,27.275588989257812
2010-05-06,26.64099884033203
2010-05-07,26.448875427246094
2010-05-10,28.701948165893555
2010-05-11,28.341001510620117
2010-05-12,28.78345489501953
2010-05-13,28.3875675201416
2010-05-14,27.828664779663086
2010-05-17,27.776275634765625
2010-05-18,27.02523422241211
2010-05-19,26.902986526489258
2010-05-20,25.721132278442383
2010-05-21,26.769079208374023
2010-05-24,26.256744384765625
2010-05-25,26.507102966308594
2010-05-26,26.291688919067383
2010-05-27,27.67146873474121
2010-05-28,27.333805084228516
2010-06-01,27.17078399658203
2010-06-02,27.898513793945312
2010-06-03,27.782089233398438
2010-06-04,26.472169876098633
2010-06-07,26.349905014038086
2010-06-08,26.862232208251953
2010-06-09,27.030105590820312
2010-06-10,28.113901138305664
2010-06-11,28.47319984436035
2010-06-14,28.7912654876709
2010-06-15,29.53343391418457
2010-06-16,29.321378707885742
2010-06-17,29.42151641845703
2010-06-18,29.180017471313477
2010-06-21,29.144668579101562
2010-06-22,28.278820037841797
2010-06-23,28.20224952697754
2010-06-24,27.895963668823242
2010-06-25,28.602783203125
2010-06-28,28.40250587463379
2010-06-29,27.719249725341797
2010-06-30,27.654451370239258
2010-07-01,27.719249725341797
2010-07-02,27.336393356323242
2010-07-06,27.14790153503418
2010-07-07,28.278820037841797
2010-07-08,28.225805282592773
2010-07-09,28.59689712524414
2010-07-12,28.55565643310547
2010-07-13,28.909076690673828
2010-07-14,28.691139221191406
2010-07-15,28.461414337158203
2010-07-16,27.82526206970215
2010-07-19,28.361286163330078
2010-07-20,29.044553756713867
2010-07-21,28.367170333862305
2010-07-22,29.350830078125
2010-07-23,29.769044876098633
2010-07-26,30.528871536254883
2010-07-27,30.416961669921875
2010-07-28,30.010540008544922
2010-07-29,29.67479133605957
2010-07-30,29.875064849853516
2010-08-02,30.870508193969727
2010-08-03,30.71735954284668
2010-08-04,30.793935775756836
2010-08-05,30.363954544067383
2010-08-06,30.43463706970215
2010-08-09,30.758596420288086
2010-08-10,30.693801879882812
2010-08-11,29.83971405029297
2010-08-12,29.374399185180664
2010-08-13,29.368507385253906
2010-08-16,29.39206886291504
2010-08-17,30.32271957397461
2010-08-18,30.257923126220703
2010-08-19,29.462751388549805
2010-08-20,29.59821891784668
2010-08-23,29.562885284423828
2010-08-24,29.203580856323242
2010-08-25,29.44507598876953
2010-08-26,29.238927841186523
2010-08-27,29.816165924072266
2010-08-30,29.686573028564453
2010-08-31,29.75136947631836
2010-09-01,30.829273223876953
2010-09-02,31.029537200927734
2010-09-03,31.42418670654297
2010-09-07,31.017757415771484
2010-09-08,31.147336959838867
2010-09-09,30.670238494873047
2010-09-10,30.71735954284668
2010-09-13,31.117889404296875
2010-09-14,31.200359344482422
2010-09-15,31.530601501464844
2010-09-16,31.42943572998047
2010-09-17,31.465137481689453
2010-09-20,32.00066375732422
2010-09-21,31.268781661987305
2010-09-22,31.131927490234375
2010-09-23,30.257232666015625
2010-09-24,31.066471099853516
2010-09-27,30.673751831054688
2010-09-28,30.780855178833008
