Date,DOV
2010-01-04,21.2149715423584
2010-01-05,21.114803314208984
2010-01-06,21.365217208862305
2010-01-07,21.835994720458984
2010-01-08,22.46202278137207
2010-01-11,22.732467651367188
2010-01-12,22.81260108947754
2010-01-13,23.022953033447266
2010-01-14,23.253324508666992
2010-01-15,22.83262825012207
2010-01-19,22.98789405822754
2010-01-20,22.76251792907715
2010-01-21,22.46202278137207
2010-01-22,21.921127319335938
2010-01-25,21.66069793701172
2010-01-26,21.515464782714844
2010-01-27,21.440336227416992
2010-01-28,21.29510498046875
2010-01-29,21.47540283203125
2010-02-01,21.770875930786133
2010-02-02,22.196590423583984
2010-02-03,22.10143280029297
2010-02-04,21.41529655456543
2010-02-05,20.779247283935547
2010-02-08,20.558881759643555
2010-02-09,21.064716339111328
2010-02-10,21.07974624633789
2010-02-11,21.47540283203125
2010-02-12,21.395265579223633
2010-02-16,21.861032485961914
2010-02-17,22.261695861816406
2010-02-18,22.757509231567383
2010-02-19,23.07803726196289
2010-02-22,23.04798698425293
2010-02-23,22.507099151611328
2010-02-24,22.51716423034668
2010-02-25,22.471834182739258
2010-02-26,22.799266815185547
2010-03-01,23.05113983154297
2010-03-02,23.247594833374023
2010-03-03,23.131732940673828
2010-03-04,23.20729637145996
2010-03-05,23.68584632873535
2010-03-08,23.509538650512695
2010-03-09,23.433977127075195
2010-03-10,23.338274002075195
2010-03-11,23.378562927246094
2010-03-12,23.388639450073242
2010-03-15,23.292926788330078
2010-03-16,23.353376388549805
2010-03-17,23.64051055908203
2010-03-18,23.721115112304688
2010-03-19,23.439010620117188
2010-03-22,23.383607864379883
2010-03-23,23.86719512939453
2010-03-24,23.37352752685547
2010-03-25,23.262704849243164
2010-03-26,23.20729637145996
2010-03-29,23.494434356689453
2010-03-30,23.736223220825195
2010-03-31,23.54983901977539
2010-04-01,23.67576789855957
2010-04-05,23.952835083007812
2010-04-06,24.00320053100586
2010-04-07,23.847043991088867
2010-04-08,23.74629783630371
2010-04-09,24.189586639404297
2010-04-12,24.08884048461914
2010-04-13,24.11402702331543
2010-04-14,24.527099609375
2010-04-15,24.436418533325195
2010-04-16,24.06868553161621
2010-04-19,24.053571701049805
2010-04-20,24.30544662475586
2010-04-21,24.627838134765625
2010-04-22,25.312923431396484
2010-04-23,27.302703857421875
2010-04-26,27.0054931640625
2010-04-27,26.06349754333496
2010-04-28,26.21462631225586
2010-04-29,26.622652053833008
2010-04-30,26.305299758911133
2010-05-03,26.904754638671875
2010-05-04,26.1541748046875
2010-05-05,25.992977142333984
2010-05-06,24.552282333374023
2010-05-07,24.19462013244629
2010-05-10,25.660505294799805
2010-05-11,25.423757553100586
2010-05-12,26.078609466552734
2010-05-13,25.60006332397461
2010-05-14,24.930084228515625
2010-05-17,24.93512725830078
2010-05-18,24.3004150390625
2010-05-19,23.766447067260742
2010-05-20,22.27033805847168
2010-05-21,22.391237258911133
2010-05-24,22.159523010253906
2010-05-25,21.9932804107666
2010-05-26,22.17064094543457
2010-05-27,23.113218307495117
2010-05-28,22.74835205078125
2010-06-01,22.15543556213379
2010-06-02,22.885173797607422
2010-06-03,23.219636917114258
2010-06-04,21.81591796875
2010-06-07,21.273685455322266
2010-06-08,21.430776596069336
2010-06-09,21.63347625732422
2010-06-10,22.626731872558594
2010-06-11,22.875038146972656
2010-06-14,23.01186180114746
2010-06-15,23.787202835083008
2010-06-16,23.51355743408203
2010-06-17,23.285512924194336
2010-06-18,23.12335777282715
2010-06-21,23.47301483154297
2010-06-22,22.545642852783203
2010-06-23,22.474699020385742
2010-06-24,21.942611694335938
2010-06-25,22.368288040161133
2010-06-28,22.18584632873535
2010-06-29,21.23821258544922
2010-06-30,21.177404403686523
2010-07-01,20.934158325195312
2010-07-02,20.832815170288086
2010-07-06,21.111522674560547
2010-07-07,21.851390838623047
2010-07-08,22.08955955505371
2010-07-09,22.383485794067383
2010-07-12,22.018617630004883
2010-07-13,22.489900588989258
2010-07-14,22.545642852783203
2010-07-15,22.348012924194336
2010-07-16,21.57773780822754
2010-07-19,21.841257095336914
2010-07-20,22.13517189025879
2010-07-21,22.449359893798828
2010-07-22,23.33112144470215
2010-07-23,24.19260597229004
2010-07-26,24.5980167388916
2010-07-27,24.015241622924805
2010-07-28,23.98483657836914
2010-07-29,24.187536239624023
2010-07-30,24.309158325195312
2010-08-02,24.770315170288086
2010-08-03,24.60814666748047
2010-08-04,25.0135555267334
2010-08-05,24.856462478637695
2010-08-06,24.927404403686523
2010-08-09,24.83618927001953
2010-08-10,25.059160232543945
2010-08-11,23.746662139892578
2010-08-12,23.619976043701172
2010-08-13,23.518617630004883
2010-08-16,23.50847816467285
2010-08-17,24.0659236907959
2010-08-18,24.08112144470215
2010-08-19,23.543960571289062
2010-08-20,23.402067184448242
2010-08-23,22.996667861938477
2010-08-24,22.530447006225586
2010-08-25,22.418960571289062
2010-08-26,22.474699020385742
2010-08-27,23.124845504760742
2010-08-30,22.676124572753906
2010-08-31,22.823997497558594
2010-09-01,24.307865142822266
2010-09-02,24.7106990814209
2010-09-03,25.0931339263916
2010-09-07,24.797382354736328
2010-09-08,24.83307456970215
2010-09-09,24.950363159179688
2010-09-10,25.088037490844727
2010-09-13,25.485776901245117
2010-09-14,25.699947357177734
2010-09-15,25.597959518432617
2010-09-16,25.41438865661621
2010-09-17,25.79683494567871
2010-09-20,26.434226989746094
2010-09-21,26.199663162231445
2010-09-22,25.82232666015625
2010-09-23,25.322599411010742
2010-09-24,26.418933868408203
2010-09-27,25.99569320678711
2010-09-28,26.240461349487305
