Date,NI
2010-01-04,3.5464978218078613
2010-01-05,3.5373494625091553
2010-01-06,3.4961917400360107
2010-01-07,3.452744722366333
2010-01-08,3.4344537258148193
2010-01-11,3.4778971672058105
2010-01-12,3.489331007003784
2010-01-13,3.54420804977417
2010-01-14,3.548783302307129
2010-01-15,3.4961917400360107
2010-01-19,3.548783302307129
2010-01-20,3.535062313079834
2010-01-21,3.4001548290252686
2010-01-22,3.3338441848754883
2010-01-25,3.354424476623535
2010-01-26,3.38643479347229
2010-01-27,3.356241226196289
2010-01-28,3.3237228393554688
2010-01-29,3.3097877502441406
2010-02-01,3.4491465091705322
2010-02-02,3.523472547531128
2010-02-03,3.509535789489746
2010-02-04,3.4212729930877686
2010-02-05,3.4096615314483643
2010-02-08,3.3864355087280273
2010-02-09,3.4398555755615234
2010-02-10,3.418952226638794
2010-02-11,3.4352121353149414
2010-02-12,3.400372266769409
2010-02-16,3.4863088130950928
2010-02-17,3.477017879486084
2010-02-18,3.4839870929718018
2010-02-19,3.521148681640625
2010-02-22,3.532761812210083
2010-02-23,3.493277072906494
2010-02-24,3.4863088130950928
2010-02-25,3.481663703918457
2010-02-26,3.4886322021484375
2010-03-01,3.523472547531128
2010-03-02,3.516503095626831
2010-03-03,3.518827199935913
2010-03-04,3.516503095626831
2010-03-05,3.57224702835083
2010-03-08,3.5861852169036865
2010-03-09,3.583860397338867
2010-03-10,3.6117327213287354
2010-03-11,3.616377115249634
2010-03-12,3.59779691696167
2010-03-15,3.6024439334869385
2010-03-16,3.641927719116211
2010-03-17,3.6767678260803223
2010-03-18,3.6605074405670166
2010-03-19,3.653541326522827
2010-03-22,3.646573543548584
2010-03-23,3.6837334632873535
2010-03-24,3.646573543548584
2010-03-25,3.6256680488586426
2010-03-26,3.6651535034179688
2010-03-29,3.7092843055725098
2010-03-30,3.713930606842041
2010-03-31,3.669797897338867
2010-04-01,3.7534139156341553
2010-04-05,3.7836081981658936
2010-04-06,3.820772171020508
2010-04-07,3.7929017543792725
2010-04-08,3.7627058029174805
2010-04-09,3.7743194103240967
2010-04-12,3.7812869548797607
2010-04-13,3.7719955444335938
2010-04-14,3.797543525695801
2010-04-15,3.7929017543792725
2010-04-16,3.7905781269073486
2010-04-19,3.8068366050720215
2010-04-20,3.8230953216552734
2010-04-21,3.81148099899292
2010-04-22,3.81148099899292
2010-04-23,3.8811609745025635
2010-04-26,3.855611562728882
2010-04-27,3.7789645195007324
2010-04-28,3.8095920085906982
2010-04-29,3.8496437072753906
2010-04-30,3.840219497680664
2010-05-03,3.927391529083252
2010-05-04,3.9108974933624268
2010-05-05,3.816659688949585
2010-05-06,3.670590400695801
2010-05-07,3.6187596321105957
2010-05-10,3.731846570968628
2010-05-11,3.7436254024505615
2010-05-12,3.795456647872925
2010-05-13,3.769541025161743
2010-05-14,3.722419500350952
2010-05-17,3.7342002391815186
2010-05-18,3.6870815753936768
2010-05-19,3.6187596321105957
2010-05-20,3.4868242740631104
2010-05-21,3.5009613037109375
2010-05-24,3.4726898670196533
2010-05-25,3.3831605911254883
2010-05-26,3.4279255867004395
2010-05-27,3.5150954723358154
2010-05-28,3.5245201587677
2010-06-01,3.4302818775177
2010-06-02,3.51274037361145
2010-06-03,3.5245201587677
2010-06-04,3.3808059692382812
2010-06-07,3.4020092487335205
2010-06-08,3.453840494155884
2010-06-09,3.4043667316436768
2010-06-10,3.5245201587677
2010-06-11,3.5480797290802
2010-06-14,3.5410122871398926
2010-06-15,3.614046335220337
2010-06-16,3.6187596321105957
2010-06-17,3.6611666679382324
2010-06-18,3.6611666679382324
2010-06-21,3.647028923034668
2010-06-22,3.552792549133301
2010-06-23,3.5245201587677
2010-06-24,3.491537094116211
2010-06-25,3.51274037361145
2010-06-28,3.5292325019836426
2010-06-29,3.4444169998168945
2010-06-30,3.416144847869873
2010-07-01,3.3855180740356445
2010-07-02,3.4609084129333496
2010-07-06,3.5221643447875977
2010-07-07,3.6517417430877686
2010-07-08,3.6870815753936768
2010-07-09,3.731846570968628
2010-07-12,3.724778175354004
2010-07-13,3.7365550994873047
2010-07-14,3.7459802627563477
2010-07-15,3.7742502689361572
2010-07-16,3.677656888961792
2010-07-19,3.7530477046966553
2010-07-20,3.78838849067688
2010-07-21,3.729489326477051
2010-07-22,3.8449316024780273
2010-07-23,3.884981393814087
2010-07-26,3.932101249694824
2010-07-27,3.998067617416382
2010-07-28,3.981351852416992
2010-07-29,3.9479143619537354
2010-07-30,3.940748453140259
2010-08-02,3.993293285369873
2010-08-03,3.959855556488037
2010-08-04,3.993293285369873
2010-08-05,4.019564628601074
2010-08-06,4.012398719787598
2010-08-09,4.060163974761963
2010-08-10,4.0888261795043945
2010-08-11,3.9526901245117188
2010-08-12,3.940748453140259
2010-08-13,3.9574666023254395
2010-08-16,3.9574666023254395
2010-08-17,4.031505107879639
2010-08-18,4.05061149597168
2010-08-19,3.9789609909057617
2010-08-20,3.940748453140259
2010-08-23,3.955077886581421
2010-08-24,3.9837377071380615
2010-08-25,4.036281585693359
2010-08-26,4.0864362716674805
2010-08-27,4.172416687011719
2010-08-30,4.141368865966797
2010-08-31,4.146146297454834
2010-09-01,4.227348327636719
2010-09-02,4.220183372497559
2010-09-03,4.2775044441223145
2010-09-07,4.205852508544922
2010-09-08,4.043446063995361
2010-09-09,4.062553405761719
2010-09-10,4.069719314575195
2010-09-13,4.100767612457275
2010-09-14,4.072107791900635
2010-09-15,4.052999496459961
2010-09-16,4.029117107391357
2010-09-17,4.043446063995361
2010-09-20,4.122263431549072
