Date,DAL
2010-01-04,9.725078582763672
2010-01-05,10.48782730102539
2010-01-06,10.496496200561523
2010-01-07,10.999216079711914
2010-01-08,10.8085298538208
2010-01-11,11.085890769958496
2010-01-12,10.86920166015625
2010-01-13,11.137898445129395
2010-01-14,11.415262222290039
2010-01-15,11.042553901672363
2010-01-19,11.293914794921875
2010-01-20,11.623283386230469
2010-01-21,11.649286270141602
2010-01-22,11.519274711608887
2010-01-25,11.553943634033203
2010-01-26,11.397927284240723
2010-01-27,11.406595230102539
2010-01-28,10.964547157287598
2010-01-29,10.600505828857422
2010-02-01,10.947211265563965
2010-02-02,11.18123722076416
2010-02-03,10.76518726348877
2010-02-04,9.933097839355469
2010-02-05,9.794417381286621
2010-02-08,9.751078605651855
2010-02-09,10.739188194274902
2010-02-10,10.037109375
2010-02-11,10.253799438476562
2010-02-12,10.617841720581055
2010-02-16,10.817195892333984
2010-02-17,11.033883094787598
2010-02-18,10.877869606018066
2010-02-19,10.999216079711914
2010-02-22,11.033883094787598
2010-02-23,10.955881118774414
2010-02-24,11.051223754882812
2010-02-25,10.973211288452148
2010-02-26,11.198570251464844
2010-03-01,11.415262222290039
2010-03-02,11.077221870422363
2010-03-03,11.207240104675293
2010-03-04,11.077221870422363
2010-03-05,11.007880210876465
2010-03-08,10.86920166015625
2010-03-09,11.103226661682129
2010-03-10,11.52794075012207
2010-03-11,11.25924301147461
2010-03-12,11.120566368103027
2010-03-15,10.973211288452148
2010-03-16,11.250577926635742
2010-03-17,11.215909004211426
2010-03-18,11.363256454467773
2010-03-19,10.895204544067383
2010-03-22,11.328584671020508
2010-03-23,11.640621185302734
2010-03-24,11.969989776611328
2010-03-25,12.308025360107422
2010-03-26,12.5680570602417
2010-03-29,12.698070526123047
2010-03-30,12.672066688537598
2010-03-31,12.646060943603516
2010-04-01,12.732739448547363
2010-04-05,12.498717308044434
2010-04-06,12.706734657287598
2010-04-07,12.282025337219238
2010-04-08,12.836752891540527
2010-04-09,12.637396812438965
2010-04-12,12.940764427185059
2010-04-13,12.455373764038086
2010-04-14,12.472711563110352
2010-04-15,12.472711563110352
2010-04-16,12.021994590759277
2010-04-19,11.423931121826172
2010-04-20,11.406595230102539
2010-04-21,10.895204544067383
2010-04-22,10.71318531036377
