Date,LHX
2010-01-04,34.39442443847656
2010-01-05,34.159568786621094
2010-01-06,34.508277893066406
2010-01-07,34.607913970947266
2010-01-08,34.6506233215332
2010-01-11,35.05624771118164
2010-01-12,33.7254638671875
2010-01-13,34.88547134399414
2010-01-14,34.83564758300781
2010-01-15,34.159568786621094
2010-01-19,34.70042419433594
2010-01-20,34.4655876159668
2010-01-21,33.618717193603516
2010-01-22,32.579689025878906
2010-01-25,32.871463775634766
2010-01-26,32.480064392089844
2010-01-27,33.305572509765625
2010-01-28,31.554920196533203
2010-01-29,30.54435157775879
2010-02-01,31.839567184448242
2010-02-02,32.23809814453125
2010-02-03,31.86802864074707
2010-02-04,31.562015533447266
2010-02-05,31.832454681396484
2010-02-08,31.49085807800293
2010-02-09,31.846681594848633
2010-02-10,31.60472297668457
2010-02-11,32.04595184326172
2010-02-12,32.0103759765625
2010-02-16,32.444480895996094
2010-02-17,32.7504997253418
2010-02-18,33.36252212524414
2010-02-19,33.61161422729492
2010-02-22,33.483497619628906
2010-02-23,33.12054443359375
2010-02-24,32.80030822753906
2010-02-25,32.252315521240234
2010-02-26,32.1811637878418
2010-03-01,32.0815315246582
2010-03-02,32.33061981201172
2010-03-03,33.31981658935547
2010-03-04,33.083858489990234
2010-03-05,33.141048431396484
2010-03-08,33.062408447265625
2010-03-09,32.96229553222656
2010-03-10,33.1696662902832
2010-03-11,33.42705535888672
2010-03-12,32.261592864990234
2010-03-15,32.476097106933594
2010-03-16,32.847900390625
2010-03-17,33.28406524658203
2010-03-18,33.79171371459961
2010-03-19,32.92654800415039
2010-03-22,33.59152603149414
2010-03-23,33.98478698730469
2010-03-24,33.31267166137695
2010-03-25,32.98375701904297
2010-03-26,33.03379821777344
2010-03-29,33.49855422973633
2010-03-30,33.90611267089844
2010-03-31,33.956172943115234
2010-04-01,34.20643615722656
2010-04-05,34.742706298828125
2010-04-06,34.821353912353516
2010-04-07,34.64259338378906
2010-04-08,34.628292083740234
2010-04-09,34.95006561279297
2010-04-12,35.34330368041992
2010-04-13,35.143104553222656
2010-04-14,35.65791702270508
2010-04-15,35.63646697998047
2010-04-16,35.221771240234375
2010-04-19,35.42912292480469
2010-04-20,35.52207565307617
2010-04-21,36.222782135009766
2010-04-22,36.129825592041016
2010-04-23,35.96538162231445
2010-04-26,36.05118179321289
2010-04-27,34.928611755371094
2010-04-28,35.6007194519043
2010-04-29,38.90410232543945
2010-04-30,36.80909729003906
2010-05-03,37.20235824584961
2010-05-04,35.729427337646484
2010-05-05,35.672218322753906
2010-05-06,34.44954299926758
2010-05-07,33.46282196044922
2010-05-10,35.55067443847656
2010-05-11,35.486324310302734
2010-05-12,35.922481536865234
2010-05-13,35.17171859741211
2010-05-14,34.406646728515625
2010-05-17,35.10735321044922
2010-05-18,34.69264602661133
2010-05-19,34.22788619995117
2010-05-20,32.733497619628906
2010-05-21,33.01950454711914
2010-05-24,32.497535705566406
2010-05-25,32.940860748291016
2010-05-26,32.776405334472656
2010-05-27,34.24208068847656
2010-05-28,33.70323181152344
2010-06-01,32.57523727416992
2010-06-02,34.32828140258789
2010-06-03,34.306739807128906
2010-06-04,32.74766159057617
2010-06-07,32.08667755126953
2010-06-08,32.251922607421875
2010-06-09,32.115413665771484
2010-06-10,33.28651428222656
2010-06-11,33.451759338378906
2010-06-14,33.33680725097656
2010-06-15,34.62285614013672
2010-06-16,34.58694076538086
2010-06-17,34.69469451904297
2010-06-18,34.838409423828125
2010-06-21,34.378570556640625
2010-06-22,33.86127471923828
2010-06-23,33.86847686767578
2010-06-24,32.89854049682617
2010-06-25,32.17289733886719
2010-06-28,32.345333099365234
2010-06-29,30.822174072265625
2010-06-30,29.924089431762695
2010-07-01,29.521747589111328
2010-07-02,29.58641815185547
2010-07-06,29.852243423461914
2010-07-07,30.57788848876953
2010-07-08,30.937122344970703
2010-07-09,30.822174072265625
2010-07-12,30.83653450012207
2010-07-13,31.641220092773438
2010-07-14,32.13697052001953
2010-07-15,32.14414978027344
2010-07-16,31.138307571411133
2010-07-19,31.325109481811523
2010-07-20,31.87830924987793
2010-07-21,31.691518783569336
2010-07-22,32.991939544677734
2010-07-23,32.905731201171875
2010-07-26,33.22903060913086
2010-07-27,32.97037124633789
2010-07-28,32.81950759887695
2010-07-29,32.48181915283203
2010-07-30,31.99327850341797
2010-08-02,32.76203536987305
2010-08-03,32.92008972167969
2010-08-04,32.661441802978516
2010-08-05,32.453086853027344
2010-08-06,33.681671142578125
2010-08-09,33.4373893737793
2010-08-10,33.25776290893555
2010-08-11,32.043556213378906
2010-08-12,31.49034309387207
2010-08-13,31.483163833618164
2010-08-16,31.56218910217285
2010-08-17,31.835205078125
2010-08-18,31.468788146972656
2010-08-19,30.728771209716797
2010-08-20,30.721595764160156
2010-08-23,30.86528778076172
2010-08-24,30.247407913208008
2010-08-25,30.42701530456543
2010-08-26,30.268959045410156
2010-08-27,30.800630569458008
2010-08-30,30.613819122314453
2010-08-31,30.2258358001709
2010-09-01,31.01616096496582
2010-09-02,31.21731948852539
2010-09-03,31.672582626342773
2010-09-07,31.04388999938965
2010-09-08,31.072811126708984
2010-09-09,31.014982223510742
2010-09-10,31.014982223510742
2010-09-13,31.51359748840332
2010-09-14,31.795429229736328
2010-09-15,32.20732116699219
2010-09-16,32.33740997314453
2010-09-17,32.33017349243164
2010-09-20,32.96607208251953
2010-09-21,32.69147491455078
2010-09-22,32.32295227050781
2010-09-23,32.22178268432617
2010-09-24,32.78542709350586
2010-09-27,32.17841339111328
2010-09-28,32.61199188232422
