Date,APD
2010-01-04,52.150936126708984
2010-01-05,51.71823501586914
2010-01-06,51.29177474975586
2010-01-07,50.997047424316406
2010-01-08,51.323150634765625
2010-01-11,52.2637939453125
2010-01-12,51.599082946777344
2010-01-13,52.113319396972656
2010-01-14,51.467369079589844
2010-01-15,51.906368255615234
2010-01-19,51.787208557128906
2010-01-20,51.09738540649414
2010-01-21,50.08147048950195
2010-01-22,48.958927154541016
2010-01-25,50.332305908203125
2010-01-26,49.90584945678711
2010-01-27,49.45433044433594
2010-01-28,48.312992095947266
2010-01-29,47.63571548461914
2010-02-01,48.16874313354492
2010-02-02,48.04961013793945
2010-02-03,47.779937744140625
2010-02-04,46.212154388427734
2010-02-05,43.045230865478516
2010-02-08,42.86335754394531
2010-02-09,42.612510681152344
2010-02-10,42.781837463378906
2010-02-11,42.89470291137695
2010-02-12,42.97623062133789
2010-02-16,44.155216217041016
2010-02-17,44.01097869873047
2010-02-18,43.86674118041992
2010-02-19,43.672332763671875
2010-02-22,43.847923278808594
2010-02-23,43.9420051574707
2010-02-24,43.81656265258789
2010-02-25,43.25843811035156
2010-02-26,43.00758743286133
2010-03-01,43.37130355834961
2010-03-02,44.31826400756836
2010-03-03,44.72589874267578
2010-03-04,45.083351135253906
2010-03-05,46.0930061340332
2010-03-08,46.531978607177734
2010-03-09,46.55079650878906
2010-03-10,46.657405853271484
2010-03-11,46.82044982910156
2010-03-12,46.75774002075195
2010-03-15,46.4818115234375
2010-03-16,46.95841979980469
2010-03-17,46.751468658447266
2010-03-18,46.883155822753906
2010-03-19,46.6824951171875
2010-03-22,47.039947509765625
2010-03-23,47.37232208251953
2010-03-24,46.914520263671875
2010-03-25,46.21842575073242
2010-03-26,46.607234954833984
2010-03-29,46.59468078613281
2010-03-30,46.77144241333008
2010-03-31,46.68307113647461
2010-04-01,46.632572174072266
2010-04-05,46.82194900512695
2010-04-06,47.11235046386719
2010-04-07,46.75250244140625
2010-04-08,46.77775955200195
2010-04-09,47.57316589355469
2010-04-12,47.560546875
2010-04-13,47.314361572265625
2010-04-14,47.98351287841797
2010-04-15,48.450660705566406
2010-04-16,47.99612808227539
2010-04-19,47.88249588012695
2010-04-20,48.267574310302734
2010-04-21,48.40016174316406
2010-04-22,48.81047439575195
2010-04-23,50.00991439819336
2010-04-26,49.87102127075195
2010-04-27,48.87361145019531
2010-04-28,49.27761459350586
2010-04-29,49.25868225097656
2010-04-30,48.46959686279297
2010-05-03,48.614776611328125
2010-05-04,47.20071792602539
2010-05-05,46.80301284790039
2010-05-06,45.62882614135742
2010-05-07,44.808170318603516
2010-05-10,45.824546813964844
2010-05-11,45.24375534057617
2010-05-12,45.81191635131836
2010-05-13,45.11750411987305
2010-05-14,43.918060302734375
2010-05-17,44.55565643310547
2010-05-18,44.22107696533203
2010-05-19,43.804439544677734
2010-05-20,41.67071533203125
2010-05-21,42.257816314697266
2010-05-24,41.64546585083008
2010-05-25,42.51664352416992
2010-05-26,43.29309844970703
2010-05-27,44.618797302246094
2010-05-28,43.596107482910156
2010-06-01,42.56081771850586
2010-06-02,43.633995056152344
2010-06-03,43.539310455322266
2010-06-04,42.0115966796875
2010-06-07,41.411888122558594
2010-06-08,42.17575454711914
2010-06-09,42.61133575439453
2010-06-10,43.501434326171875
2010-06-11,43.82970428466797
2010-06-14,43.57085418701172
2010-06-15,44.341033935546875
2010-06-16,44.53041458129883
2010-06-17,44.59983444213867
2010-06-18,45.16168212890625
2010-06-21,44.91550064086914
2010-06-22,44.32838821411133
2010-06-23,43.558223724365234
2010-06-24,42.49769592285156
2010-06-25,43.29309844970703
2010-06-28,42.79439163208008
2010-06-29,41.662540435791016
2010-06-30,41.2110595703125
2010-07-01,41.331886291503906
2010-07-02,41.31279373168945
2010-07-06,41.802433013916016
2010-07-07,43.074161529541016
2010-07-08,43.73549270629883
2010-07-09,44.34592056274414
2010-07-12,43.98347473144531
2010-07-13,45.102630615234375
2010-07-14,44.67658615112305
2010-07-15,44.71472930908203
2010-07-16,44.07886505126953
2010-07-19,44.07886505126953
2010-07-20,45.00088882446289
2010-07-21,44.543052673339844
2010-07-22,45.52867126464844
2010-07-23,45.840240478515625
2010-07-26,46.29169845581055
2010-07-27,46.01826858520508
2010-07-28,46.1073112487793
2010-07-29,46.22177505493164
2010-07-30,46.15179443359375
2010-08-02,47.68426513671875
2010-08-03,48.123043060302734
2010-08-04,48.7716178894043
2010-08-05,49.000545501708984
2010-08-06,48.466400146484375
2010-08-09,48.96238327026367
2010-08-10,48.917877197265625
2010-08-11,47.94499588012695
2010-08-12,47.49986267089844
2010-08-13,48.123043060302734
2010-08-16,48.26291275024414
2010-08-17,48.78435134887695
2010-08-18,48.98145294189453
2010-08-19,48.0657958984375
2010-08-20,47.69699478149414
2010-08-23,47.49351501464844
2010-08-24,46.95302200317383
2010-08-25,46.76863479614258
2010-08-26,46.774967193603516
2010-08-27,47.32183074951172
2010-08-30,46.863975524902344
2010-08-31,47.07382583618164
2010-09-01,47.531673431396484
2010-09-02,49.083194732666016
2010-09-03,49.623687744140625
2010-09-07,49.20400619506836
2010-09-08,49.464725494384766
2010-09-09,49.566471099853516
2010-09-10,49.566471099853516
2010-09-13,50.09423065185547
2010-09-14,51.0035514831543
2010-09-15,51.74751281738281
2010-09-16,51.982765197753906
2010-09-17,52.268943786621094
2010-09-20,52.80942153930664
2010-09-21,52.77762985229492
2010-09-22,52.8921012878418
2010-09-23,52.73948287963867
2010-09-24,53.54070281982422
2010-09-27,53.3244743347168
2010-09-28,53.394432067871094
