Date,BBY
2010-01-04,24.39727020263672
2010-01-05,25.016450881958008
2010-01-06,24.82219886779785
2010-01-07,25.216777801513672
2010-01-08,24.22730255126953
2010-01-11,23.814504623413086
2010-01-12,23.832714080810547
2010-01-13,24.118030548095703
2010-01-14,23.887344360351562
2010-01-15,23.632389068603516
2010-01-19,23.735578536987305
2010-01-20,23.53525733947754
2010-01-21,23.171039581298828
2010-01-22,22.551843643188477
2010-01-25,22.78251838684082
2010-01-26,22.497207641601562
2010-01-27,22.41222381591797
2010-01-28,22.066200256347656
2010-01-29,22.248315811157227
2010-02-01,22.315092086791992
2010-02-02,22.630754470825195
2010-02-03,22.478992462158203
2010-02-04,21.604843139648438
2010-02-05,21.74446678161621
2010-02-08,21.53200340270996
2010-02-09,21.841590881347656
2010-02-10,21.4895076751709
2010-02-11,21.641265869140625
2010-02-12,21.70804214477539
2010-02-16,22.114763259887695
2010-02-17,22.02370262145996
2010-02-18,21.94479751586914
2010-02-19,22.06013298034668
2010-02-22,22.199752807617188
2010-02-23,22.096559524536133
2010-02-24,22.424354553222656
2010-02-25,22.381864547729492
2010-02-26,22.15726089477539
2010-03-01,22.339372634887695
2010-03-02,22.126907348632812
2010-03-03,22.187610626220703
2010-03-04,22.551843643188477
2010-03-05,23.456344604492188
2010-03-08,23.887344360351562
2010-03-09,23.620254516601562
2010-03-10,23.65059471130371
2010-03-11,23.96018409729004
2010-03-12,24.35477066040039
2010-03-15,24.03911018371582
2010-03-16,24.02696990966797
2010-03-17,24.34869956970215
2010-03-18,24.555097579956055
2010-03-19,24.882904052734375
2010-03-22,25.010393142700195
2010-03-23,25.19856834411621
2010-03-24,24.998241424560547
2010-03-25,25.89667510986328
2010-03-26,26.20020866394043
2010-03-29,26.103076934814453
2010-03-30,25.87239646911621
2010-03-31,25.823835372924805
2010-04-01,25.842041015625
2010-04-05,26.32767677307129
2010-04-06,26.77689552307129
2010-04-07,26.8315372467041
2010-04-08,27.11077308654785
2010-04-09,27.250394821166992
2010-04-12,27.45677947998047
2010-04-13,27.213226318359375
2010-04-14,27.749073028564453
2010-04-15,27.943944931030273
2010-04-16,27.63947105407715
2010-04-19,27.335002899169922
2010-04-20,27.523765563964844
2010-04-21,28.120519638061523
2010-04-22,28.73554039001465
2010-04-23,29.581953048706055
2010-04-26,29.41756248474121
2010-04-27,28.309297561645508
2010-04-28,28.315385818481445
2010-04-29,29.033920288085938
2010-04-30,27.718629837036133
2010-05-03,28.07790184020996
2010-05-04,27.127967834472656
2010-05-05,26.12322425842285
2010-05-06,25.276805877685547
2010-05-07,24.98452377319336
2010-05-10,26.5190372467041
2010-05-11,27.05488395690918
2010-05-12,27.46897315979004
2010-05-13,26.628644943237305
2010-05-14,26.226741790771484
2010-05-17,26.33027458190918
2010-05-18,25.928373336791992
2010-05-19,25.623910903930664
2010-05-20,24.814022064208984
2010-05-21,25.45340919494629
2010-05-24,25.06977081298828
2010-05-25,24.96017074584961
2010-05-26,24.698331832885742
2010-05-27,25.721342086791992
2010-05-28,25.727415084838867
2010-06-01,24.795761108398438
2010-06-02,24.479108810424805
2010-06-03,24.521732330322266
2010-06-04,23.67531967163086
2010-06-07,23.08466148376465
2010-06-08,23.571802139282227
2010-06-09,23.74838638305664
2010-06-10,24.503467559814453
2010-06-11,25.08804702758789
2010-06-14,24.996706008911133
2010-06-15,23.480459213256836
2010-06-16,23.24906349182129
2010-06-17,23.029844284057617
2010-06-18,23.035940170288086
2010-06-21,22.57923698425293
2010-06-22,22.293033599853516
2010-06-23,22.305217742919922
2010-06-24,21.76327133178711
2010-06-25,21.410083770751953
2010-06-28,21.525779724121094
2010-06-29,20.80115509033203
2010-06-30,20.618473052978516
2010-07-01,20.86305809020996
2010-07-02,20.70407485961914
2010-07-06,20.25771713256836
2010-07-07,21.052610397338867
2010-07-08,21.034273147583008
2010-07-09,21.01591682434082
2010-07-12,20.869173049926758
2010-07-13,21.657955169677734
2010-07-14,21.370567321777344
2010-07-15,21.657955169677734
2010-07-16,20.991470336914062
2010-07-19,21.01591682434082
2010-07-20,21.12598419189453
2010-07-21,20.691850662231445
2010-07-22,21.358333587646484
2010-07-23,21.884199142456055
2010-07-26,22.56292152404785
2010-07-27,21.67630386352539
2010-07-28,21.48674774169922
2010-07-29,21.12598419189453
2010-07-30,21.1932430267334
2010-08-02,21.914775848388672
2010-08-03,21.33999252319336
2010-08-04,21.498973846435547
2010-08-05,21.480636596679688
2010-08-06,21.346105575561523
2010-08-09,21.755796432495117
2010-08-10,21.138208389282227
2010-08-11,20.35554313659668
2010-08-12,20.441150665283203
2010-08-13,20.263818740844727
2010-08-16,20.208797454833984
2010-08-17,20.1170711517334
2010-08-18,20.28828239440918
2010-08-19,19.970321655273438
2010-08-20,19.87248992919922
2010-08-23,19.701282501220703
2010-08-24,19.371091842651367
2010-08-25,19.860265731811523
2010-08-26,19.523958206176758
2010-08-27,19.481155395507812
2010-08-30,19.236570358276367
2010-08-31,19.19376564025879
2010-09-01,19.970321655273438
2010-09-02,20.459491729736328
2010-09-03,21.01591682434082
2010-09-07,20.600130081176758
2010-09-08,20.5084171295166
2010-09-09,20.520639419555664
2010-09-10,20.71630859375
2010-09-13,21.187129974365234
2010-09-14,22.458974838256836
2010-09-15,22.47731590270996
2010-09-16,22.575151443481445
2010-09-17,22.71578025817871
2010-09-20,23.431190490722656
2010-09-21,23.266101837158203
2010-09-22,23.418960571289062
2010-09-23,23.620750427246094
2010-09-24,24.213869094848633
2010-09-27,24.11602783203125
2010-09-28,24.568519592285156
