Date,PLD
2010-01-04,15.673771858215332
2010-01-05,15.90234661102295
2010-01-06,15.760251998901367
2010-01-07,15.889998435974121
2010-01-08,15.846749305725098
2010-01-11,15.865290641784668
2010-01-12,15.513131141662598
2010-01-13,15.933243751525879
2010-01-14,15.87146282196045
2010-01-15,15.797327041625977
2010-01-19,16.10622787475586
2010-01-20,15.729363441467285
2010-01-21,14.981819152832031
2010-01-22,14.629672050476074
2010-01-25,14.642024040222168
2010-01-26,14.981819152832031
2010-01-27,15.228940963745117
2010-01-28,14.83972454071045
2010-01-29,14.827371597290039
2010-02-01,15.191875457763672
2010-02-02,15.253654479980469
2010-02-03,14.740876197814941
2010-02-04,14.086003303527832
2010-02-05,14.302228927612305
2010-02-08,13.913016319274902
2010-02-09,13.894488334655762
2010-02-10,13.851231575012207
2010-02-11,13.678247451782227
2010-02-12,13.980969429016113
2010-02-16,14.394906997680664
2010-02-17,14.493752479553223
2010-02-18,14.771766662597656
2010-02-19,14.679097175598145
2010-02-22,14.808837890625
2010-02-23,14.629672050476074
2010-02-24,14.777944564819336
2010-02-25,15.00035285949707
2010-02-26,15.037421226501465
2010-03-01,15.11155891418457
2010-03-02,15.222763061523438
2010-03-03,15.105377197265625
2010-03-04,15.167162895202637
2010-03-05,15.698480606079102
2010-03-08,15.94560432434082
2010-03-09,16.06915283203125
2010-03-10,16.43366813659668
2010-03-11,16.631366729736328
2010-03-12,16.84760284423828
2010-03-15,16.909379959106445
2010-03-16,17.286245346069336
2010-03-17,17.65692901611328
2010-03-18,17.669282913208008
2010-03-19,17.335668563842773
2010-03-22,17.35420036315918
2010-03-23,17.58896255493164
2010-03-24,17.78049087524414
2010-03-25,17.848445892333984
2010-03-26,17.829912185668945
2010-03-29,17.607498168945312
2010-03-30,17.156494140625
2010-03-31,17.00047492980957
2010-04-01,17.00047492980957
2010-04-05,17.318763732910156
2010-04-06,17.874217987060547
2010-04-07,17.18146324157715
2010-04-08,17.18146324157715
2010-04-09,17.412378311157227
2010-04-12,17.337491989135742
2010-04-13,17.6495418548584
2010-04-14,17.699472427368164
2010-04-15,17.112810134887695
2010-04-16,16.763320922851562
2010-04-19,16.956789016723633
2010-04-20,17.306283950805664
2010-04-21,17.287567138671875
2010-04-22,17.399892807006836
2010-04-23,17.668272018432617
2010-04-26,17.699472427368164
2010-04-27,17.187713623046875
2010-04-28,17.381175994873047
2010-04-29,18.030242919921875
2010-04-30,17.387413024902344
2010-05-03,18.023990631103516
2010-05-04,17.49351692199707
2010-05-05,17.437347412109375
2010-05-06,16.58856964111328
2010-05-07,15.895821571350098
2010-05-10,17.206424713134766
2010-05-11,17.243867874145508
2010-05-12,18.023990631103516
2010-05-13,17.668272018432617
2010-05-14,16.607295989990234
2010-05-17,16.5636043548584
2010-05-18,16.351409912109375
2010-05-19,16.363895416259766
2010-05-20,15.515121459960938
2010-05-21,15.958231925964355
2010-05-24,15.309167861938477
2010-05-25,15.28420352935791
2010-05-26,15.390299797058105
2010-05-27,16.31397247314453
2010-05-28,16.182905197143555
2010-06-01,15.671142578125
2010-06-02,16.008155822753906
2010-06-03,15.96447467803955
2010-06-04,15.07200813293457
2010-06-07,15.015836715698242
2010-06-08,15.42774486541748
2010-06-09,15.708586692810059
2010-06-10,16.507436752319336
2010-06-11,16.738351821899414
2010-06-14,16.919340133666992
2010-06-15,17.28132438659668
2010-06-16,16.919340133666992
2010-06-17,16.813249588012695
2010-06-18,16.6634578704834
2010-06-21,16.55736541748047
2010-06-22,15.789725303649902
2010-06-23,15.852132797241211
2010-06-24,15.440220832824707
2010-06-25,15.870853424072266
