Date,BR
2010-01-04,16.47457504272461
2010-01-05,16.409229278564453
2010-01-06,16.30031967163086
2010-01-07,16.365665435791016
2010-01-08,16.489097595214844
2010-01-11,16.539918899536133
2010-01-12,16.380184173583984
2010-01-13,16.539918899536133
2010-01-14,16.677875518798828
2010-01-15,16.264015197753906
2010-01-19,16.48183250427246
2010-01-20,16.387449264526367
2010-01-21,16.140581130981445
2010-01-22,16.07523536682129
2010-01-25,16.024412155151367
2010-01-26,15.92276382446289
2010-01-27,16.031661987304688
2010-01-28,15.973586082458496
2010-01-29,15.770285606384277
2010-02-01,15.871935844421387
2010-02-02,15.966323852539062
2010-02-03,15.95180606842041
2010-02-04,16.002634048461914
2010-02-05,15.610551834106445
2010-02-08,15.530682563781738
2010-02-09,15.283819198608398
2010-02-10,15.276558876037598
2010-02-11,15.196688652038574
2010-02-12,15.552464485168457
2010-02-16,15.71219539642334
2010-02-17,15.850149154663086
2010-02-18,15.813851356506348
2010-02-19,15.719459533691406
2010-02-22,15.683158874511719
2010-02-23,15.54520320892334
2010-02-24,15.305598258972168
2010-02-25,15.254776000976562
2010-02-26,15.276558876037598
2010-03-01,15.54520320892334
2010-03-02,15.552464485168457
2010-03-03,15.450818061828613
2010-03-04,15.50890827178955
2010-03-05,15.755762100219727
2010-03-08,15.566983222961426
2010-03-09,15.995366096496582
2010-03-10,16.1768856048584
2010-03-11,16.082490921020508
2010-03-12,16.118806838989258
2010-03-15,16.126108169555664
2010-03-16,16.133403778076172
2010-03-17,16.2868595123291
2010-03-18,16.213788986206055
2010-03-19,16.038427352905273
2010-03-22,16.169952392578125
2010-03-23,15.884979248046875
2010-03-24,15.789993286132812
2010-03-25,15.738842964172363
2010-03-26,15.614628791809082
2010-03-29,15.870367050170898
2010-03-30,15.797303199768066
2010-03-31,15.621938705444336
2010-04-01,15.578103065490723
2010-04-05,15.548870086669922
2010-04-06,15.541561126708984
2010-04-07,15.570788383483887
2010-04-08,15.578103065490723
2010-04-09,15.965356826782227
2010-04-12,16.038427352905273
2010-04-13,15.97997760772705
2010-04-14,16.542598724365234
2010-04-15,16.557205200195312
2010-04-16,16.491445541381836
2010-04-19,16.469526290893555
2010-04-20,16.644882202148438
2010-04-21,16.65219497680664
2010-04-22,17.07599449157715
2010-04-23,17.032150268554688
2010-04-26,17.163667678833008
2010-04-27,16.93716812133789
2010-04-28,17.200204849243164
2010-04-29,17.43402862548828
2010-04-30,17.397497177124023
2010-05-03,17.536319732666016
2010-05-04,17.317115783691406
2010-05-05,17.097911834716797
2010-05-06,16.973697662353516
2010-05-07,16.56451988220215
2010-05-10,16.25762367248535
2010-05-11,16.082256317138672
2010-05-12,16.03111457824707
2010-05-13,16.067655563354492
2010-05-14,15.782689094543457
2010-05-17,15.578103065490723
2010-05-18,15.38812255859375
2010-05-19,15.139688491821289
2010-05-20,14.555143356323242
2010-05-21,14.978938102722168
2010-05-24,14.24826431274414
2010-05-25,13.81715202331543
2010-05-26,13.751396179199219
2010-05-27,14.087508201599121
2010-05-28,13.970606803894043
2010-06-01,13.736780166625977
2010-06-02,13.744091033935547
2010-06-03,13.853691101074219
2010-06-04,13.634486198425293
2010-06-07,13.612567901611328
2010-06-08,14.19710636138916
2010-06-09,13.875611305236816
2010-06-10,14.357864379882812
2010-06-11,14.387297630310059
2010-06-14,14.210677146911621
2010-06-15,14.343141555786133
2010-06-16,14.357864379882812
2010-06-17,14.519762992858887
2010-06-18,14.600711822509766
2010-06-21,14.556560516357422
2010-06-22,14.409375190734863
2010-06-23,14.335783958435059
2010-06-24,14.20331859588623
2010-06-25,14.107647895812988
2010-06-28,14.306346893310547
2010-06-29,13.997257232666016
2010-06-30,14.01933479309082
2010-07-01,14.048771858215332
2010-07-02,14.151806831359863
2010-07-06,13.953104019165039
2010-07-07,14.630152702331543
2010-07-08,14.946595191955566
2010-07-09,14.96867561340332
2010-07-12,14.953960418701172
2010-07-13,15.101137161254883
2010-07-14,15.137933731079102
2010-07-15,15.1232271194458
2010-07-16,14.814133644104004
2010-07-19,14.828853607177734
2010-07-20,15.0496244430542
2010-07-21,14.887723922729492
2010-07-22,15.20417308807373
2010-07-23,15.321914672851562
2010-07-26,15.498539924621582
2010-07-27,15.461743354797363
2010-07-28,15.336636543273926
2010-07-29,15.108503341674805
2010-07-30,14.939239501953125
2010-08-02,15.137933731079102
2010-08-03,15.174739837646484
2010-08-04,15.115865707397461
2010-08-05,14.895086288452148
2010-08-06,14.990753173828125
2010-08-09,15.218894958496094
2010-08-10,15.086426734924316
2010-08-11,14.725823402404785
2010-08-12,14.527127265930176
2010-08-13,14.858295440673828
2010-08-16,14.784700393676758
2010-08-17,15.034911155700684
2010-08-18,15.108503341674805
2010-08-19,14.755264282226562
2010-08-20,14.836213111877441
2010-08-23,14.784700393676758
2010-08-24,14.821490287780762
2010-08-25,14.887723922729492
2010-08-26,15.086426734924316
2010-08-27,15.719317436218262
2010-08-30,15.660446166992188
2010-08-31,15.711954116821289
2010-09-01,15.881219863891602
2010-09-02,16.09463882446289
2010-09-03,16.403728485107422
2010-09-07,16.322771072387695
2010-09-08,16.315414428710938
2010-09-09,16.256542205810547
2010-09-10,16.514118194580078
2010-09-13,16.610435485839844
2010-09-14,16.610435485839844
2010-09-15,16.766014099121094
2010-09-16,16.736379623413086
2010-09-17,16.847501754760742
2010-09-20,17.13644790649414
2010-09-21,16.921594619750977
2010-09-22,16.728965759277344
2010-09-23,16.83269691467285
2010-09-24,17.003093719482422
2010-09-27,16.884559631347656
2010-09-28,16.862327575683594
