Date,MMC
2010-01-04,15.808937072753906
2010-01-05,15.425819396972656
2010-01-06,15.89567756652832
2010-01-07,16.09807777404785
2010-01-08,16.018566131591797
2010-01-11,15.960729598999023
2010-01-12,15.801706314086914
2010-01-13,15.801706314086914
2010-01-14,15.89567756652832
2010-01-15,15.808937072753906
2010-01-19,15.917363166809082
2010-01-20,15.77279281616211
2010-01-21,15.823380470275879
2010-01-22,15.83061408996582
2010-01-25,15.91013240814209
2010-01-26,15.866764068603516
2010-01-27,15.910531997680664
2010-01-28,15.837578773498535
2010-01-29,15.728148460388184
2010-02-01,15.815698623657227
2010-02-02,16.304466247558594
2010-02-03,16.231521606445312
2010-02-04,16.063730239868164
2010-02-05,16.195037841796875
2010-02-08,15.976186752319336
2010-02-09,16.187742233276367
2010-02-10,16.122087478637695
2010-02-11,16.151269912719727
2010-02-12,16.085617065429688
2010-02-16,16.333646774291992
2010-02-17,16.618154525756836
2010-02-18,16.68381118774414
2010-02-19,16.62545394897461
2010-02-22,16.596271514892578
2010-02-23,16.618154525756836
2010-02-24,16.83700942993164
2010-02-25,16.917255401611328
2010-02-26,16.939132690429688
2010-03-01,17.026674270629883
2010-03-02,17.055849075317383
2010-03-03,17.063152313232422
2010-03-04,17.055849075317383
2010-03-05,17.35495948791504
2010-03-08,17.303890228271484
2010-03-09,17.508153915405273
2010-03-10,17.51544952392578
2010-03-11,17.559215545654297
2010-03-12,17.52274513244629
2010-03-15,17.675941467285156
2010-03-16,17.865610122680664
2010-03-17,17.945858001708984
2010-03-18,17.945858001708984
2010-03-19,17.938560485839844
2010-03-22,17.88019561767578
2010-03-23,17.96044158935547
2010-03-24,17.85102081298828
2010-03-25,17.85102081298828
2010-03-26,17.93126106262207
2010-03-29,18.069873809814453
2010-03-30,17.90937614440918
2010-03-31,17.814537048339844
2010-04-01,17.821840286254883
2010-04-05,17.843725204467773
2010-04-06,17.89479637145996
2010-04-07,17.784461975097656
2010-04-08,17.80653190612793
2010-04-09,17.902145385742188
2010-04-12,18.041894912719727
2010-04-13,18.144859313964844
2010-04-14,18.424346923828125
2010-04-15,18.645004272460938
2010-04-16,18.13750457763672
2010-04-19,18.203706741333008
2010-04-20,18.32874298095703
2010-04-21,18.225765228271484
2010-04-22,18.233118057250977
2010-04-23,18.18163299560547
2010-04-26,18.188982009887695
2010-04-27,17.71826934814453
2010-04-28,17.703556060791016
2010-04-29,18.233118057250977
2010-04-30,17.813886642456055
2010-05-03,18.071308135986328
2010-05-04,17.630002975463867
2010-05-05,17.276968002319336
2010-05-06,16.570878982543945
2010-05-07,16.39436912536621
2010-05-10,16.92392349243164
2010-05-11,17.041606903076172
2010-05-12,17.269607543945312
2010-05-13,17.012184143066406
2010-05-14,16.76211929321289
2010-05-17,16.857730865478516
2010-05-18,16.534107208251953
2010-05-19,16.364948272705078
2010-05-20,15.747118949890137
2010-05-21,15.975126266479492
2010-05-24,15.695630073547363
2010-05-25,15.680926322937012
2010-05-26,15.585302352905273
2010-05-27,16.056028366088867
2010-05-28,16.04132080078125
2010-06-01,15.651503562927246
2010-06-02,15.982483863830566
2010-06-03,16.078094482421875
2010-06-04,15.43820858001709
2010-06-07,15.129303932189941
2010-06-08,15.36465835571289
2010-06-09,15.482337951660156
2010-06-10,15.967767715454102
2010-06-11,16.239906311035156
2010-06-14,16.806251525878906
2010-06-15,16.99012565612793
2010-06-16,17.02689552307129
2010-06-17,17.063676834106445
2010-06-18,17.01954460144043
2010-06-21,16.982757568359375
2010-06-22,16.879793167114258
2010-06-23,16.938629150390625
2010-06-24,16.85037612915039
2010-06-25,17.100452423095703
2010-06-28,17.09308624267578
2010-06-29,16.820959091186523
2010-06-30,16.585596084594727
2010-07-01,16.497337341308594
2010-07-02,16.46056365966797
2010-07-06,16.44584846496582
2010-07-07,16.97277069091797
2010-07-08,16.90597915649414
2010-07-09,17.15088653564453
2010-07-12,16.802074432373047
2010-07-13,17.262205123901367
2010-07-14,17.113771438598633
2010-07-15,17.091508865356445
2010-07-16,16.675907135009766
2010-07-19,16.74270248413086
2010-07-20,16.928239822387695
2010-07-21,16.63880729675293
2010-07-22,17.136035919189453
2010-07-23,17.23250961303711
2010-07-26,17.484846115112305
2010-07-27,17.46257781982422
2010-07-28,17.262205123901367
2010-07-29,17.217683792114258
2010-07-30,17.455167770385742
2010-08-02,17.722328186035156
2010-08-03,17.759449005126953
2010-08-04,17.781702041625977
2010-08-05,17.922706604003906
2010-08-06,17.803964614868164
2010-08-09,17.878177642822266
2010-08-10,17.885601043701172
2010-08-11,17.514522552490234
2010-08-12,17.529373168945312
2010-08-13,17.432897567749023
2010-08-16,17.2993106842041
2010-08-17,17.6629581451416
2010-08-18,17.744586944580078
2010-08-19,17.225099563598633
2010-08-20,17.173147201538086
2010-08-23,17.40320587158203
2010-08-24,17.269624710083008
2010-08-25,17.351253509521484
2010-08-26,17.328989028930664
2010-08-27,17.781702041625977
2010-08-30,17.56648063659668
2010-08-31,17.603586196899414
2010-09-01,18.056289672851562
2010-09-02,18.034029006958008
2010-09-03,18.2418270111084
2010-09-07,17.848495483398438
2010-09-08,17.930131912231445
2010-09-09,17.989500045776367
2010-09-10,17.900442123413086
2010-09-13,17.922706604003906
2010-09-14,17.841079711914062
2010-09-15,17.974660873413086
2010-09-16,17.841079711914062
2010-09-17,18.01177215576172
2010-09-20,18.167612075805664
2010-09-21,18.056289672851562
2010-09-22,17.729745864868164
2010-09-23,17.425472259521484
2010-09-24,18.063720703125
2010-09-27,17.930131912231445
2010-09-28,18.056289672851562
