Date,ALB
2010-01-04,30.492977142333984
2010-01-05,30.43693733215332
2010-01-06,30.492977142333984
2010-01-07,30.276823043823242
2010-01-08,30.733131408691406
2010-01-11,30.597042083740234
2010-01-12,30.172746658325195
2010-01-13,30.476959228515625
2010-01-14,30.356876373291016
2010-01-15,30.332862854003906
2010-01-19,30.717117309570312
2010-01-20,30.388898849487305
2010-01-21,29.71643829345703
2010-01-22,28.891874313354492
2010-01-25,29.2200984954834
2010-01-26,29.916568756103516
2010-01-27,29.508298873901367
2010-01-28,29.172061920166016
2010-01-29,28.595670700073242
2010-02-01,29.01995277404785
2010-02-02,29.540319442749023
2010-02-03,29.324172973632812
2010-02-04,28.33150291442871
2010-02-05,28.147354125976562
2010-02-08,27.90719223022461
2010-02-09,28.275447845458984
2010-02-10,28.323467254638672
2010-02-11,28.715747833251953
2010-02-12,29.300140380859375
2010-02-16,30.188751220703125
2010-02-17,30.23680305480957
2010-02-18,30.316858291625977
2010-02-19,30.525005340576172
2010-02-22,30.533000946044922
2010-02-23,29.59636878967285
2010-02-24,29.52429962158203
2010-02-25,29.54832649230957
2010-02-26,30.01262855529785
2010-03-01,31.57372283935547
2010-03-02,32.28620910644531
2010-03-03,32.30220413208008
2010-03-04,32.25418472290039
2010-03-05,32.95866394042969
2010-03-08,33.022705078125
2010-03-09,32.82257080078125
2010-03-10,33.08676528930664
2010-03-11,33.25544738769531
2010-03-12,33.68921661376953
2010-03-15,33.89805603027344
2010-03-16,34.219364166259766
2010-03-17,34.40412139892578
2010-03-18,34.420188903808594
2010-03-19,33.93019104003906
2010-03-22,34.58082962036133
2010-03-23,34.701332092285156
2010-03-24,34.14707946777344
2010-03-25,33.60085678100586
2010-03-26,33.311668395996094
2010-03-29,33.85789108276367
2010-03-30,34.16312789916992
2010-03-31,34.24347686767578
2010-04-01,34.43626403808594
2010-04-05,34.66919708251953
2010-04-06,35.0387077331543
2010-04-07,35.030677795410156
2010-04-08,35.08689880371094
2010-04-09,35.59296417236328
2010-04-12,34.950340270996094
2010-04-13,34.653133392333984
2010-04-14,35.76166915893555
2010-04-15,35.753623962402344
2010-04-16,35.263633728027344
2010-04-19,35.1270751953125
2010-04-20,35.50461196899414
2010-04-21,35.19935989379883
2010-04-22,35.27967834472656
2010-04-23,35.87411117553711
2010-04-26,35.97853469848633
2010-04-27,35.54476547241211
2010-04-28,36.34001922607422
2010-04-29,37.344112396240234
2010-04-30,36.67738342285156
2010-05-03,36.950504302978516
2010-05-04,35.68934631347656
2010-05-05,34.64509963989258
2010-05-06,32.765472412109375
2010-05-07,31.512344360351562
2010-05-10,34.2595329284668
2010-05-11,33.94627380371094
2010-05-12,34.91819763183594
2010-05-13,34.63706588745117
2010-05-14,33.72937774658203
2010-05-17,33.504451751708984
2010-05-18,33.71330642700195
2010-05-19,33.391998291015625
2010-05-20,32.066612243652344
2010-05-21,32.78953552246094
2010-05-24,32.55659866333008
2010-05-25,32.47627258300781
2010-05-26,33.29561233520508
2010-05-27,34.75756072998047
2010-05-28,34.5888671875
2010-06-01,33.3679084777832
2010-06-02,34.420188903808594
2010-06-03,34.540679931640625
2010-06-04,32.97431182861328
2010-06-07,32.026432037353516
2010-06-08,31.592676162719727
2010-06-09,32.034481048583984
2010-06-10,33.60085678100586
2010-06-11,33.98771667480469
2010-06-14,33.88294982910156
2010-06-15,34.833984375
2010-06-16,34.543819427490234
2010-06-17,34.28592300415039
2010-06-18,34.43904495239258
2010-06-21,34.63249969482422
2010-06-22,33.57666778564453
2010-06-23,33.37517547607422
2010-06-24,32.657867431640625
2010-06-25,32.69815444946289
2010-06-28,33.17369079589844
2010-06-29,32.238765716552734
2010-06-30,32.005027770996094
2010-07-01,31.900238037109375
2010-07-02,31.59398078918457
2010-07-06,31.51338768005371
2010-07-07,32.939945220947266
2010-07-08,33.41548156738281
2010-07-09,33.47189712524414
2010-07-12,32.835182189941406
2010-07-13,34.05220413208008
2010-07-14,33.68144989013672
2010-07-15,33.80234146118164
2010-07-16,32.488616943359375
2010-07-19,32.859344482421875
2010-07-20,33.5686149597168
2010-07-21,33.28650665283203
2010-07-22,34.86622619628906
2010-07-23,35.63994216918945
2010-07-26,36.4701042175293
2010-07-27,35.86561584472656
2010-07-28,34.89845275878906
2010-07-29,34.979061126708984
2010-07-30,35.156375885009766
2010-08-02,35.98653030395508
2010-08-03,35.696372985839844
2010-08-04,36.582923889160156
2010-08-05,36.48622512817383
2010-08-06,36.59904861450195
2010-08-09,36.96980285644531
2010-08-10,36.26055908203125
2010-08-11,34.88234329223633
2010-08-12,33.979652404785156
2010-08-13,33.633087158203125
2010-08-16,33.69755172729492
2010-08-17,34.543819427490234
2010-08-18,34.60023880004883
2010-08-19,33.74592971801758
2010-08-20,33.230098724365234
2010-08-23,32.891597747802734
2010-08-24,32.26294708251953
2010-08-25,32.174293518066406
2010-08-26,31.9888973236084
2010-08-27,32.75458526611328
2010-08-30,32.15010452270508
2010-08-31,32.311302185058594
2010-09-01,33.80234146118164
2010-09-02,34.165035247802734
2010-09-03,34.91458511352539
2010-09-07,34.132774353027344
2010-09-08,34.22144317626953
2010-09-09,33.57666778564453
2010-09-10,33.076969146728516
2010-09-13,34.07170486450195
2010-09-14,34.225364685058594
2010-09-15,34.97747802734375
2010-09-16,34.89661407470703
2010-09-17,35.08261489868164
2010-09-20,35.729583740234375
2010-09-21,35.551673889160156
2010-09-22,35.284786224365234
2010-09-23,35.00982666015625
2010-09-24,36.02883529663086
2010-09-27,36.263343811035156
2010-09-28,36.65962600708008
