Date,AJG
2010-01-04,15.047013282775879
2010-01-05,14.966150283813477
2010-01-06,14.972896575927734
2010-01-07,14.878552436828613
2010-01-08,14.918980598449707
2010-01-11,14.939200401306152
2010-01-12,15.02680492401123
2010-01-13,15.020060539245605
2010-01-14,14.979636192321777
2010-01-15,14.824647903442383
2010-01-19,14.993104934692383
2010-01-20,14.918980598449707
2010-01-21,15.033539772033691
2010-01-22,15.296338081359863
2010-01-25,15.377198219299316
2010-01-26,15.269389152526855
2010-01-27,15.148091316223145
2010-01-28,15.228954315185547
2010-01-29,15.195267677307129
2010-02-01,15.350248336791992
2010-02-02,15.296338081359863
2010-02-03,15.99714469909668
2010-02-04,15.875852584838867
2010-02-05,15.565876960754395
2010-02-08,15.343509674072266
2010-02-09,15.404157638549805
2010-02-10,15.417632102966309
2010-02-11,15.45805835723877
2010-02-12,15.485015869140625
2010-02-16,15.525452613830566
2010-02-17,15.680438041687012
2010-02-18,15.727603912353516
2010-02-19,15.862375259399414
2010-02-22,15.909547805786133
2010-02-23,15.983673095703125
2010-02-24,16.084739685058594
2010-02-25,16.01735496520996
2010-02-26,15.990400314331055
2010-03-01,16.185815811157227
2010-03-02,16.259944915771484
2010-03-03,16.36775779724121
2010-03-04,16.286895751953125
2010-03-05,16.462093353271484
2010-03-08,16.435150146484375
2010-03-09,16.462093353271484
2010-03-10,16.603612899780273
2010-03-11,16.664243698120117
2010-03-12,16.987699508666992
2010-03-15,17.06182098388672
2010-03-16,17.176376342773438
2010-03-17,17.27745819091797
2010-03-18,17.338098526000977
2010-03-19,17.23702049255371
2010-03-22,16.825971603393555
2010-03-23,16.987699508666992
2010-03-24,16.886615753173828
2010-03-25,16.96074104309082
2010-03-26,16.906837463378906
2010-03-29,17.029687881469727
2010-03-30,17.002395629882812
2010-03-31,16.756668090820312
2010-04-01,16.722545623779297
2010-04-05,16.79079246520996
2010-04-06,16.879531860351562
2010-04-07,16.84540367126465
2010-04-08,16.777156829833984
2010-04-09,16.797632217407227
2010-04-12,16.93413543701172
2010-04-13,17.077478408813477
2010-04-14,17.22763442993164
2010-04-15,17.2958984375
2010-04-16,17.316368103027344
2010-04-19,17.336841583251953
2010-04-20,17.637168884277344
2010-04-21,17.58256721496582
2010-04-22,17.95796775817871
2010-04-23,18.094472885131836
2010-04-26,18.04669952392578
2010-04-27,17.787324905395508
2010-04-28,17.616687774658203
2010-04-29,18.128604888916016
2010-04-30,17.930665969848633
2010-05-03,18.149072647094727
2010-05-04,18.026222229003906
2010-05-05,17.65764045715332
2010-05-06,16.777156829833984
2010-05-07,16.579208374023438
2010-05-10,17.193506240844727
2010-05-11,17.261770248413086
2010-05-12,17.377792358398438
2010-05-13,17.193506240844727
2010-05-14,17.152551651000977
2010-05-17,17.13890266418457
2010-05-18,17.063827514648438
2010-05-19,16.995567321777344
2010-05-20,16.674766540527344
2010-05-21,16.824926376342773
2010-05-24,16.68842315673828
2010-05-25,16.483657836914062
2010-05-26,16.34714126586914
2010-05-27,16.95461654663086
2010-05-28,16.852230072021484
2010-06-01,16.633819580078125
2010-06-02,16.859054565429688
2010-06-03,17.432401657104492
2010-06-04,16.7362003326416
2010-06-07,16.579208374023438
2010-06-08,16.667940139770508
2010-06-09,16.565561294555664
2010-06-10,16.920486450195312
2010-06-11,17.11841583251953
2010-06-14,17.30954360961914
2010-06-15,17.568910598754883
2010-06-16,17.555255889892578
2010-06-17,17.521135330200195
2010-06-18,17.51430892944336
2010-06-21,17.616687774658203
2010-06-22,17.466527938842773
2010-06-23,17.521135330200195
2010-06-24,17.527957916259766
2010-06-25,17.67812156677246
2010-06-28,17.546817779541016
2010-06-29,17.132152557373047
2010-06-30,16.84880828857422
2010-07-01,16.855716705322266
2010-07-02,16.828079223632812
2010-07-06,16.78661346435547
2010-07-07,17.22199249267578
2010-07-08,17.422420501708984
2010-07-09,17.512258529663086
2010-07-12,17.360219955444336
2010-07-13,17.9130916595459
2010-07-14,17.837074279785156
2010-07-15,17.80942726135254
2010-07-16,17.470794677734375
2010-07-19,17.40859603881836
2010-07-20,17.816341400146484
2010-07-21,17.491525650024414
2010-07-22,17.83016014099121
2010-07-23,17.850889205932617
2010-07-26,18.072040557861328
2010-07-27,17.961463928222656
2010-07-28,17.5191650390625
2010-07-29,17.450061798095703
2010-07-30,17.567541122436523
2010-08-02,17.6643009185791
2010-08-03,17.53990364074707
2010-08-04,17.50535011291504
2010-08-05,17.36712646484375
2010-08-06,17.588274002075195
2010-08-09,17.864723205566406
2010-08-10,17.60209846496582
2010-08-11,17.17362403869629
2010-08-12,17.104516983032227
2010-08-13,17.056137084960938
2010-08-16,17.069963455200195
2010-08-17,17.29111099243164
2010-08-18,17.360219955444336
2010-08-19,17.076875686645508
2010-08-20,17.11833953857422
2010-08-23,17.04922103881836
2010-08-24,16.876453399658203
2010-08-25,17.145977020263672
2010-08-26,17.201269149780273
2010-08-27,17.50535011291504
2010-08-30,17.145977020263672
2010-08-31,17.17362403869629
2010-09-01,17.671205520629883
2010-09-02,17.76796531677246
2010-09-03,17.823251724243164
2010-09-07,17.636653900146484
2010-09-08,17.50535011291504
2010-09-09,17.726490020751953
2010-09-10,17.705766677856445
2010-09-13,17.94072723388672
2010-09-14,17.933828353881836
2010-09-15,17.947647094726562
2010-09-16,17.9683780670166
2010-09-17,18.037485122680664
2010-09-20,18.251720428466797
2010-09-21,18.300106048583984
2010-09-22,18.085866928100586
2010-09-23,17.85780143737793
2010-09-24,18.472869873046875
2010-09-27,18.25864028930664
2010-09-28,18.27962303161621
