Date,LH
2010-01-04,63.00627136230469
2010-01-05,62.239017486572266
2010-01-06,61.20774841308594
2010-01-07,61.19125747680664
2010-01-08,61.100502014160156
2010-01-11,61.785255432128906
2010-01-12,60.894248962402344
2010-01-13,62.17301940917969
2010-01-14,63.46003341674805
2010-01-15,62.49477767944336
2010-01-19,63.1712760925293
2010-01-20,62.519527435302734
2010-01-21,61.5460090637207
2010-01-22,59.623714447021484
2010-01-25,60.26723861694336
2010-01-26,60.374488830566406
2010-01-27,59.55772018432617
2010-01-28,58.608951568603516
2010-01-29,58.65846252441406
2010-02-01,59.07096481323242
2010-02-02,59.89598083496094
2010-02-03,59.23596954345703
2010-02-04,58.196449279785156
2010-02-05,58.27894592285156
2010-02-08,57.86644744873047
2010-02-09,57.87469482421875
2010-02-10,58.551204681396484
2010-02-11,59.037960052490234
2010-02-12,59.20296859741211
2010-02-16,59.75572967529297
2010-02-17,60.34973907470703
2010-02-18,60.324981689453125
2010-02-19,61.03450012207031
2010-02-22,61.0262451171875
2010-02-23,60.55598831176758
2010-02-24,60.63849639892578
2010-02-25,60.33323669433594
2010-02-26,60.48173904418945
2010-03-01,61.20774841308594
2010-03-02,61.587257385253906
2010-03-03,60.45698547363281
2010-03-04,59.88772964477539
2010-03-05,59.772220611572266
2010-03-08,59.43396759033203
2010-03-09,59.31022262573242
2010-03-10,59.664974212646484
2010-03-11,60.869503021240234
2010-03-12,60.80349349975586
2010-03-15,61.60375213623047
2010-03-16,61.87601852416992
2010-03-17,62.4617805480957
2010-03-18,62.841278076171875
2010-03-19,62.29676818847656
2010-03-22,62.91551971435547
2010-03-23,61.323246002197266
2010-03-24,61.03450012207031
2010-03-25,61.79349899291992
2010-03-26,62.35451889038086
2010-03-29,62.54426956176758
2010-03-30,62.659759521484375
2010-03-31,62.4617805480957
2010-04-01,63.66628646850586
2010-04-05,63.435298919677734
2010-04-06,63.64978790283203
2010-04-07,63.08052444458008
2010-04-08,62.80828094482422
2010-04-09,62.833030700683594
2010-04-12,63.2537841796875
2010-04-13,63.064029693603516
2010-04-14,62.91551971435547
2010-04-15,64.1447982788086
2010-04-16,63.50954055786133
2010-04-19,65.44832611083984
2010-04-20,66.19908142089844
2010-04-21,66.82609558105469
2010-04-22,66.57034301757812
2010-04-23,65.99281311035156
2010-04-26,65.101806640625
2010-04-27,63.872535705566406
2010-04-28,64.45829772949219
2010-04-29,65.03581237792969
2010-04-30,64.82131958007812
2010-05-03,64.81306457519531
2010-05-04,64.21080017089844
2010-05-05,64.07879638671875
2010-05-06,62.91551971435547
2010-05-07,62.065765380859375
2010-05-10,63.41054916381836
2010-05-11,63.476524353027344
2010-05-12,63.68278884887695
2010-05-13,64.18605041503906
2010-05-14,63.913795471191406
2010-05-17,63.955039978027344
2010-05-18,63.468284606933594
2010-05-19,64.11180114746094
2010-05-20,62.68452835083008
2010-05-21,62.70102310180664
2010-05-24,62.206016540527344
2010-05-25,62.255516052246094
2010-05-26,61.867759704589844
2010-05-27,63.03927993774414
2010-05-28,62.3792724609375
2010-06-01,61.87601852416992
2010-06-02,63.179534912109375
2010-06-03,63.418785095214844
2010-06-04,61.91726303100586
2010-06-07,61.87601852416992
2010-06-08,62.255516052246094
2010-06-09,62.34627914428711
2010-06-10,63.913795471191406
2010-06-11,64.54905700683594
2010-06-14,65.01931762695312
2010-06-15,65.67105865478516
2010-06-16,66.32283782958984
2010-06-17,66.3310775756836
2010-06-18,66.20732879638672
2010-06-21,66.18257141113281
2010-06-22,65.13481903076172
2010-06-23,64.68928527832031
2010-06-24,63.567291259765625
2010-06-25,63.68278884887695
2010-06-28,64.35105895996094
2010-06-29,63.13003158569336
2010-06-30,62.16476821899414
2010-07-01,62.2225227355957
2010-07-02,61.4635009765625
2010-07-06,61.21599578857422
2010-07-07,61.867759704589844
2010-07-08,62.38751983642578
2010-07-09,61.323246002197266
2010-07-12,61.768760681152344
2010-07-13,62.569026947021484
2010-07-14,62.94027328491211
2010-07-15,63.179534912109375
2010-07-16,61.900760650634766
2010-07-19,62.0987663269043
2010-07-20,63.36103057861328
2010-07-21,62.659759521484375
2010-07-22,59.598968505859375
2010-07-23,60.19298553466797
2010-07-26,61.38099670410156
2010-07-27,61.47175598144531
2010-07-28,60.74574661254883
2010-07-29,60.42399215698242
2010-07-30,60.20948028564453
2010-08-02,61.768760681152344
2010-08-03,61.90900802612305
2010-08-04,62.412269592285156
2010-08-05,62.48651885986328
2010-08-06,62.28852081298828
2010-08-09,62.214263916015625
2010-08-10,63.14653396606445
2010-08-11,61.82650375366211
2010-08-12,62.2225227355957
2010-08-13,61.8842658996582
2010-08-16,61.7605094909668
2010-08-17,62.7587776184082
2010-08-18,62.70102310180664
2010-08-19,61.83475875854492
2010-08-20,62.50301742553711
2010-08-23,62.3792724609375
2010-08-24,62.313262939453125
2010-08-25,62.80002212524414
2010-08-26,61.942012786865234
2010-08-27,62.057518005371094
2010-08-30,61.0262451171875
2010-08-31,59.912479400634766
2010-09-01,61.05099868774414
2010-09-02,61.51300811767578
2010-09-03,61.91726303100586
2010-09-07,61.5460090637207
2010-09-08,61.3067512512207
2010-09-09,62.527774810791016
2010-09-10,63.23728561401367
2010-09-13,60.26723861694336
2010-09-14,61.72751235961914
2010-09-15,62.24727249145508
2010-09-16,61.480010986328125
2010-09-17,61.843021392822266
2010-09-20,63.12177658081055
2010-09-21,63.01454162597656
2010-09-22,62.90727615356445
2010-09-23,62.618526458740234
2010-09-24,63.38579177856445
2010-09-27,62.94852828979492
2010-09-28,64.45829772949219
