Date,TDG
2010-01-04,22.66895294189453
2010-01-05,22.88463020324707
2010-01-06,23.045242309570312
2010-01-07,23.343515396118164
2010-01-08,23.609668731689453
2010-01-11,23.6142578125
2010-01-12,23.072776794433594
2010-01-13,23.15078353881836
2010-01-14,23.29303741455078
2010-01-15,23.118663787841797
2010-01-19,23.137014389038086
2010-01-20,23.288448333740234
2010-01-21,22.97640609741211
2010-01-22,22.508342742919922
2010-01-25,22.370676040649414
2010-01-26,22.379858016967773
2010-01-27,22.480812072753906
2010-01-28,22.3890323638916
2010-01-29,22.15041160583496
2010-02-01,22.228424072265625
2010-02-02,22.719430923461914
2010-02-03,22.779083251953125
2010-02-04,21.88884735107422
2010-02-05,21.842960357666016
2010-02-08,21.797075271606445
2010-02-09,22.187124252319336
2010-02-10,21.989805221557617
2010-02-11,22.003572463989258
2010-02-12,22.040281295776367
2010-02-16,22.28807830810547
2010-02-17,22.191713333129883
2010-02-18,22.572587966918945
2010-02-19,22.623064041137695
2010-02-22,22.66895294189453
2010-02-23,22.48539924621582
2010-02-24,22.66895294189453
2010-02-25,22.756141662597656
2010-02-26,23.045242309570312
2010-03-01,24.137388229370117
2010-03-02,24.261289596557617
2010-03-03,24.187864303588867
2010-03-04,24.164918899536133
2010-03-05,24.252105712890625
2010-03-08,23.825345993041992
2010-03-09,24.09609031677246
2010-03-10,24.141979217529297
2010-03-11,24.247522354125977
2010-03-12,24.137388229370117
2010-03-15,24.063966751098633
2010-03-16,23.976778030395508
2010-03-17,24.02725601196289
2010-03-18,23.963014602661133
2010-03-19,24.050201416015625
2010-03-22,23.9859561920166
2010-03-23,23.926301956176758
2010-03-24,23.9171199798584
2010-03-25,23.958423614501953
2010-03-26,24.11903190612793
2010-03-29,24.527442932128906
2010-03-30,24.674283981323242
2010-03-31,24.33930015563965
2010-04-01,24.219987869262695
2010-04-05,25.05515480041504
2010-04-06,25.16988182067871
2010-04-07,24.96796989440918
2010-04-08,25.05515480041504
2010-04-09,25.101051330566406
2010-04-12,25.123992919921875
2010-04-13,24.871604919433594
2010-04-14,25.050567626953125
2010-04-15,24.99550437927246
2010-04-16,24.743114471435547
2010-04-19,24.577917098999023
2010-04-20,25.00009536743164
2010-04-21,25.165292739868164
2010-04-22,26.092239379882812
2010-04-23,26.023406982421875
2010-04-26,25.867389678955078
2010-04-27,25.26165771484375
2010-04-28,25.312137603759766
2010-04-29,25.50027847290039
2010-04-30,25.36261558532715
2010-05-03,25.968345642089844
2010-05-04,25.03221321105957
2010-05-05,24.431074142456055
2010-05-06,24.1098575592041
2010-05-07,23.33433723449707
2010-05-10,24.82571792602539
2010-05-11,25.151527404785156
2010-05-12,25.734310150146484
2010-05-13,25.945398330688477
2010-05-14,25.472749710083008
2010-05-17,25.35343360900879
2010-05-18,24.789011001586914
2010-05-19,24.57332992553711
2010-05-20,23.779457092285156
2010-05-21,24.261289596557617
2010-05-24,23.802398681640625
2010-05-25,23.738157272338867
2010-05-26,23.56378173828125
2010-05-27,24.371417999267578
2010-05-28,24.2108097076416
2010-06-01,23.357280731201172
2010-06-02,23.701448440551758
2010-06-03,23.797813415527344
2010-06-04,22.889219284057617
2010-06-07,22.416566848754883
2010-06-08,22.714839935302734
2010-06-09,23.137014389038086
2010-06-10,23.678504943847656
2010-06-11,23.73356819152832
2010-06-14,23.9859561920166
2010-06-15,24.463197708129883
2010-06-16,24.568742752075195
2010-06-17,24.3897762298584
2010-06-18,24.4907283782959
2010-06-21,24.431074142456055
2010-06-22,23.953832626342773
2010-06-23,24.353065490722656
2010-06-24,24.229164123535156
2010-06-25,24.449430465698242
2010-06-28,24.59627342224121
2010-06-29,23.802398681640625
2010-06-30,23.41693687438965
2010-07-01,23.182907104492188
2010-07-02,23.05900764465332
2010-07-06,23.063594818115234
2010-07-07,23.51789665222168
2010-07-08,23.802398681640625
2010-07-09,23.976778030395508
2010-07-12,23.42611312866211
2010-07-13,23.696857452392578
2010-07-14,23.930891036987305
2010-07-15,23.953832626342773
2010-07-16,22.994762420654297
2010-07-19,22.97640609741211
2010-07-20,23.215024948120117
2010-07-21,23.118663787841797
2010-07-22,23.7611026763916
2010-07-23,24.371417999267578
2010-07-26,24.96796989440918
2010-07-27,24.92208480834961
2010-07-28,24.73394203186035
2010-07-29,24.79818344116211
2010-07-30,24.85783576965332
2010-08-02,25.13775634765625
2010-08-03,25.3580265045166
2010-08-04,25.789377212524414
2010-08-05,25.449800491333008
2010-08-06,25.532400131225586
2010-08-09,25.99587631225586
2010-08-10,26.17943000793457
2010-08-11,25.812318801879883
2010-08-12,25.835264205932617
2010-08-13,25.71136474609375
2010-08-16,25.697599411010742
2010-08-17,26.08306312561035
2010-08-18,26.4822940826416
2010-08-19,26.463937759399414
2010-08-20,26.317096710205078
2010-08-23,25.84903335571289
2010-08-24,25.619586944580078
2010-08-25,25.42226791381836
2010-08-26,26.165664672851562
2010-08-27,26.808103561401367
2010-08-30,26.798927307128906
2010-08-31,26.564889907836914
2010-09-01,27.29911231994629
2010-09-02,28.10675048828125
2010-09-03,28.18475914001465
2010-09-07,27.689165115356445
2010-09-08,27.996618270874023
2010-09-09,27.964496612548828
2010-09-10,27.969083786010742
2010-09-13,28.496795654296875
2010-09-14,28.22146987915039
2010-09-15,28.405025482177734
2010-09-16,28.450912475585938
2010-09-17,28.9786319732666
2010-09-20,29.166772842407227
2010-09-21,28.666589736938477
2010-09-22,28.405025482177734
2010-09-23,28.04250717163086
2010-09-24,28.56104850769043
2010-09-27,28.30406951904297
2010-09-28,28.363727569580078
