Date,PNR
2010-01-04,16.88581085205078
2010-01-05,16.56711196899414
2010-01-06,16.617698669433594
2010-01-07,17.06791877746582
2010-01-08,17.194385528564453
2010-01-11,17.13873863220215
2010-01-12,16.820049285888672
2010-01-13,16.906044006347656
2010-01-14,16.951574325561523
2010-01-15,16.556995391845703
2010-01-19,16.840288162231445
2010-01-20,16.501354217529297
2010-01-21,16.369823455810547
2010-01-22,16.03089141845703
2010-01-25,15.884194374084473
2010-01-26,15.78302001953125
2010-01-27,15.752484321594238
2010-01-28,15.671050071716309
2010-01-29,15.54380989074707
2010-02-01,15.956071853637695
2010-02-02,15.788105964660645
2010-02-03,15.900076866149902
2010-02-04,15.51836109161377
2010-02-05,15.431831359863281
2010-02-08,15.421653747558594
2010-02-09,15.671050071716309
2010-02-10,15.452193260192871
2010-02-11,15.625243186950684
2010-02-12,15.844097137451172
2010-02-16,16.1087589263916
2010-02-17,16.159656524658203
2010-02-18,16.251270294189453
2010-02-19,16.485395431518555
2010-02-22,16.607542037963867
2010-02-23,16.38360023498535
2010-02-24,16.490489959716797
2010-02-25,16.505754470825195
2010-02-26,16.571914672851562
2010-03-01,17.467693328857422
2010-03-02,17.421892166137695
2010-03-03,17.340456008911133
2010-03-04,17.386262893676758
2010-03-05,17.477876663208008
2010-03-08,17.325183868408203
2010-03-09,17.426984786987305
2010-03-10,17.472782135009766
2010-03-11,17.45751953125
2010-03-12,17.386262893676758
2010-03-15,17.61020851135254
2010-03-16,17.920677185058594
2010-03-17,17.976665496826172
2010-03-18,17.986835479736328
2010-03-19,17.370988845825195
2010-03-22,17.432069778442383
2010-03-23,18.002103805541992
2010-03-24,17.676368713378906
2010-03-25,17.594940185546875
2010-03-26,17.630565643310547
2010-03-29,17.803617477416992
2010-03-30,18.11918067932129
2010-03-31,18.129344940185547
2010-04-01,18.363473892211914
2010-04-05,18.561969757080078
2010-04-06,18.46527099609375
2010-04-07,18.287128448486328
2010-04-08,18.388931274414062
2010-04-09,18.62813377380371
2010-04-12,18.394006729125977
2010-04-13,18.388931274414062
2010-04-14,18.57724952697754
2010-04-15,18.709577560424805
2010-04-16,18.556880950927734
2010-04-19,18.4398193359375
2010-04-20,18.719755172729492
2010-04-21,19.081119537353516
2010-04-22,19.26435089111328
2010-04-23,19.69188117980957
2010-04-26,19.839468002319336
2010-04-27,18.679025650024414
2010-04-28,18.632991790771484
2010-04-29,19.001354217529297
2010-04-30,18.499971389770508
2010-05-03,18.909250259399414
2010-05-04,17.978124618530273
2010-05-05,17.584177017211914
2010-05-06,16.888378143310547
2010-05-07,16.39211654663086
2010-05-10,17.37952995300293
2010-05-11,17.502323150634766
2010-05-12,18.182771682739258
2010-05-13,18.12137794494629
2010-05-14,17.691617965698242
2010-05-17,17.666038513183594
2010-05-18,17.476741790771484
2010-05-19,17.11349868774414
2010-05-20,16.197710037231445
2010-05-21,16.622346878051758
2010-05-24,16.6939697265625
2010-05-25,16.78606414794922
2010-05-26,16.857681274414062
2010-05-27,17.717193603515625
2010-05-28,17.579065322875977
2010-06-01,17.144193649291992
2010-06-02,17.476741790771484
2010-06-03,17.41022491455078
2010-06-04,16.816755294799805
2010-06-07,16.17723846435547
2010-06-08,16.2949161529541
2010-06-09,16.26421546936035
2010-06-10,16.990707397460938
2010-06-11,17.128841400146484
2010-06-14,17.302799224853516
2010-06-15,17.814407348632812
2010-06-16,17.63022232055664
2010-06-17,17.47162437438965
2010-06-18,17.553485870361328
2010-06-21,17.41022491455078
2010-06-22,16.995832443237305
2010-06-23,17.00605583190918
2010-06-24,16.658161163330078
2010-06-25,17.077680587768555
2010-06-28,17.20558738708496
2010-06-29,16.555837631225586
2010-06-30,16.473976135253906
2010-07-01,16.207935333251953
2010-07-02,16.151662826538086
2010-07-06,16.06468963623047
2010-07-07,16.545604705810547
2010-07-08,16.85257339477539
2010-07-09,16.908855438232422
2010-07-12,16.586532592773438
2010-07-13,17.05721092224121
2010-07-14,16.995832443237305
2010-07-15,16.811635971069336
2010-07-16,16.330718994140625
2010-07-19,16.5762939453125
2010-07-20,16.6939697265625
2010-07-21,16.62745475769043
2010-07-22,17.195358276367188
2010-07-23,17.579065322875977
2010-07-26,17.650686264038086
2010-07-27,17.53302001953125
2010-07-28,17.491857528686523
2010-07-29,17.440404891967773
2010-07-30,17.594749450683594
2010-08-02,18.00632667541504
2010-08-03,17.841697692871094
2010-08-04,17.898279190063477
2010-08-05,17.759389877319336
2010-08-06,17.4815731048584
2010-08-09,17.50728988647461
2010-08-10,17.19346809387207
2010-08-11,16.468067169189453
2010-08-12,16.365188598632812
2010-08-13,16.26742935180664
2010-08-16,16.334312438964844
2010-08-17,16.699581146240234
2010-08-18,16.61212921142578
2010-08-19,15.974184036254883
2010-08-20,16.005050659179688
2010-08-23,15.788970947265625
2010-08-24,15.413409233093262
2010-08-25,15.614055633544922
2010-08-26,15.588335990905762
2010-08-27,15.958755493164062
2010-08-30,15.665505409240723
2010-08-31,15.485440254211426
2010-09-01,15.969038009643555
2010-09-02,16.154251098632812
2010-09-03,16.370328903198242
2010-09-07,16.128528594970703
2010-09-08,16.360031127929688
2010-09-09,16.601835250854492
2010-09-10,16.61212921142578
2010-09-13,16.838485717773438
2010-09-14,16.797330856323242
2010-09-15,16.84363555908203
2010-09-16,16.83333969116211
2010-09-17,16.88993263244629
2010-09-20,17.142024993896484
2010-09-21,17.028841018676758
2010-09-22,16.89508056640625
2010-09-23,16.730443954467773
2010-09-24,17.080286026000977
2010-09-27,16.992830276489258
2010-09-28,16.997970581054688
