Date,TEL
2010-01-04,18.468616485595703
2010-01-05,18.19561195373535
2010-01-06,18.564538955688477
2010-01-07,18.217750549316406
2010-01-08,18.446489334106445
2010-01-11,18.284160614013672
2010-01-12,18.254642486572266
2010-01-13,18.830175399780273
2010-01-14,18.9334774017334
2010-01-15,18.62356948852539
2010-01-19,18.7858943939209
2010-01-20,18.859691619873047
2010-01-21,19.036775588989258
2010-01-22,18.431726455688477
2010-01-25,18.51289176940918
2010-01-26,18.719501495361328
2010-01-27,18.99988555908203
2010-01-28,18.64570426940918
2010-01-29,18.357942581176758
2010-02-01,18.83754539489746
2010-02-02,18.940855026245117
2010-02-03,18.77114486694336
2010-02-04,18.291540145874023
2010-02-05,18.151348114013672
2010-02-08,18.210376739501953
2010-02-09,18.36531639099121
2010-02-10,18.217750549316406
2010-02-11,18.54240608215332
2010-02-12,18.667848587036133
2010-02-16,19.051528930664062
2010-02-17,19.33929443359375
2010-02-18,19.309782028198242
2010-02-19,19.479496002197266
2010-02-22,19.309782028198242
2010-02-23,18.91134262084961
2010-02-24,19.427846908569336
2010-02-25,18.992504119873047
2010-02-26,18.91134262084961
2010-03-01,19.47211265563965
2010-03-02,19.051528930664062
2010-03-03,19.081043243408203
2010-03-04,19.081043243408203
2010-03-05,19.14786720275879
2010-03-08,19.22210693359375
2010-03-09,19.133024215698242
2010-03-10,19.88289451599121
2010-03-11,19.68243408203125
2010-03-12,19.778953552246094
2010-03-15,19.697280883789062
2010-03-16,19.830921173095703
2010-03-17,20.350635528564453
2010-03-18,20.254125595092773
2010-03-19,20.41745948791504
2010-03-22,20.476852416992188
2010-03-23,20.9520206451416
2010-03-24,20.91490364074707
2010-03-25,20.6995906829834
2010-03-26,20.55109977722168
2010-03-29,20.58080291748047
2010-03-30,20.70701789855957
2010-03-31,20.40261459350586
2010-04-01,20.491703033447266
2010-04-05,20.8258113861084
2010-04-06,20.9965763092041
2010-04-07,21.189613342285156
2010-04-08,21.27871322631836
2010-04-09,21.568260192871094
2010-04-12,21.419771194458008
2010-04-13,21.107942581176758
2010-04-14,21.672197341918945
2010-04-15,21.553409576416016
2010-04-16,21.152488708496094
2010-04-19,21.041118621826172
2010-04-20,21.791000366210938
2010-04-21,21.471752166748047
2010-04-22,21.50887107849121
2010-04-23,21.954345703125
2010-04-26,22.347837448120117
2010-04-27,21.679628372192383
2010-04-28,22.837854385375977
2010-04-29,23.98866081237793
2010-04-30,23.84758949279785
2010-05-03,24.389585494995117
2010-05-04,23.454086303710938
2010-05-05,22.681941986083984
2010-05-06,21.5385684967041
2010-05-07,20.773836135864258
2010-05-10,21.939485549926758
2010-05-11,22.533447265625
2010-05-12,23.62485694885254
2010-05-13,22.62997055053711
2010-05-14,21.523719787597656
2010-05-17,21.739032745361328
2010-05-18,20.7441349029541
2010-05-19,20.97430419921875
2010-05-20,20.34321403503418
2010-05-21,20.73671531677246
2010-05-24,20.900060653686523
2010-05-25,20.818391799926758
2010-05-26,20.603076934814453
2010-05-27,21.701908111572266
2010-05-28,21.397502899169922
2010-06-01,20.796113967895508
2010-06-02,21.583118438720703
2010-06-03,21.6573486328125
2010-06-04,21.000394821166992
2010-06-07,20.074670791625977
2010-06-08,20.067209243774414
2010-06-09,20.358360290527344
2010-06-10,21.030254364013672
2010-06-11,21.522979736328125
2010-06-14,21.410995483398438
2010-06-15,21.605098724365234
2010-06-16,21.567773818969727
2010-06-17,21.470726013183594
2010-06-18,21.5155086517334
2010-06-21,21.926118850708008
2010-06-22,21.470726013183594
2010-06-23,21.3662052154541
2010-06-24,20.634580612182617
2010-06-25,20.56739616394043
2010-06-28,20.350894927978516
2010-06-29,19.14895248413086
2010-06-30,18.947385787963867
2010-07-01,18.372547149658203
2010-07-02,18.350147247314453
2010-07-06,18.20830535888672
2010-07-07,18.910058975219727
2010-07-08,18.551719665527344
2010-07-09,18.723419189453125
2010-07-12,18.87273406982422
2010-07-13,19.35051918029785
2010-07-14,19.07430076599121
2010-07-15,19.06684112548828
2010-07-16,18.939924240112305
2010-07-19,19.036977767944336
2010-07-20,19.029504776000977
2010-07-21,19.007116317749023
2010-07-22,19.231075286865234
2010-07-23,19.440114974975586
2010-07-26,20.052284240722656
2010-07-27,20.283710479736328
2010-07-28,19.985082626342773
2010-07-29,20.216524124145508
2010-07-30,20.156795501708984
2010-08-02,20.40315055847168
2010-08-03,20.074670791625977
2010-08-04,20.813756942749023
2010-08-05,20.716705322265625
2010-08-06,20.955598831176758
2010-08-09,21.231821060180664
2010-08-10,20.888416290283203
2010-08-11,20.29863929748535
2010-08-12,19.90296745300293
2010-08-13,19.955230712890625
2010-08-16,19.85818099975586
2010-08-17,19.97015953063965
2010-08-18,20.014955520629883
2010-08-19,19.835777282714844
2010-08-20,19.581953048706055
2010-08-23,19.022043228149414
2010-08-24,18.83540153503418
2010-08-25,18.954851150512695
2010-08-26,18.70102310180664
2010-08-27,18.618906021118164
2010-08-30,18.603979110717773
2010-08-31,18.305355072021484
2010-09-01,18.738353729248047
2010-09-02,19.369474411010742
2010-09-03,19.880390167236328
2010-09-07,19.452123641967773
2010-09-08,20.000598907470703
2010-09-09,19.56482696533203
2010-09-10,19.797740936279297
2010-09-13,20.098276138305664
2010-09-14,20.203454971313477
2010-09-15,20.421350479125977
2010-09-16,20.34622573852539
2010-09-17,20.54155921936035
2010-09-20,21.075014114379883
2010-09-21,21.337984085083008
2010-09-22,21.187715530395508
2010-09-23,21.044954299926758
2010-09-24,21.984128952026367
2010-09-27,21.7662410736084
2010-09-28,21.856407165527344
