Date,F
2010-01-04,5.420366287231445
2010-01-05,5.778915882110596
2010-01-06,5.9950971603393555
2010-01-07,6.148003578186035
2010-01-08,6.163823127746582
2010-01-11,6.385279178619385
2010-01-12,6.258735179901123
2010-01-13,6.158551216125488
2010-01-14,6.200733184814453
2010-01-15,6.116368293762207
2010-01-19,6.195460319519043
2010-01-20,6.068913459777832
2010-01-21,5.894913196563721
2010-01-22,5.546914100646973
2010-01-25,5.815821170806885
2010-01-26,5.900186061859131
2010-01-27,6.090005874633789
2010-01-28,6.016185760498047
2010-01-29,5.715641021728516
2010-02-01,5.863277912139893
2010-02-02,6.005641460418701
2010-02-03,6.137460708618164
2010-02-04,5.831642150878906
2010-02-05,5.75255012512207
2010-02-08,5.7841877937316895
2010-02-09,5.879093647003174
2010-02-10,5.768369674682617
2010-02-11,5.894913196563721
2010-02-12,5.863277912139893
2010-02-16,5.96873140335083
2010-02-17,6.058369159698486
2010-02-18,6.000369071960449
2010-02-19,5.952915191650391
2010-02-22,5.910731792449951
2010-02-23,6.116368293762207
2010-02-24,6.184911727905273
2010-02-25,6.211277961730957
2010-02-26,6.190185070037842
2010-03-01,6.543461322784424
2010-03-02,6.4432783126831055
2010-03-03,6.691097259521484
2010-03-04,6.743823051452637
2010-03-05,6.854551315307617
2010-03-08,6.8176422119140625
2010-03-09,6.749096393585205
2010-03-10,6.759644508361816
2010-03-11,6.807095050811768
2010-03-12,7.033823490142822
2010-03-15,7.065461158752441
2010-03-16,7.112915515899658
2010-03-17,7.434550762176514
2010-03-18,7.23945951461792
2010-03-19,7.00745964050293
2010-03-22,7.376550674438477
2010-03-23,7.32909631729126
2010-03-24,7.32909631729126
2010-03-25,7.276369094848633
2010-03-26,7.308004379272461
2010-03-29,7.15509557723999
2010-03-30,7.002188205718994
2010-03-31,6.627823352813721
2010-04-01,6.65946102142334
2010-04-05,6.733278751373291
2010-04-06,6.696366786956787
2010-04-07,6.633096694946289
2010-04-08,6.65946102142334
2010-04-09,6.706915855407715
2010-04-12,6.733278751373291
2010-04-13,6.743823051452637
2010-04-14,7.03909969329834
2010-04-15,7.255279541015625
2010-04-16,7.076005458831787
2010-04-19,7.170914173126221
2010-04-20,7.3343682289123535
2010-04-21,7.450372219085693
2010-04-22,7.487277984619141
2010-04-23,7.492552280426025
2010-04-26,7.624369144439697
2010-04-27,7.15509557723999
2010-04-28,6.98637056350708
2010-04-29,7.160369873046875
2010-04-30,6.865096569061279
2010-05-03,7.012735366821289
2010-05-04,6.775460720062256
2010-05-05,6.506552696228027
2010-05-06,6.211277961730957
2010-05-07,6.068913459777832
2010-05-10,6.406369686126709
2010-05-11,6.490734100341797
2010-05-12,6.685822486877441
2010-05-13,6.54873514175415
2010-05-14,6.385279178619385
2010-05-17,6.300914287567139
2010-05-18,6.090005874633789
2010-05-19,6.090005874633789
2010-05-20,5.694550514221191
2010-05-21,5.937094211578369
2010-05-24,5.805277347564697
2010-05-25,5.81055212020874
2010-05-26,6.005641460418701
2010-05-27,6.322004318237305
2010-05-28,6.184911727905273
2010-06-01,6.016185760498047
2010-06-02,6.248188018798828
2010-06-03,6.306187629699707
2010-06-04,6.063641548156738
2010-06-07,5.8474578857421875
2010-06-08,5.916003704071045
2010-06-09,5.8263678550720215
2010-06-10,6.005641460418701
2010-06-11,6.010912895202637
2010-06-14,6.042550563812256
2010-06-15,6.169096946716309
2010-06-16,6.132185935974121
2010-06-17,6.053096771240234
2010-06-18,6.042550563812256
2010-06-21,6.0794596672058105
2010-06-22,5.916003704071045
2010-06-23,5.815821170806885
2010-06-24,5.684004783630371
2010-06-25,5.668187141418457
2010-06-28,5.499459266662598
2010-06-29,5.2094597816467285
2010-06-30,5.314913749694824
2010-07-01,5.573276996612549
2010-07-02,5.420366287231445
2010-07-06,5.357095718383789
2010-07-07,5.583824634552002
2010-07-08,5.599641799926758
2010-07-09,5.720913410186768
2010-07-12,5.852732181549072
2010-07-13,6.148003578186035
2010-07-14,6.227095127105713
2010-07-15,6.253460884094238
2010-07-16,5.979277610778809
2010-07-19,6.053096771240234
2010-07-20,6.195460319519043
2010-07-21,6.090005874633789
2010-07-22,6.3747334480285645
2010-07-23,6.706915855407715
2010-07-26,6.822913646697998
2010-07-27,6.870368003845215
2010-07-28,6.807095050811768
2010-07-29,6.83873176574707
2010-07-30,6.733278751373291
2010-08-02,6.9389142990112305
2010-08-03,6.807095050811768
2010-08-04,6.9125518798828125
2010-08-05,6.8440046310424805
2010-08-06,6.875641822814941
2010-08-09,6.880914688110352
2010-08-10,6.812371730804443
2010-08-11,6.543461322784424
2010-08-12,6.46964168548584
2010-08-13,6.406369686126709
2010-08-16,6.322004318237305
2010-08-17,6.41163969039917
2010-08-18,6.432731628417969
2010-08-19,6.2692790031433105
2010-08-20,6.206004619598389
2010-08-23,6.121640205383301
2010-08-24,5.926548957824707
2010-08-25,5.96873140335083
2010-08-26,5.889640808105469
2010-08-27,6.095277309417725
2010-08-30,5.984550952911377
2010-08-31,5.952915191650391
2010-09-01,6.121640205383301
2010-09-02,6.1743693351745605
2010-09-03,6.364187240600586
2010-09-07,6.221824645996094
2010-09-08,6.221824645996094
2010-09-09,6.195460319519043
2010-09-10,6.216549873352051
2010-09-13,6.322004318237305
2010-09-14,6.316732406616211
2010-09-15,6.258735179901123
2010-09-16,6.55927848815918
2010-09-17,6.585642337799072
2010-09-20,6.627823352813721
2010-09-21,6.617278099060059
2010-09-22,6.527641773223877
2010-09-23,6.490734100341797
2010-09-24,6.622550964355469
2010-09-27,6.580368995666504
2010-09-28,6.60145902633667
2010-09-29,6.501279354095459
