Date,AES
2010-01-04,8.940197944641113
2010-01-05,8.848631858825684
2010-01-06,8.75707721710205
2010-01-07,8.763612747192383
2010-01-08,9.012134552001953
2010-01-11,9.070996284484863
2010-01-12,8.966354370117188
2010-01-13,9.208334922790527
2010-01-14,9.214879989624023
2010-01-15,9.182180404663086
2010-01-19,9.241035461425781
2010-01-20,8.966354370117188
2010-01-21,8.74399471282959
2010-01-22,8.515095710754395
2010-01-25,8.770157814025879
2010-01-26,8.547794342041016
2010-01-27,8.423537254333496
2010-01-28,8.29273509979248
2010-01-29,8.260034561157227
2010-02-01,8.430076599121094
2010-02-02,8.580495834350586
2010-02-03,8.436610221862793
2010-02-04,7.743373870849609
2010-02-05,7.671433925628662
2010-02-08,7.684514999389648
2010-02-09,7.933033466339111
2010-02-10,7.808773040771484
2010-02-11,7.815313816070557
2010-02-12,7.697592735290527
2010-02-16,7.749913215637207
2010-02-17,7.8676323890686035
2010-02-18,7.8676323890686035
2010-02-19,7.965731143951416
2010-02-22,7.848013401031494
2010-02-23,7.697592735290527
2010-02-24,7.717215538024902
2010-02-25,7.651811599731445
2010-02-26,7.645273685455322
2010-03-01,7.305192470550537
2010-03-02,7.350971221923828
2010-03-03,7.534091949462891
2010-03-04,7.403293609619141
2010-03-05,7.5733323097229
2010-03-08,7.514474868774414
2010-03-09,7.455613136291504
2010-03-10,7.364052772521973
2010-03-11,7.586416244506836
2010-03-12,7.625653266906738
2010-03-15,7.566795349121094
2010-03-16,7.769536972045898
2010-03-17,7.691054344177246
2010-03-18,7.560256004333496
2010-03-19,7.494854927062988
2010-03-22,7.370593547821045
2010-03-23,7.344433307647705
2010-03-24,7.20709228515625
2010-03-25,7.037051200866699
2010-03-26,7.102451324462891
2010-03-29,7.350971221923828
2010-03-30,7.239790916442871
2010-03-31,7.194011688232422
2010-04-01,7.390212059020996
2010-04-05,7.586416244506836
2010-04-06,7.723754405975342
2010-04-07,7.455613136291504
2010-04-08,7.377133369445801
2010-04-09,7.377133369445801
2010-04-12,7.377133369445801
2010-04-13,7.364052772521973
2010-04-14,7.606034278869629
2010-04-15,7.697592735290527
2010-04-16,7.560256004333496
2010-04-19,7.560256004333496
2010-04-20,7.808773040771484
2010-04-21,8.024593353271484
2010-04-22,8.07037353515625
2010-04-23,8.089994430541992
2010-04-26,7.946113586425781
2010-04-27,7.619114875793457
2010-04-28,7.638731479644775
2010-04-29,7.651811599731445
2010-04-30,7.547172546386719
2010-05-03,7.887253761291504
2010-05-04,7.592954158782959
2010-05-05,7.252871513366699
2010-05-06,7.004356861114502
2010-05-07,6.468071937561035
2010-05-10,6.965112686157227
2010-05-11,7.056674480438232
2010-05-12,7.265953540802002
2010-05-13,7.128613471984863
2010-05-14,6.971652507781982
2010-05-17,6.775452136993408
2010-05-18,6.540011405944824
2010-05-19,6.422288417816162
2010-05-20,6.029890537261963
2010-05-21,6.291489601135254
2010-05-24,6.11491060256958
2010-05-25,6.29802942276001
