Date,AVGO
2010-01-04,1.3333858251571655
2010-01-05,1.3432834148406982
2010-01-06,1.353887915611267
2010-01-07,1.3454047441482544
2010-01-08,1.355302333831787
2010-01-11,1.363786220550537
2010-01-12,1.3432834148406982
2010-01-13,1.3022778034210205
2010-01-14,1.3029848337173462
2010-01-15,1.2895517349243164
2010-01-19,1.2591513395309448
2010-01-20,1.269756555557251
2010-01-21,1.2718778848648071
2010-01-22,1.2414764165878296
2010-01-25,1.2478399276733398
2010-01-26,1.255616307258606
2010-01-27,1.2308717966079712
2010-01-28,1.2527884244918823
2010-01-29,1.2287505865097046
2010-02-01,1.2372348308563232
2010-02-02,1.25137460231781
2010-02-03,1.2457183599472046
2010-02-04,1.21743905544281
2010-02-05,1.2160248756408691
2010-02-08,1.202592134475708
2010-02-09,1.201177716255188
2010-02-10,1.1877449750900269
2010-02-11,1.211075782775879
2010-02-12,1.2273367643356323
2010-02-16,1.2358206510543823
2010-02-17,1.2308717966079712
2010-02-18,1.2336995601654053
2010-02-19,1.2393558025360107
2010-02-22,1.2266298532485962
2010-02-23,1.2287505865097046
2010-02-24,1.2542026042938232
2010-02-25,1.2789469957351685
2010-02-26,1.2831889390945435
2010-03-01,1.29379403591156
2010-03-02,1.3234875202178955
2010-03-03,1.3369207382202148
2010-03-04,1.347525715827942
2010-03-05,1.3687353134155273
2010-03-08,1.365200161933899
2010-03-09,1.3680278062820435
2010-03-10,1.3956010341644287
2010-03-11,1.4040849208831787
2010-03-12,1.3892382383346558
2010-03-15,1.3729768991470337
2010-03-16,1.3786330223083496
2010-03-17,1.4062055349349976
2010-03-18,1.41256844997406
2010-03-19,1.4217596054077148
2010-03-22,1.4097408056259155
2010-03-23,1.4295365810394287
2010-03-24,1.3871171474456787
2010-03-25,1.3892382383346558
2010-03-26,1.407619595527649
2010-03-29,1.4295365810394287
2010-03-30,1.4408477544784546
2010-03-31,1.4535739421844482
2010-04-01,1.4493319988250732
2010-04-05,1.4323643445968628
2010-04-06,1.462058186531067
2010-04-07,1.4479180574417114
2010-04-08,1.4210519790649414
2010-04-09,1.414689302444458
2010-04-12,1.4153969287872314
2010-04-13,1.4245874881744385
2010-04-14,1.5235661268234253
2010-04-15,1.5525527000427246
2010-04-16,1.5468966960906982
2010-04-19,1.5483112335205078
2010-04-20,1.5815399885177612
2010-04-21,1.5440692901611328
2010-04-22,1.5221527814865112
2010-04-23,1.5193244218826294
2010-04-26,1.5405340194702148
2010-04-27,1.4846813678741455
2010-04-28,1.4853883981704712
2010-04-29,1.5129613876342773
2010-04-30,1.450039029121399
2010-05-03,1.493165135383606
2010-05-04,1.4175171852111816
2010-05-05,1.3849960565567017
2010-05-06,1.357423186302185
2010-05-07,1.363786220550537
2010-05-10,1.4662994146347046
2010-05-11,1.4606437683105469
2010-05-12,1.464885950088501
2010-05-13,1.4465038776397705
2010-05-14,1.4302436113357544
2010-05-17,1.4507462978363037
2010-05-18,1.4196383953094482
2010-05-19,1.4153969287872314
2010-05-20,1.4210519790649414
2010-05-21,1.4005500078201294
2010-05-24,1.3708564043045044
2010-05-25,1.3595441579818726
2010-05-26,1.4153969287872314
2010-05-27,1.5087192058563232
2010-05-28,1.4599374532699585
2010-06-01,1.441555380821228
2010-06-02,1.4924582242965698
2010-06-03,1.5313432216644287
2010-06-04,1.4712492227554321
2010-06-07,1.4684209823608398
2010-06-08,1.491044521331787
2010-06-09,1.4896304607391357
2010-06-10,1.5412405729293823
2010-06-11,1.550431728363037
2010-06-14,1.5207387208938599
2010-06-15,1.5730552673339844
2010-06-16,1.6175963878631592
2010-06-17,1.6508243083953857
2010-06-18,1.6289077997207642
2010-06-21,1.6253730058670044
2010-06-22,1.573763132095337
2010-06-23,1.5935585498809814
2010-06-24,1.5016498565673828
2010-06-25,1.5179098844528198
2010-06-28,1.5377060174942017
2010-06-29,1.482560634613037
2010-06-30,1.48892343044281
2010-07-01,1.5136680603027344
2010-07-02,1.5249799489974976
2010-07-06,1.475490927696228
2010-07-07,1.5320498943328857
2010-07-08,1.5405340194702148
2010-07-09,1.556087851524353
2010-07-12,1.562450647354126
2010-07-13,1.5893168449401855
2010-07-14,1.5758836269378662
2010-07-15,1.6197168827056885
2010-07-16,1.5546740293502808
2010-07-19,1.5744693279266357
2010-07-20,1.5553808212280273
2010-07-21,1.539120078086853
2010-07-22,1.6154756546020508
2010-07-23,1.6175963878631592
2010-07-26,1.6119409799575806
2010-07-27,1.5850741863250732
2010-07-28,1.5412405729293823
2010-07-29,1.539120078086853
2010-07-30,1.5384135246276855
2010-08-02,1.543361783027649
2010-08-03,1.527100920677185
2010-08-04,1.5794191360473633
2010-08-05,1.6076982021331787
2010-08-06,1.597093105316162
2010-08-09,1.619010090827942
2010-08-10,1.5765905380249023
2010-08-11,1.4302436113357544
2010-08-12,1.4429692029953003
2010-08-13,1.4132755994796753
2010-08-16,1.4330713748931885
2010-08-17,1.4401413202285767
2010-08-18,1.4670064449310303
2010-08-19,1.450039029121399
2010-08-20,1.444383144378662
2010-08-23,1.442262053489685
2010-08-24,1.4309502840042114
2010-08-25,1.4344849586486816
2010-08-26,1.456402063369751
2010-08-27,1.4358991384506226
2010-08-30,1.413982629776001
2010-08-31,1.4245874881744385
2010-09-01,1.4846813678741455
2010-09-02,1.488216519355774
2010-09-03,1.4832676649093628
2010-09-07,1.4549882411956787
2010-09-08,1.4196383953094482
2010-09-09,1.3906521797180176
2010-09-10,1.318538784980774
2010-09-13,1.339748740196228
2010-09-14,1.4069126844406128
2010-09-15,1.3510602712631226
