Date,FITB
2010-01-04,6.3960490226745605
2010-01-05,6.566695213317871
2010-01-06,6.604618072509766
2010-01-07,7.002793312072754
2010-01-08,7.0091118812561035
2010-01-11,7.07863187789917
2010-01-12,6.945908069610596
2010-01-13,7.280881404876709
2010-01-14,7.4388837814331055
2010-01-15,7.179755687713623
2010-01-19,7.198718070983887
2010-01-20,7.148155212402344
2010-01-21,7.596890449523926
2010-01-22,7.647449970245361
2010-01-25,7.893939971923828
2010-01-26,7.400964736938477
2010-01-27,7.698014259338379
2010-01-28,7.7485761642456055
2010-01-29,7.862337112426758
2010-02-01,7.900261402130127
2010-02-02,7.887620449066162
2010-02-03,7.58424711227417
2010-02-04,7.091273307800293
2010-02-05,7.11655330657959
2010-02-08,7.198718070983887
2010-02-09,7.249276638031006
2010-02-10,7.388321876525879
2010-02-11,7.502084255218506
2010-02-12,7.337759971618652
2010-02-16,7.634810924530029
2010-02-17,7.615849494934082
2010-02-18,7.533686637878418
2010-02-19,7.729615688323975
2010-02-22,7.93186092376709
2010-02-23,7.754891395568848
2010-02-24,8.020343780517578
2010-02-25,7.7106523513793945
2010-02-26,7.716973781585693
2010-03-01,7.735934257507324
2010-03-02,8.001381874084473
2010-03-03,7.925537586212158
2010-03-04,7.792813777923584
2010-03-05,8.045622825622559
2010-03-08,7.969784736633301
2010-03-09,7.976101875305176
2010-03-10,8.190987586975098
2010-03-11,8.393235206604004
2010-03-12,8.311070442199707
2010-03-15,8.456438064575195
2010-03-16,8.500679969787598
2010-03-17,8.65868091583252
2010-03-18,8.494357109069824
2010-03-19,8.405876159667969
2010-03-22,8.488040924072266
2010-03-23,8.506999015808105
2010-03-24,8.582840919494629
2010-03-25,8.475396156311035
2010-03-26,8.342670440673828
2010-03-29,8.418572425842285
2010-03-30,8.39327335357666
2010-03-31,8.576698303222656
2010-04-01,8.595673561096191
2010-04-05,8.823371887207031
2010-04-06,9.076373100280762
2010-04-07,9.044750213623047
2010-04-08,9.025774002075195
2010-04-09,8.91824722290039
2010-04-12,9.082698822021484
2010-04-13,9.063722610473633
2010-04-14,9.449544906616211
2010-04-15,9.424247741699219
2010-04-16,8.981500625610352
2010-04-19,9.00679874420166
2010-04-20,9.360998153686523
2010-04-21,9.582374572753906
2010-04-22,9.462201118469238
2010-04-23,9.563399314880371
2010-04-26,9.183899879455566
2010-04-27,8.886624336242676
2010-04-28,9.13329792022705
2010-04-29,9.405271530151367
2010-04-30,9.43690013885498
2010-05-03,9.715192794799805
2010-05-04,9.209197998046875
2010-05-05,9.22817611694336
2010-05-06,8.608323097229004
2010-05-07,8.418572425842285
2010-05-10,9.09535026550293
2010-05-11,9.240823745727539
2010-05-12,9.487495422363281
2010-05-13,9.360998153686523
2010-05-14,8.90560245513916
2010-05-17,8.842351913452148
2010-05-18,8.49447250366211
2010-05-19,8.412251472473145
2010-05-20,7.912572383880615
2010-05-21,8.342669486999512
2010-05-24,7.950521945953369
2010-05-25,8.114970207214355
2010-05-26,7.912572383880615
2010-05-27,8.38694953918457
2010-05-28,8.222500801086426
2010-06-01,7.842999458312988
2010-06-02,8.254121780395508
2010-06-03,8.304722785949707
2010-06-04,7.90624475479126
2010-06-07,7.792398929595947
2010-06-08,8.013775825500488
2010-06-09,8.013775825500488
2010-06-10,8.456523895263672
2010-06-11,8.450200080871582
2010-06-14,8.557724952697754
2010-06-15,8.854999542236328
2010-06-16,8.886624336242676
2010-06-17,8.614649772644043
2010-06-18,8.589349746704102
2010-06-21,8.557724952697754
2010-06-22,8.545076370239258
2010-06-23,8.545076370239258
2010-06-24,8.34900188446045
2010-06-25,8.456523895263672
2010-06-28,8.551471710205078
2010-06-29,8.197003364562988
2010-06-30,7.779244422912598
2010-07-01,7.69695520401001
2010-07-02,7.481744766235352
2010-07-06,7.620997428894043
2010-07-07,8.17801570892334
2010-07-08,8.28562068939209
2010-07-09,8.532477378845215
2010-07-12,8.399557113647461
2010-07-13,8.66540813446045
2010-07-14,8.443861961364746
2010-07-15,8.386894226074219
2010-07-16,7.703286170959473
2010-07-19,7.532381534576416
2010-07-20,7.456422805786133
2010-07-21,7.139935493469238
2010-07-22,7.880516052246094
2010-07-23,7.779244422912598
2010-07-26,8.11471939086914
2010-07-27,8.317269325256348
2010-07-28,8.076739311218262
2010-07-29,8.11471939086914
2010-07-30,8.045092582702637
2010-08-02,8.494501113891602
2010-08-03,8.418547630310059
2010-08-04,8.412216186523438
2010-08-05,8.266631126403809
2010-08-06,8.032432556152344
2010-08-09,8.241312980651855
2010-08-10,8.228654861450195
2010-08-11,7.836208343505859
2010-08-12,7.69695520401001
2010-08-13,7.67796516418457
2010-08-16,7.715944766998291
2010-08-17,7.639986038208008
2010-08-18,7.6653056144714355
2010-08-19,7.393126010894775
2010-08-20,7.317172527313232
2010-08-23,7.342489242553711
2010-08-24,6.988025188446045
2010-08-25,6.950048923492432
2010-08-26,6.931058406829834
2010-08-27,7.07664155960083
2010-08-30,6.867758750915527
2010-08-31,6.988025188446045
2010-09-01,7.380470275878906
2010-09-02,7.418447017669678
2010-09-03,7.55137300491333
2010-09-07,7.2032365798950195
2010-09-08,7.342489242553711
2010-09-09,7.5703630447387695
2010-09-10,7.652648448944092
2010-09-13,7.918497085571289
2010-09-14,7.905838966369629
2010-09-15,7.893176078796387
2010-09-16,7.7349348068237305
2010-09-17,7.741265296936035
2010-09-20,7.842540740966797
2010-09-21,7.772913932800293
2010-09-22,7.620997428894043
2010-09-23,7.418447017669678
2010-09-24,7.747591018676758
2010-09-27,7.5387115478515625
