Date,DOC
2010-01-04,12.159209251403809
2010-01-05,12.126864433288574
2010-01-06,12.0540771484375
2010-01-07,12.219863891601562
2010-01-08,12.300742149353027
2010-01-11,12.43822193145752
2010-01-12,12.227956771850586
2010-01-13,12.32095718383789
2010-01-14,12.284565925598145
2010-01-15,12.272432327270508
2010-01-19,12.652534484863281
2010-01-20,12.42204475402832
2010-01-21,12.0540771484375
2010-01-22,11.868071556091309
2010-01-25,11.872117042541504
2010-01-26,11.516274452209473
2010-01-27,11.613317489624023
2010-01-28,11.552666664123535
2010-01-29,11.463706016540527
2010-02-01,11.698236465454102
2010-02-02,11.96916389465332
2010-02-03,11.819547653198242
2010-02-04,11.229178428649902
2010-02-05,11.334308624267578
2010-02-08,11.031038284301758
2010-02-09,11.131824493408203
2010-02-10,11.345739364624023
2010-02-11,11.53497314453125
2010-02-12,11.32928466796875
2010-02-16,11.905211448669434
2010-02-17,12.053309440612793
2010-02-18,12.24254035949707
2010-02-19,12.291903495788574
2010-02-22,12.164374351501465
2010-02-23,11.929893493652344
2010-02-24,12.086214065551758
2010-02-25,11.934003829956055
2010-02-26,11.839391708374023
2010-03-01,11.946349143981934
2010-03-02,12.032737731933594
2010-03-03,12.02862548828125
2010-03-04,12.172606468200684
2010-03-05,12.505815505981445
2010-03-08,12.563409805297852
2010-03-09,12.575753211975098
2010-03-10,12.793787002563477
2010-03-11,13.028264045715332
2010-03-12,13.217501640319824
2010-03-15,13.217501640319824
2010-03-16,13.579508781433105
2010-03-17,13.904496192932129
2010-03-18,13.781076431274414
2010-03-19,13.620649337768555
2010-03-22,13.978546142578125
2010-03-23,13.916836738586426
2010-03-24,13.937409400939941
2010-03-25,13.809877395629883
2010-03-26,13.727603912353516
2010-03-29,13.628870010375977
2010-03-30,13.632987976074219
2010-03-31,13.575398445129395
2010-04-01,13.558937072753906
2010-04-05,13.690577507019043
2010-04-06,13.826335906982422
2010-04-07,13.414952278137207
2010-04-08,13.476668357849121
2010-04-09,13.682355880737305
2010-04-12,13.534258842468262
2010-04-13,13.608309745788574
2010-04-14,13.410844802856445
2010-04-15,13.028264045715332
2010-04-16,12.822580337524414
2010-04-19,12.937760353088379
2010-04-20,13.118772506713867
2010-04-21,13.25452709197998
2010-04-22,13.48489761352539
2010-04-23,13.612417221069336
2010-04-26,13.846905708312988
2010-04-27,13.233957290649414
2010-04-28,13.275092124938965
2010-04-29,13.727965354919434
2010-04-30,13.40656566619873
2010-05-03,13.857349395751953
2010-05-04,13.444134712219238
2010-05-05,13.273003578186035
2010-05-06,12.901527404785156
2010-05-07,12.947440147399902
2010-05-10,14.074394226074219
2010-05-11,14.091087341308594
2010-05-12,14.182917594909668
2010-05-13,13.970043182373047
2010-05-14,13.602737426757812
2010-05-17,13.6194429397583
2010-05-18,13.29387092590332
2010-05-19,13.206221580505371
2010-05-20,12.525875091552734
2010-05-21,12.955788612365723
2010-05-24,12.747091293334961
2010-05-25,12.86814022064209
2010-05-26,12.826395988464355
2010-05-27,13.552655220031738
2010-05-28,13.29804801940918
2010-06-01,13.085183143615723
2010-06-02,13.48587417602539
2010-06-03,13.273003578186035
2010-06-04,12.596831321716309
2010-06-07,12.584311485290527
2010-06-08,12.964131355285645
2010-06-09,12.909869194030762
2010-06-10,13.548480987548828
2010-06-11,13.71126651763916
2010-06-14,13.957529067993164
2010-06-15,14.337349891662598
2010-06-16,14.270564079284668
2010-06-17,14.337349891662598
2010-06-18,13.657000541687012
2010-06-21,13.56517505645752
2010-06-22,13.377346992492676
2010-06-23,13.527612686157227
2010-06-24,13.373180389404297
2010-06-25,13.669524192810059
2010-06-28,13.56100845336914
2010-06-29,13.460829734802246
2010-06-30,13.460829734802246
2010-07-01,13.410744667053223
2010-07-02,13.252131462097168
2010-07-06,13.114395141601562
2010-07-07,13.707084655761719
2010-07-08,13.702916145324707
2010-07-09,13.986736297607422
2010-07-12,14.003438949584961
2010-07-13,14.329000473022461
2010-07-14,14.316479682922363
2010-07-15,14.266397476196289
2010-07-16,13.965873718261719
2010-07-19,14.232998847961426
2010-07-20,14.479266166687012
2010-07-21,14.082742691040039
2010-07-22,14.59195613861084
2010-07-23,14.66291332244873
2010-07-26,15.000994682312012
2010-07-27,14.850739479064941
2010-07-28,14.733868598937988
2010-07-29,14.733868598937988
2010-07-30,14.80482006072998
2010-08-02,15.355775833129883
2010-08-03,15.076128959655762
2010-08-04,15.218043327331543
2010-08-05,14.907294273376465
2010-08-06,14.924205780029297
2010-08-09,15.059496879577637
2010-08-10,14.890385627746582
2010-08-11,14.708586692810059
2010-08-12,14.543702125549316
2010-08-13,14.590208053588867
2010-08-16,14.602896690368652
2010-08-17,14.88193130493164
2010-08-18,14.7339506149292
2010-08-19,14.4464693069458
2010-08-20,14.454914093017578
2010-08-23,14.412643432617188
2010-08-24,14.298487663269043
2010-08-25,14.560617446899414
2010-08-26,14.505658149719238
2010-08-27,14.843876838684082
2010-08-30,14.945352554321289
2010-08-31,14.890385627746582
2010-09-01,15.418866157531738
2010-09-02,15.533010482788086
2010-09-03,15.76977252960205
2010-09-07,15.423095703125
2010-09-08,15.533010482788086
2010-09-09,15.342763900756836
2010-09-10,15.410405158996582
2010-09-13,15.617568016052246
2010-09-14,15.58375072479248
2010-09-15,15.67253303527832
2010-09-16,15.524552345275879
2010-09-17,15.689445495605469
2010-09-20,16.053035736083984
2010-09-21,15.575294494628906
2010-09-22,15.418866157531738
2010-09-23,15.017220497131348
2010-09-24,15.499190330505371
2010-09-27,15.275111198425293
2010-09-28,15.313169479370117
