Date,PNC
2010-01-04,34.615211486816406
2010-01-05,34.964542388916016
2010-01-06,34.964542388916016
2010-01-07,36.859928131103516
2010-01-08,36.95696258544922
2010-01-11,37.060455322265625
2010-01-12,36.67880630493164
2010-01-13,36.963932037353516
2010-01-14,37.48237228393555
2010-01-15,36.73063659667969
2010-01-19,37.475894927978516
2010-01-20,38.09800338745117
2010-01-21,36.0955696105957
2010-01-22,34.74767303466797
2010-01-25,35.000396728515625
2010-01-26,34.12553405761719
2010-01-27,35.22720718383789
2010-01-28,35.08462905883789
2010-01-29,35.92060852050781
2010-02-01,36.19926071166992
2010-02-02,35.415130615234375
2010-02-03,34.80598831176758
2010-02-04,33.06925964355469
2010-02-05,33.56174850463867
2010-02-08,32.88779830932617
2010-02-09,33.08869171142578
2010-02-10,33.23126220703125
2010-02-11,33.309024810791016
2010-02-12,33.38677215576172
2010-02-16,33.982975006103516
2010-02-17,33.60063171386719
2010-02-18,33.61359405517578
2010-02-19,33.50343704223633
2010-02-22,34.4560432434082
2010-02-23,34.060733795166016
2010-02-24,34.85133361816406
2010-02-25,34.7606201171875
2010-02-26,34.838382720947266
2010-03-01,34.870784759521484
2010-03-02,34.67637634277344
2010-03-03,34.83189010620117
2010-03-04,35.12351989746094
2010-03-05,36.01131820678711
2010-03-08,35.98541259765625
2010-03-09,36.41310119628906
2010-03-10,37.197235107421875
2010-03-11,37.871185302734375
2010-03-12,37.49533462524414
2010-03-15,37.13243865966797
2010-03-16,37.98784255981445
2010-03-17,38.856201171875
2010-03-18,38.36369323730469
2010-03-19,38.62938690185547
2010-03-22,38.78492736816406
2010-03-23,38.759010314941406
2010-03-24,38.797889709472656
2010-03-25,38.836761474609375
2010-03-26,38.60346221923828
2010-03-29,38.53868103027344
2010-03-30,38.033203125
2010-03-31,38.687713623046875
2010-04-01,39.037654876708984
2010-04-05,39.9578742980957
2010-04-06,40.55406188964844
2010-04-07,40.50221633911133
2010-04-08,41.53907775878906
2010-04-09,42.058311462402344
2010-04-12,42.36336135864258
2010-04-13,41.29243850708008
2010-04-14,42.2919807434082
2010-04-15,41.64292526245117
2010-04-16,40.90299606323242
2010-04-19,41.21455383300781
2010-04-20,42.13621139526367
2010-04-21,42.38282775878906
2010-04-22,44.66747283935547
2010-04-23,45.199703216552734
2010-04-26,43.336936950683594
2010-04-27,42.89559555053711
2010-04-28,42.4931640625
2010-04-29,42.87610626220703
2010-04-30,43.62251281738281
2010-05-03,44.50521469116211
2010-05-04,43.135711669921875
2010-05-05,43.86915588378906
2010-05-06,41.8051872253418
2010-05-07,41.629940032958984
2010-05-10,44.03141403198242
2010-05-11,44.531185150146484
2010-05-12,44.47275924682617
2010-05-13,43.4797248840332
2010-05-14,42.58404541015625
2010-05-17,42.739830017089844
2010-05-18,41.33137512207031
2010-05-19,40.747230529785156
2010-05-20,39.299869537353516
2010-05-21,40.7342414855957
2010-05-24,39.306339263916016
2010-05-25,40.11116409301758
2010-05-26,40.00082778930664
2010-05-27,41.8441276550293
2010-05-28,40.727752685546875
2010-06-01,39.69577407836914
2010-06-02,41.33786392211914
2010-06-03,40.26694869995117
2010-06-04,38.08612823486328
2010-06-07,37.84600067138672
2010-06-08,38.449615478515625
2010-06-09,37.651275634765625
2010-06-10,39.319332122802734
2010-06-11,39.754180908203125
2010-06-14,39.072689056396484
2010-06-15,40.21500778198242
2010-06-16,40.468143463134766
2010-06-17,40.364295959472656
2010-06-18,40.747230529785156
2010-06-21,40.156593322753906
2010-06-22,39.351783752441406
2010-06-23,39.40369415283203
2010-06-24,38.339263916015625
2010-06-25,39.61140060424805
2010-06-28,38.83254623413086
2010-06-29,37.37217712402344
2010-06-30,36.67121505737305
2010-07-01,36.55437469482422
2010-07-02,36.132511138916016
2010-07-06,36.82698059082031
2010-07-07,39.68928146362305
2010-07-08,39.68278503417969
2010-07-09,40.16957473754883
2010-07-12,39.974552154541016
2010-07-13,40.787166595458984
2010-07-14,39.84452438354492
2010-07-15,39.57798767089844
2010-07-16,37.85524368286133
2010-07-19,37.68620300292969
2010-07-20,38.31680679321289
2010-07-21,38.05675506591797
2010-07-22,38.86286926269531
2010-07-23,39.66901397705078
2010-07-26,40.20859146118164
2010-07-27,39.85102462768555
2010-07-28,38.76536178588867
2010-07-29,38.74585723876953
2010-07-30,38.60932922363281
2010-08-02,39.6300048828125
2010-08-03,39.23344421386719
2010-08-04,39.22043991088867
2010-08-05,39.11640548706055
2010-08-06,38.24529266357422
2010-08-09,37.718711853027344
2010-08-10,38.16728210449219
2010-08-11,36.89309310913086
2010-08-12,36.464019775390625
2010-08-13,35.813926696777344
2010-08-16,36.17147445678711
2010-08-17,36.02846145629883
2010-08-18,36.57453155517578
2010-08-19,35.29383850097656
2010-08-20,34.27968215942383
2010-08-23,33.902626037597656
2010-08-24,32.868980407714844
2010-08-25,32.85597229003906
2010-08-26,32.84947967529297
2010-08-27,33.785614013671875
2010-08-30,32.73894119262695
2010-08-31,33.14851760864258
2010-09-01,34.5787353515625
2010-09-02,35.17682647705078
2010-09-03,35.70991134643555
2010-09-07,34.442222595214844
2010-09-08,35.066307067871094
2010-09-09,35.56038284301758
2010-09-10,35.59938049316406
2010-09-13,36.62655258178711
2010-09-14,35.93745040893555
2010-09-15,35.644893646240234
2010-09-16,35.41086196899414
2010-09-17,35.332847595214844
2010-09-20,35.09230422973633
2010-09-21,34.16267395019531
2010-09-22,33.33053970336914
2010-09-23,33.4345703125
2010-09-24,34.50721740722656
2010-09-27,33.4605712890625
2010-09-28,34.13016891479492
