Date,PGR
2010-01-04,11.053091049194336
2010-01-05,11.016310691833496
2010-01-06,10.905961990356445
2010-01-07,10.758833885192871
2010-01-08,10.85692024230957
2010-01-11,10.581053733825684
2010-01-12,10.605571746826172
2010-01-13,10.863049507141113
2010-01-14,10.881443977355957
2010-01-15,10.685270309448242
2010-01-19,10.85692024230957
2010-01-20,10.789484024047852
2010-01-21,10.648488998413086
2010-01-22,10.354228019714355
2010-01-25,10.441499710083008
2010-01-26,10.398173332214355
2010-01-27,10.497203826904297
2010-01-28,10.367223739624023
2010-01-29,10.262007713317871
2010-02-01,10.367223739624023
2010-02-02,10.47863483428955
2010-02-03,10.379606246948242
2010-02-04,10.057754516601562
2010-02-05,10.224868774414062
2010-02-08,10.032999038696289
2010-02-09,10.132026672363281
2010-02-10,10.212491035461426
2010-02-11,10.292952537536621
2010-02-12,10.3424711227417
2010-02-16,10.565287590026855
2010-02-17,10.472447395324707
2010-02-18,10.614797592163086
2010-02-19,10.614797592163086
2010-02-22,10.639559745788574
2010-02-23,10.571476936340332
2010-02-24,10.664318084716797
2010-02-25,10.67050838470459
2010-02-26,10.614797592163086
2010-03-01,10.695262908935547
2010-03-02,10.664318084716797
2010-03-03,10.540529251098633
2010-03-04,10.590044021606445
2010-03-05,10.72001838684082
2010-03-08,10.627179145812988
2010-03-09,10.608609199523926
2010-03-10,10.559099197387695
2010-03-11,10.596231460571289
2010-03-12,10.577668190002441
2010-03-15,10.744779586791992
2010-03-16,10.750967979431152
2010-03-17,11.072816848754883
2010-03-18,11.060436248779297
2010-03-19,11.202792167663574
2010-03-22,11.295637130737305
2010-03-23,11.456558227539062
2010-03-24,11.44417953491211
2010-03-25,11.506071090698242
2010-03-26,11.92695140838623
2010-03-29,11.920764923095703
2010-03-30,11.821730613708496
2010-03-31,11.81554126739502
2010-04-01,11.896004676818848
2010-04-05,11.957897186279297
2010-04-06,11.96408748626709
2010-04-07,12.038362503051758
2010-04-08,11.982657432556152
2010-04-09,12.00741195678711
2010-04-12,11.982657432556152
2010-04-13,12.050738334655762
2010-04-14,12.762520790100098
2010-04-15,12.83060359954834
2010-04-16,12.601597785949707
2010-04-19,12.83060359954834
2010-04-20,12.86154842376709
2010-04-21,12.589214324951172
2010-04-22,12.81822395324707
2010-04-23,12.911064147949219
2010-04-26,12.756332397460938
2010-04-27,12.34163761138916
2010-04-28,12.465429306030273
2010-04-29,12.620162963867188
2010-04-30,12.434483528137207
2010-05-03,12.620162963867188
2010-05-04,12.372587203979492
2010-05-05,12.533515930175781
2010-05-06,12.254989624023438
2010-05-07,12.10025405883789
2010-05-10,12.65110969543457
2010-05-11,12.589214324951172
2010-05-12,12.842979431152344
2010-05-13,12.750140190124512
2010-05-14,12.564456939697266
2010-05-17,12.737761497497559
2010-05-18,12.595402717590332
2010-05-19,12.552079200744629
2010-05-20,11.982657432556152
2010-05-21,12.261177062988281
2010-05-24,12.038362503051758
2010-05-25,12.1064453125
2010-05-26,11.902194023132324
2010-05-27,12.292130470275879
2010-05-28,12.125011444091797
2010-06-01,11.790785789489746
2010-06-02,12.143582344055176
2010-06-03,12.149768829345703
2010-06-04,11.735081672668457
2010-06-07,11.642240524291992
2010-06-08,11.871243476867676
2010-06-09,11.710322380065918
2010-06-10,12.081685066223145
2010-06-11,12.131203651428223
2010-06-14,12.032173156738281
2010-06-15,12.347833633422852
2010-06-16,12.273557662963867
2010-06-17,12.422102928161621
2010-06-18,12.47161865234375
2010-06-21,12.236421585083008
2010-06-22,12.069307327270508
2010-06-23,12.00741195678711
2010-06-24,11.871243476867676
2010-06-25,12.06312084197998
2010-06-28,12.075495719909668
2010-06-29,11.704133033752441
2010-06-30,11.586532592773438
2010-07-01,11.543209075927734
2010-07-02,11.524641990661621
2010-07-06,11.592726707458496
2010-07-07,11.988845825195312
2010-07-08,12.180716514587402
2010-07-09,12.354019165039062
2010-07-12,12.261177062988281
2010-07-13,12.27974796295166
2010-07-14,12.446860313415527
2010-07-15,12.440670013427734
2010-07-16,12.125011444091797
2010-07-19,12.162152290344238
2010-07-20,12.242609024047852
2010-07-21,11.908381462097168
2010-07-22,12.162152290344238
2010-07-23,12.298317909240723
2010-07-26,12.49018669128418
2010-07-27,12.477810859680176
2010-07-28,12.261177062988281
2010-07-29,12.199284553527832
2010-07-30,12.155960083007812
2010-08-02,12.366400718688965
2010-08-03,12.137392044067383
2010-08-04,12.180716514587402
2010-08-05,12.224042892456055
2010-08-06,12.162152290344238
2010-08-09,12.261177062988281
2010-08-10,12.224042892456055
2010-08-11,11.883628845214844
2010-08-12,11.877436637878418
2010-08-13,11.871243476867676
2010-08-16,11.809354782104492
2010-08-17,11.914572715759277
2010-08-18,12.199284553527832
2010-08-19,12.075495719909668
2010-08-20,12.038362503051758
2010-08-23,11.995036125183105
2010-08-24,11.933143615722656
2010-08-25,12.081685066223145
2010-08-26,12.00741195678711
2010-08-27,12.316882133483887
2010-08-30,12.236421585083008
2010-08-31,12.254989624023438
2010-09-01,12.589214324951172
2010-09-02,12.719195365905762
2010-09-03,12.836795806884766
2010-09-07,12.669679641723633
2010-09-08,12.84917163848877
2010-09-09,12.62635326385498
2010-09-10,12.595402717590332
2010-09-13,12.799654960632324
2010-09-14,12.700624465942383
2010-09-15,12.842979431152344
2010-09-16,12.991528511047363
2010-09-17,13.071990966796875
2010-09-20,13.257674217224121
2010-09-21,13.232913970947266
2010-09-22,13.065796852111816
2010-09-23,12.84917163848877
2010-09-24,13.208157539367676
2010-09-27,13.047233581542969
2010-09-28,13.214341163635254
