Date,VTRS
2010-01-04,15.65530776977539
2010-01-05,15.48805046081543
2010-01-06,15.337519645690918
2010-01-07,15.078268051147461
2010-01-08,14.568135261535645
2010-01-11,14.860836029052734
2010-01-12,14.559767723083496
2010-01-13,14.894285202026367
2010-01-14,14.944465637207031
2010-01-15,15.220439910888672
2010-01-19,15.672032356262207
2010-01-20,15.237166404724121
2010-01-21,15.003005027770996
2010-01-22,14.869197845458984
2010-01-25,14.785571098327637
2010-01-26,15.128446578979492
2010-01-27,15.26225471496582
2010-01-28,14.994643211364746
2010-01-29,15.245526313781738
2010-02-01,15.153535842895508
2010-02-02,15.220439910888672
2010-02-03,15.061545372009277
2010-02-04,14.869197845458984
2010-02-05,14.961188316345215
2010-02-08,14.852476119995117
2010-02-09,14.785571098327637
2010-02-10,14.727029800415039
2010-02-11,15.295703887939453
2010-02-12,15.312431335449219
2010-02-16,15.621855735778809
2010-02-17,15.780753135681152
2010-02-18,15.77238655090332
2010-02-19,15.948010444641113
2010-02-22,16.39960479736328
2010-02-23,16.023277282714844
2010-02-24,16.240711212158203
2010-02-25,17.3111572265625
2010-02-26,17.846385955810547
2010-03-01,17.87983512878418
2010-03-02,17.8547420501709
2010-03-03,17.670764923095703
2010-03-04,17.804574966430664
2010-03-05,18.20598602294922
2010-03-08,17.913286209106445
2010-03-09,18.072181701660156
2010-03-10,18.239439010620117
2010-03-11,18.381607055664062
2010-03-12,18.35651969909668
2010-03-15,18.35651969909668
2010-03-16,18.473600387573242
2010-03-17,18.481962203979492
2010-03-18,18.69939613342285
2010-03-19,18.84156608581543
2010-03-22,19.159358978271484
2010-03-23,19.1677188873291
2010-03-24,18.95028305053711
2010-03-25,18.615772247314453
2010-03-26,18.716121673583984
2010-03-29,19.125900268554688
2010-03-30,18.94192123413086
2010-03-31,18.992094039916992
2010-04-01,19.368427276611328
2010-04-05,19.443695068359375
2010-04-06,19.092451095581055
2010-04-07,19.000457763671875
2010-04-08,18.85828971862793
2010-04-09,18.84992790222168
2010-04-12,18.84156608581543
2010-04-13,18.84156608581543
2010-04-14,18.481962203979492
2010-04-15,18.440143585205078
2010-04-16,18.18925666809082
2010-04-19,18.038728713989258
2010-04-20,18.239439010620117
2010-04-21,18.465238571166992
2010-04-22,18.36488151550293
2010-04-23,18.599040985107422
2010-04-26,18.18925666809082
2010-04-27,17.86311149597168
2010-04-28,18.155807495117188
2010-04-29,18.20598602294922
2010-04-30,18.406696319580078
2010-05-03,18.42342185974121
2010-05-04,17.86311149597168
2010-05-05,18.256166458129883
2010-05-06,17.871471405029297
2010-05-07,17.846385955810547
2010-05-10,18.247800827026367
2010-05-11,18.20598602294922
2010-05-12,18.063817977905273
2010-05-13,17.679126739501953
2010-05-14,17.16063117980957
2010-05-17,17.227527618408203
2010-05-18,16.71739387512207
2010-05-19,16.918102264404297
2010-05-20,16.257436752319336
2010-05-21,16.315975189208984
2010-05-24,16.090181350708008
2010-05-25,16.014911651611328
2010-05-26,16.15708351135254
2010-05-27,16.575227737426758
2010-05-28,16.257436752319336
2010-06-01,15.839292526245117
2010-06-02,15.847657203674316
2010-06-03,15.764028549194336
2010-06-04,15.471327781677246
2010-06-07,15.412785530090332
2010-06-08,14.911011695861816
2010-06-09,15.019731521606445
2010-06-10,15.287342071533203
2010-06-11,15.320793151855469
2010-06-14,15.011370658874512
2010-06-15,15.379332542419434
2010-06-16,14.96955394744873
2010-06-17,15.354244232177734
2010-06-18,15.580039978027344
2010-06-21,15.028092384338379
2010-06-22,15.111721992492676
2010-06-23,14.877561569213867
2010-06-24,14.835746765136719
2010-06-25,14.994643211364746
2010-06-28,14.777207374572754
2010-06-29,14.425963401794434
2010-06-30,14.250346183776855
2010-07-01,14.09981632232666
2010-07-02,14.12490177154541
2010-07-06,14.23361873626709
2010-07-07,14.584861755371094
2010-07-08,14.927743911743164
2010-07-09,14.727029800415039
2010-07-12,14.651766777038574
2010-07-13,14.927743911743164
2010-07-14,14.927743911743164
2010-07-15,15.320793151855469
2010-07-16,14.810656547546387
2010-07-19,15.145173072814941
2010-07-20,15.195352554321289
2010-07-21,14.869197845458984
2010-07-22,14.877561569213867
2010-07-23,14.852476119995117
2010-07-26,15.287342071533203
2010-07-27,15.128446578979492
2010-07-28,14.97791576385498
2010-07-29,14.626676559448242
2010-07-30,14.551406860351562
2010-08-02,14.877561569213867
2010-08-03,14.618313789367676
2010-08-04,14.835746765136719
2010-08-05,14.743756294250488
2010-08-06,14.760481834411621
2010-08-09,15.136813163757324
2010-08-10,15.136813163757324
2010-08-11,14.660128593444824
2010-08-12,14.593222618103027
2010-08-13,14.601583480834961
2010-08-16,14.568135261535645
2010-08-17,15.011370658874512
2010-08-18,14.860836029052734
2010-08-19,14.718667984008789
2010-08-20,14.66849136352539
2010-08-23,14.676849365234375
2010-08-24,14.509596824645996
2010-08-25,14.53468132019043
2010-08-26,14.191804885864258
2010-08-27,14.50123405456543
2010-08-30,14.241981506347656
2010-08-31,14.350698471069336
2010-09-01,14.593222618103027
2010-09-02,14.584861755371094
2010-09-03,14.877561569213867
2010-09-07,14.760481834411621
2010-09-08,14.693575859069824
2010-09-09,14.802292823791504
2010-09-10,14.96955394744873
2010-09-13,15.011370658874512
2010-09-14,15.069908142089844
2010-09-15,15.069908142089844
2010-09-16,15.178624153137207
2010-09-17,15.220439910888672
2010-09-20,15.38769817352295
2010-09-21,15.304073333740234
2010-09-22,15.362608909606934
2010-09-23,15.429512023925781
2010-09-24,15.822565078735352
2010-09-27,15.596772193908691
2010-09-28,15.722211837768555
