Date,NDSN
2010-01-04,26.785266876220703
2010-01-05,26.75127410888672
2010-01-06,26.45394515991211
2010-01-07,26.772506713867188
2010-01-08,27.07834243774414
2010-01-11,26.950916290283203
2010-01-12,26.35201072692871
2010-01-13,26.509157180786133
2010-01-14,26.538890838623047
2010-01-15,26.075910568237305
2010-01-19,26.62385368347168
2010-01-20,26.271299362182617
2010-01-21,25.213651657104492
2010-01-22,24.7166805267334
2010-01-25,24.784639358520508
2010-01-26,24.585006713867188
2010-01-27,24.635982513427734
2010-01-28,24.147504806518555
2010-01-29,24.01582908630371
2010-02-01,24.20697593688965
2010-02-02,24.635982513427734
2010-02-03,24.572261810302734
2010-02-04,23.480642318725586
2010-02-05,23.31922721862793
2010-02-08,23.030391693115234
2010-02-09,23.387184143066406
2010-02-10,23.170562744140625
2010-02-11,23.913898468017578
2010-02-12,24.096534729003906
2010-02-16,24.614748001098633
2010-02-17,24.674209594726562
2010-02-18,24.818632125854492
2010-02-19,25.01401138305664
2010-02-22,25.24338722229004
2010-02-23,27.46062660217285
2010-02-24,28.488540649414062
2010-02-25,28.271913528442383
2010-02-26,28.029115676879883
2010-03-01,28.557313919067383
2010-03-02,28.57861328125
2010-03-03,28.66806983947754
2010-03-04,28.774566650390625
2010-03-05,29.08978271484375
2010-03-08,29.05994987487793
2010-03-09,29.31554412841797
2010-03-10,29.865047454833984
2010-03-11,29.81818962097168
2010-03-12,29.81818962097168
2010-03-15,29.613731384277344
2010-03-16,29.677623748779297
2010-03-17,29.95452308654785
2010-03-18,30.29953956604004
2010-03-19,28.791589736938477
2010-03-22,29.362422943115234
2010-03-23,30.069528579711914
2010-03-24,29.230356216430664
2010-03-25,29.396488189697266
2010-03-26,29.298505783081055
2010-03-29,29.494461059570312
2010-03-30,29.588167190551758
2010-03-31,28.932170867919922
2010-04-01,29.32832145690918
2010-04-05,29.78838348388672
2010-04-06,30.03544044494629
2010-04-07,30.282506942749023
2010-04-08,30.03544044494629
2010-04-09,30.231382369995117
2010-04-12,30.29953956604004
2010-04-13,30.218618392944336
2010-04-14,31.00665855407715
2010-04-15,31.079092025756836
2010-04-16,30.874610900878906
2010-04-19,30.465681076049805
2010-04-20,30.653106689453125
2010-04-21,31.10039710998535
2010-04-22,32.19515609741211
2010-04-23,32.30587387084961
2010-04-26,32.335716247558594
2010-04-27,31.57746696472168
2010-04-28,31.334678649902344
2010-04-29,31.845842361450195
2010-04-30,30.593475341796875
2010-05-03,31.411359786987305
2010-05-04,30.367706298828125
2010-05-05,30.031177520751953
2010-05-06,28.93642234802246
2010-05-07,28.08873748779297
2010-05-10,29.95452308654785
2010-05-11,30.03544044494629
2010-05-12,31.407073974609375
2010-05-13,30.878877639770508
2010-05-14,30.205833435058594
2010-05-17,29.711702346801758
2010-05-18,29.187768936157227
2010-05-19,28.408226013183594
2010-05-20,26.763961791992188
2010-05-21,29.00884246826172
2010-05-24,28.19950294494629
2010-05-25,27.918357849121094
2010-05-26,27.637208938598633
2010-05-27,28.99151039123535
2010-05-28,28.46603012084961
2010-06-01,27.42786407470703
2010-06-02,28.27377700805664
2010-06-03,28.393400192260742
2010-06-04,26.90665054321289
2010-06-07,25.859956741333008
2010-06-08,25.872770309448242
2010-06-09,25.58226203918457
2010-06-10,26.38117027282715
2010-06-11,26.56488037109375
2010-06-14,26.479433059692383
2010-06-15,27.269804000854492
2010-06-16,27.022005081176758
2010-06-17,26.876750946044922
2010-06-18,26.932292938232422
2010-06-21,26.79130744934082
2010-06-22,26.12483024597168
2010-06-23,26.099201202392578
2010-06-24,24.45865249633789
2010-06-25,24.753442764282227
2010-06-28,25.2490177154541
2010-06-29,24.23649787902832
2010-06-30,23.95880126953125
2010-07-01,23.39913558959961
2010-07-02,23.41621971130371
2010-07-06,23.424768447875977
2010-07-07,24.343299865722656
2010-07-08,24.732072830200195
2010-07-09,24.84316062927246
2010-07-12,24.253578186035156
2010-07-13,25.227659225463867
2010-07-14,25.398544311523438
2010-07-15,25.411365509033203
2010-07-16,24.59536361694336
2010-07-19,24.894426345825195
2010-07-20,25.424184799194336
2010-07-21,25.424184799194336
2010-07-22,26.11200714111328
2010-07-23,26.65886688232422
2010-07-26,27.316783905029297
2010-07-27,27.197172164916992
2010-07-28,26.757122039794922
2010-07-29,26.812664031982422
2010-07-30,26.936561584472656
2010-08-02,28.474567413330078
2010-08-03,28.102888107299805
2010-08-04,28.760820388793945
2010-08-05,28.96161651611328
2010-08-06,29.14958953857422
2010-08-09,29.243576049804688
2010-08-10,28.987245559692383
2010-08-11,27.5047664642334
2010-08-12,27.415056228637695
2010-08-13,27.303974151611328
2010-08-16,27.543230056762695
2010-08-17,28.36349868774414
2010-08-18,28.290861129760742
2010-08-19,27.594493865966797
2010-08-20,27.752559661865234
2010-08-23,27.24842643737793
2010-08-24,27.16299819946289
2010-08-25,27.51759147644043
2010-08-26,27.308242797851562
2010-08-27,28.18265724182129
2010-08-30,27.119647979736328
2010-08-31,27.50541877746582
2010-09-01,28.568422317504883
2010-09-02,29.1856689453125
2010-09-03,29.712886810302734
2010-09-07,29.147077560424805
2010-09-08,29.224241256713867
2010-09-09,29.19852638244629
2010-09-10,29.24137306213379
2010-09-13,29.99149513244629
2010-09-14,30.000072479248047
2010-09-15,29.98720359802246
2010-09-16,29.965770721435547
2010-09-17,30.197229385375977
2010-09-20,31.20452880859375
2010-09-21,31.075927734375
2010-09-22,30.711593627929688
2010-09-23,29.755754470825195
2010-09-24,30.891633987426758
2010-09-27,30.625865936279297
2010-09-28,31.354551315307617
