Date,PH
2010-01-04,41.780487060546875
2010-01-05,41.58123779296875
2010-01-06,41.40497970581055
2010-01-07,41.895442962646484
2010-01-08,43.083255767822266
2010-01-11,44.309391021728516
2010-01-12,44.40134811401367
2010-01-13,44.63890075683594
2010-01-14,45.052734375
2010-01-15,44.87648010253906
2010-01-19,47.06819534301758
2010-01-20,46.44746398925781
2010-01-21,45.61216354370117
2010-01-22,44.1561164855957
2010-01-25,43.964534759521484
2010-01-26,43.37446212768555
2010-01-27,43.98752212524414
2010-01-28,43.15987777709961
2010-01-29,42.8456916809082
2010-02-01,43.78828048706055
2010-02-02,44.55460739135742
2010-02-03,43.91090393066406
2010-02-04,42.09468078613281
2010-02-05,42.12534713745117
2010-02-08,41.79582595825195
2010-02-09,42.72307205200195
2010-02-10,42.5698127746582
2010-02-11,43.4970817565918
2010-02-12,42.975975036621094
2010-02-16,44.069026947021484
2010-02-17,44.792625427246094
2010-02-18,45.231388092041016
2010-02-19,45.41612243652344
2010-02-22,45.35453414916992
2010-02-23,44.88499450683594
2010-02-24,45.31604766845703
2010-02-25,45.33915328979492
2010-02-26,46.42451095581055
2010-03-01,47.502201080322266
2010-03-02,47.779296875
2010-03-03,48.041011810302734
2010-03-04,47.779296875
2010-03-05,48.44130325317383
2010-03-08,48.51056671142578
2010-03-09,48.74920654296875
2010-03-10,49.12638854980469
2010-03-11,49.02632522583008
2010-03-12,48.96474838256836
2010-03-15,49.141780853271484
2010-03-16,49.60364532470703
2010-03-17,50.31951904296875
2010-03-18,50.49656677246094
2010-03-19,50.11939239501953
2010-03-22,50.458072662353516
2010-03-23,51.243247985839844
2010-03-24,50.29642868041992
2010-03-25,49.87306594848633
2010-03-26,49.734500885009766
2010-03-29,50.219444274902344
2010-03-30,50.43499755859375
2010-03-31,49.834556579589844
2010-04-01,50.24253845214844
2010-04-05,51.12776184082031
2010-04-06,51.05079650878906
2010-04-07,51.189369201660156
2010-04-08,52.028385162353516
2010-04-09,52.713497161865234
2010-04-12,53.48325729370117
2010-04-13,53.69877243041992
2010-04-14,54.29921340942383
2010-04-15,54.04518127441406
2010-04-16,53.16765213012695
2010-04-19,53.41398239135742
2010-04-20,52.19005584716797
2010-04-21,54.653316497802734
2010-04-22,54.22224807739258
2010-04-23,54.64559555053711
2010-04-26,54.77646255493164
2010-04-27,52.92133712768555
2010-04-28,53.15995788574219
2010-04-29,54.83037185668945
2010-04-30,53.2523307800293
2010-05-03,54.51472854614258
2010-05-04,52.32862091064453
2010-05-05,51.75899124145508
2010-05-06,49.64983367919922
2010-05-07,47.917842864990234
2010-05-10,52.105384826660156
2010-05-11,51.61273193359375
2010-05-12,53.15995788574219
2010-05-13,52.482566833496094
2010-05-14,51.158573150634766
2010-05-17,51.0123176574707
2010-05-18,50.19313049316406
2010-05-19,49.173065185546875
2010-05-20,46.13596725463867
2010-05-21,46.80829620361328
2010-05-24,46.02778244018555
2010-05-25,46.251888275146484
2010-05-26,46.57647705078125
2010-05-27,48.47752380371094
2010-05-28,47.496097564697266
2010-06-01,45.98139572143555
2010-06-02,47.666099548339844
2010-06-03,47.8979377746582
2010-06-04,45.22407150268555
2010-06-07,44.111244201660156
2010-06-08,44.9149284362793
2010-06-09,45.146785736083984
2010-06-10,47.02467727661133
2010-06-11,47.18695831298828
2010-06-14,47.055606842041016
2010-06-15,49.04941177368164
2010-06-16,47.71247482299805
2010-06-17,47.527008056640625
2010-06-18,47.032405853271484
2010-06-21,47.16379165649414
2010-06-22,45.23178482055664
2010-06-23,45.316810607910156
2010-06-24,43.77120590209961
2010-06-25,44.984500885009766
2010-06-28,44.814483642578125
2010-06-29,43.4002571105957
2010-06-30,42.85930633544922
2010-07-01,42.68157196044922
2010-07-02,42.51927947998047
2010-07-06,42.349266052246094
2010-07-07,43.9489631652832
2010-07-08,44.2580680847168
2010-07-09,44.29670333862305
2010-07-12,43.61663818359375
2010-07-13,45.030860900878906
2010-07-14,44.35853576660156
2010-07-15,44.884033203125
2010-07-16,43.47755813598633
2010-07-19,43.95667266845703
2010-07-20,44.799034118652344
2010-07-21,45.04631423950195
2010-07-22,46.83146667480469
2010-07-23,48.06022262573242
2010-07-26,48.19160461425781
2010-07-27,47.21015167236328
2010-07-28,47.76655960083008
2010-07-29,47.57337188720703
2010-07-30,48.00613784790039
2010-08-02,49.34306335449219
2010-08-03,49.59809494018555
2010-08-04,49.79902648925781
2010-08-05,50.53318405151367
2010-08-06,50.602745056152344
2010-08-09,50.471351623535156
2010-08-10,50.2627067565918
2010-08-11,48.18386459350586
2010-08-12,48.55482864379883
2010-08-13,49.08804702758789
2010-08-16,48.99531936645508
2010-08-17,50.625911712646484
2010-08-18,50.90412139892578
2010-08-19,49.50736999511719
2010-08-20,49.06505584716797
2010-08-23,48.0950813293457
2010-08-24,46.79143142700195
2010-08-25,46.29481506347656
2010-08-26,46.44225311279297
2010-08-27,47.09407043457031
2010-08-30,46.062015533447266
2010-08-31,45.90682601928711
2010-09-01,48.26579666137695
2010-09-02,49.42975997924805
2010-09-03,50.41526794433594
2010-09-07,49.778961181640625
2010-09-08,50.46957778930664
2010-09-09,50.40748596191406
2010-09-10,50.477333068847656
2010-09-13,52.57247543334961
2010-09-14,51.974971771240234
2010-09-15,52.15343475341797
2010-09-16,52.16120910644531
2010-09-17,53.1777229309082
2010-09-20,54.194271087646484
2010-09-21,53.89937210083008
2010-09-22,53.83731460571289
2010-09-23,52.580230712890625
2010-09-24,54.225311279296875
2010-09-27,53.86835479736328
2010-09-28,54.40378189086914
