Date,DUK
2010-01-04,25.810035705566406
2010-01-05,25.384172439575195
2010-01-06,25.475439071655273
2010-01-07,25.597110748291016
2010-01-08,25.612323760986328
2010-01-11,25.870878219604492
2010-01-12,25.901290893554688
2010-01-13,25.962129592895508
2010-01-14,25.962129592895508
2010-01-15,25.703582763671875
2010-01-19,25.992544174194336
2010-01-20,25.74920082092285
2010-01-21,25.36897087097168
2010-01-22,25.17125129699707
2010-01-25,25.338550567626953
2010-01-26,25.566699981689453
2010-01-27,25.460224151611328
2010-01-28,25.277713775634766
2010-01-29,25.14082908630371
2010-02-01,25.32334327697754
2010-02-02,25.490644454956055
2010-02-03,25.308135986328125
2010-02-04,24.89748764038086
2010-02-05,24.821435928344727
2010-02-08,24.821435928344727
2010-02-09,25.186466217041016
2010-02-10,25.032133102416992
2010-02-11,25.01670265197754
2010-02-12,24.92410659790039
2010-02-16,25.07843589782715
2010-02-17,24.970399856567383
2010-02-18,25.201894760131836
2010-02-19,25.634017944335938
2010-02-22,25.356220245361328
2010-02-23,25.232763290405273
2010-02-24,25.38707733154297
2010-02-25,25.27906036376953
2010-02-26,25.232763290405273
2010-03-01,25.44881820678711
2010-03-02,25.37164878845215
2010-03-03,25.309926986694336
2010-03-04,25.201894760131836
2010-03-05,25.40252113342285
2010-03-08,25.51054573059082
2010-03-09,25.41796112060547
2010-03-10,25.41796112060547
2010-03-11,25.43339729309082
2010-03-12,25.201894760131836
2010-03-15,25.40252113342285
2010-03-16,25.634017944335938
2010-03-17,25.649444580078125
2010-03-18,25.587717056274414
2010-03-19,25.587717056274414
2010-03-22,25.37164878845215
2010-03-23,25.40252113342285
2010-03-24,25.18645668029785
2010-03-25,25.155603408813477
2010-03-26,25.34078598022461
2010-03-29,25.603153228759766
2010-03-30,25.309926986694336
2010-03-31,25.18645668029785
2010-04-01,25.325355529785156
2010-04-05,25.34078598022461
2010-04-06,25.54141616821289
2010-04-07,25.263628005981445
2010-04-08,25.06300163269043
2010-04-09,25.201894760131836
2010-04-12,25.093860626220703
2010-04-13,25.032133102416992
2010-04-14,25.01670265197754
2010-04-15,24.893234252929688
2010-04-16,24.708038330078125
2010-04-19,24.800642013549805
2010-04-20,25.232763290405273
2010-04-21,25.155603408813477
2010-04-22,25.01670265197754
2010-04-23,25.07843589782715
2010-04-26,25.06300163269043
2010-04-27,24.708038330078125
2010-04-28,25.680316925048828
2010-04-29,25.51054573059082
2010-04-30,25.896364212036133
2010-05-03,26.127864837646484
2010-05-04,25.788349151611328
2010-05-05,25.865507125854492
2010-05-06,25.43339729309082
2010-05-07,25.54141616821289
2010-05-10,26.081575393676758
2010-05-11,26.1124324798584
2010-05-12,26.205045700073242
2010-05-13,26.01982307434082
2010-05-14,25.896364212036133
2010-05-17,26.127864837646484
2010-05-18,26.143291473388672
2010-05-19,25.814546585083008
2010-05-20,25.000513076782227
2010-05-21,25.047468185424805
2010-05-24,25.000513076782227
2010-05-25,24.765689849853516
2010-05-26,24.593486785888672
2010-05-27,25.016164779663086
2010-05-28,24.98486328125
2010-06-01,24.577829360961914
2010-06-02,24.98486328125
2010-06-03,25.125749588012695
2010-06-04,24.436946868896484
2010-06-07,24.530874252319336
2010-06-08,25.204021453857422
2010-06-09,24.937883377075195
2010-06-10,25.423192977905273
2010-06-11,25.313600540161133
2010-06-14,25.376218795776367
2010-06-15,25.689315795898438
2010-06-16,25.86151695251465
2010-06-17,26.158958435058594
2010-06-18,26.049373626708984
2010-06-21,25.971099853515625
2010-06-22,25.548425674438477
2010-06-23,25.39187240600586
2010-06-24,25.282299041748047
2010-06-25,25.313600540161133
2010-06-28,25.579740524291992
2010-06-29,25.282299041748047
2010-06-30,25.047468185424805
2010-07-01,25.000513076782227
2010-07-02,25.141399383544922
2010-07-06,25.39187240600586
2010-07-07,26.221572875976562
2010-07-08,26.17460823059082
2010-07-09,26.284189224243164
2010-07-12,26.44074821472168
2010-07-13,26.36246109008789
2010-07-14,26.550317764282227
2010-07-15,26.73818016052246
2010-07-16,26.40943145751953
2010-07-19,26.879066467285156
2010-07-20,26.832109451293945
2010-07-21,26.45638656616211
2010-07-22,26.769489288330078
2010-07-23,26.519010543823242
2010-07-26,26.769489288330078
2010-07-27,27.176498413085938
2010-07-28,27.09822654724121
2010-07-29,26.879066467285156
2010-07-30,26.769489288330078
2010-08-02,27.192176818847656
2010-08-03,27.192176818847656
2010-08-04,27.192176818847656
2010-08-05,27.254785537719727
2010-08-06,27.270429611206055
2010-08-09,27.489606857299805
2010-08-10,27.693117141723633
2010-08-11,27.161325454711914
2010-08-12,27.145442962646484
2010-08-13,27.002565383911133
2010-08-16,27.034326553344727
2010-08-17,27.36768341064453
2010-08-18,27.399436950683594
2010-08-19,27.05019187927246
2010-08-20,27.081945419311523
2010-08-23,27.081945419311523
2010-08-24,27.32006072998047
2010-08-25,27.240697860717773
2010-08-26,27.113698959350586
2010-08-27,27.558168411254883
2010-08-30,27.224809646606445
2010-08-31,27.272438049316406
2010-09-01,27.68517303466797
2010-09-02,27.43117904663086
2010-09-03,27.54230499267578
2010-09-07,27.52643394470215
2010-09-08,27.60579490661621
2010-09-09,27.843921661376953
2010-09-10,27.828044891357422
2010-09-13,28.034414291381836
2010-09-14,28.034414291381836
2010-09-15,27.90742301940918
2010-09-16,27.891538619995117
2010-09-17,27.796293258666992
2010-09-20,28.224912643432617
2010-09-21,28.240779876708984
2010-09-22,28.542400360107422
2010-09-23,28.193147659301758
2010-09-24,28.55828285217285
2010-09-27,28.415409088134766
2010-09-28,28.478893280029297
