Date,ADP
2010-01-04,26.033323287963867
2010-01-05,25.893516540527344
2010-01-06,25.83272361755371
2010-01-07,25.820579528808594
2010-01-08,25.784109115600586
2010-01-11,25.89958381652832
2010-01-12,25.717241287231445
2010-01-13,25.905677795410156
2010-01-14,25.83272361755371
2010-01-15,25.69293975830078
2010-01-19,26.081937789916992
2010-01-20,25.735475540161133
2010-01-21,25.61998748779297
2010-01-22,25.024322509765625
2010-01-25,25.085098266601562
2010-01-26,24.957460403442383
2010-01-27,24.93313980102539
2010-01-28,24.726476669311523
2010-01-29,24.79334259033203
2010-02-01,24.96353530883789
2010-02-02,25.030391693115234
2010-02-03,24.79941749572754
2010-02-04,24.544137954711914
2010-02-05,24.48334503173828
2010-02-08,24.556293487548828
2010-02-09,24.73863983154297
2010-02-10,24.726476669311523
2010-02-11,24.860206604003906
2010-02-12,24.671789169311523
2010-02-16,25.103334426879883
2010-02-17,25.20059585571289
2010-02-18,25.036468505859375
2010-02-19,25.26137351989746
2010-02-22,25.285686492919922
2010-02-23,25.04254913330078
2010-02-24,25.67469596862793
2010-02-25,25.35254669189453
2010-02-26,25.291765213012695
2010-03-01,25.510578155517578
2010-03-02,25.437644958496094
2010-03-03,25.47411346435547
2010-03-04,25.35254669189453
2010-03-05,26.246047973632812
2010-03-08,26.227819442749023
2010-03-09,26.543888092041016
2010-03-10,26.88081932067871
2010-03-11,26.91146469116211
2010-03-12,26.837942123413086
2010-03-15,27.10135269165039
2010-03-16,27.107481002807617
2010-03-17,27.377025604248047
2010-03-18,27.395404815673828
2010-03-19,27.321895599365234
2010-03-22,27.462787628173828
2010-03-23,27.511798858642578
2010-03-24,27.162616729736328
2010-03-25,26.942081451416016
2010-03-26,27.10135269165039
2010-03-29,27.28512954711914
2010-03-30,27.315752029418945
2010-03-31,27.24225616455078
2010-04-01,27.064592361450195
2010-04-05,27.193239212036133
2010-04-06,27.131994247436523
2010-04-07,26.91146469116211
2010-04-08,26.88081932067871
2010-04-09,27.113609313964844
2010-04-12,27.08297348022461
2010-04-13,26.923715591430664
2010-04-14,27.064592361450195
2010-04-15,27.37089729309082
2010-04-16,27.131994247436523
2010-04-19,27.395404815673828
2010-04-20,27.58530044555664
2010-04-21,27.603681564331055
2010-04-22,27.60980987548828
2010-04-23,27.860977172851562
2010-04-26,27.769084930419922
2010-04-27,27.211626052856445
2010-04-28,27.04010009765625
2010-04-29,27.193239212036133
2010-04-30,26.568397521972656
2010-05-03,26.752174377441406
2010-05-04,26.25596809387207
2010-05-05,26.133451461791992
2010-05-06,25.367698669433594
2010-05-07,25.4595947265625
2010-05-10,26.023191452026367
2010-05-11,26.035432815551758
2010-05-12,26.353986740112305
2010-05-13,26.00480842590332
2010-05-14,25.606618881225586
2010-05-17,25.80264663696289
2010-05-18,25.563730239868164
2010-05-19,25.477968215942383
2010-05-20,24.699968338012695
2010-05-21,24.88374900817871
2010-05-24,24.67546272277832
2010-05-25,24.589696884155273
2010-05-26,24.448801040649414
2010-05-27,25.214557647705078
2010-05-28,25.043027877807617
2010-06-01,24.804113388061523
2010-06-02,25.40445899963379
2010-06-03,25.70462417602539
2010-06-04,24.785728454589844
2010-06-07,24.510053634643555
2010-06-08,25.165546417236328
2010-06-09,25.239675521850586
2010-06-10,25.956212997436523
2010-06-11,25.83885383605957
2010-06-14,25.87590789794922
2010-06-15,26.333017349243164
2010-06-16,26.197114944458008
2010-06-17,26.197114944458008
2010-06-18,26.11681365966797
2010-06-21,25.758541107177734
2010-06-22,25.41262435913086
2010-06-23,25.363208770751953
2010-06-24,25.066707611083984
2010-06-25,25.239675521850586
2010-06-28,25.276731491088867
2010-06-29,24.949344635009766
2010-06-30,24.869037628173828
2010-07-01,24.529293060302734
2010-07-02,24.35634422302246
2010-07-06,24.343990325927734
2010-07-07,24.83815574645996
2010-07-08,24.936994552612305
2010-07-09,25.153188705444336
2010-07-12,25.313800811767578
2010-07-13,25.628822326660156
2010-07-14,25.758541107177734
2010-07-15,25.77089500427246
2010-07-16,25.097597122192383
2010-07-19,25.3385066986084
2010-07-20,25.59177017211914
2010-07-21,24.862873077392578
2010-07-22,25.61029815673828
2010-07-23,25.87590789794922
2010-07-26,25.97474479675293
2010-07-27,25.96857261657715
2010-07-28,26.005630493164062
2010-07-29,25.523813247680664
2010-07-30,25.49292755126953
2010-08-02,25.91297721862793
2010-08-03,25.95003318786621
2010-08-04,26.03034019470215
2010-08-05,25.900615692138672
2010-08-06,25.678245544433594
2010-08-09,25.801786422729492
2010-08-10,25.54852294921875
2010-08-11,24.95552635192871
2010-08-12,24.708431243896484
2010-08-13,24.578723907470703
2010-08-16,24.751678466796875
2010-08-17,24.924631118774414
2010-08-18,24.84433937072754
2010-08-19,24.368698120117188
2010-08-20,24.33780860900879
2010-08-23,24.12160873413086
2010-08-24,23.973356246948242
2010-08-25,24.047487258911133
2010-08-26,23.936296463012695
2010-08-27,24.313106536865234
2010-08-30,23.985713958740234
2010-08-31,23.849821090698242
2010-09-01,24.31927490234375
2010-09-02,24.516942977905273
2010-09-03,24.757856369018555
2010-09-07,24.510772705078125
2010-09-08,24.71014404296875
2010-09-09,24.872142791748047
2010-09-10,24.984285354614258
2010-09-13,25.177440643310547
2010-09-14,25.26466178894043
2010-09-15,25.669641494750977
2010-09-16,25.626028060913086
2010-09-17,25.750635147094727
2010-09-20,26.186769485473633
2010-09-21,26.018550872802734
2010-09-22,26.11201286315918
2010-09-23,25.93132209777832
2010-09-24,26.56683921813965
2010-09-27,26.23038673400879
2010-09-28,26.467151641845703
