Date,DLR
2010-01-04,27.017175674438477
2010-01-05,27.1949520111084
2010-01-06,26.82862091064453
2010-01-07,27.0656681060791
2010-01-08,27.367353439331055
2010-01-11,27.23267364501953
2010-01-12,26.914817810058594
2010-01-13,27.04411506652832
2010-01-14,27.205718994140625
2010-01-15,26.936355590820312
2010-01-19,27.50203514099121
2010-01-20,27.178791046142578
2010-01-21,27.189579010009766
2010-01-22,26.451515197753906
2010-01-25,26.28450584411621
2010-01-26,26.128284454345703
2010-01-27,26.198307037353516
2010-01-28,25.848134994506836
2010-01-29,25.858919143676758
2010-02-01,26.02052879333496
2010-02-02,26.704708099365234
2010-02-03,26.55926513671875
2010-02-04,25.799650192260742
2010-02-05,26.316829681396484
2010-02-08,25.330963134765625
2010-02-09,25.19089698791504
2010-02-10,25.153175354003906
2010-02-11,25.42793083190918
2010-02-12,25.675743103027344
2010-02-16,26.09056282043457
2010-02-17,26.316829681396484
2010-02-18,26.850177764892578
2010-02-19,26.97408676147461
2010-02-22,27.356569290161133
2010-02-23,27.281152725219727
2010-02-24,27.539743423461914
2010-02-25,27.604387283325195
2010-02-26,27.787553787231445
2010-03-01,28.240081787109375
2010-03-02,28.4555721282959
2010-03-03,28.374778747558594
2010-03-04,28.547170639038086
2010-03-05,29.242116928100586
2010-03-08,29.619230270385742
2010-03-09,29.64617156982422
2010-03-10,29.30677032470703
2010-03-11,30.073137283325195
2010-03-12,30.18184471130371
2010-03-15,30.1546573638916
2010-03-16,30.404680252075195
2010-03-17,30.415552139282227
2010-03-18,30.399248123168945
2010-03-19,30.43729019165039
2010-03-22,30.687326431274414
2010-03-23,30.094873428344727
2010-03-24,30.18184471130371
2010-03-25,30.132915496826172
2010-03-26,29.62744140625
2010-03-29,29.866592407226562
2010-03-30,29.594839096069336
2010-03-31,29.458948135375977
2010-04-01,29.573083877563477
2010-04-05,30.27423667907715
2010-04-06,30.58405113220215
2010-04-07,29.991613388061523
2010-04-08,30.111177444458008
2010-04-09,30.747106552124023
2010-04-12,30.61122703552246
2010-04-13,31.524351119995117
2010-04-14,30.89385414123535
2010-04-15,30.24705696105957
2010-04-16,29.8557186126709
2010-04-19,29.74159812927246
2010-04-20,30.57860565185547
2010-04-21,30.89385414123535
2010-04-22,31.758060455322266
