Date,HON
2010-01-04,27.442670822143555
2010-01-05,27.49707794189453
2010-01-06,27.49707794189453
2010-01-07,28.027570724487305
2010-01-08,28.64647674560547
2010-01-11,29.006927490234375
2010-01-12,28.68046760559082
2010-01-13,28.78249168395996
2010-01-14,28.9525203704834
2010-01-15,28.993328094482422
2010-01-19,29.142953872680664
2010-01-20,28.809701919555664
2010-01-21,27.701107025146484
2010-01-22,27.122995376586914
2010-01-25,27.354244232177734
2010-01-26,27.18421745300293
2010-01-27,27.38144302368164
2010-01-28,27.082197189331055
2010-01-29,26.2796688079834
2010-02-01,26.77614974975586
2010-02-02,26.878154754638672
2010-02-03,26.66732406616211
2010-02-04,25.660762786865234
2010-02-05,25.483930587768555
2010-02-08,25.075864791870117
2010-02-09,25.72195816040039
2010-02-10,25.65395736694336
2010-02-11,26.000808715820312
2010-02-12,25.74917221069336
2010-02-16,26.470090866088867
2010-02-17,26.7943172454834
2010-02-18,27.315263748168945
2010-02-19,27.568870544433594
2010-02-22,27.520883560180664
2010-02-23,27.370088577270508
2010-02-24,27.815641403198242
2010-02-25,27.548309326171875
2010-02-26,27.527751922607422
2010-03-01,27.808778762817383
2010-03-02,27.88418197631836
2010-03-03,28.048688888549805
2010-03-04,28.226909637451172
2010-03-05,28.7272891998291
2010-03-08,28.43941307067871
2010-03-09,28.974056243896484
2010-03-10,29.022037506103516
2010-03-11,29.213956832885742
2010-03-12,29.42644691467285
2010-03-15,29.45387077331543
2010-03-16,29.494997024536133
2010-03-17,29.412731170654297
2010-03-18,29.769180297851562
2010-03-19,30.03650665283203
2010-03-22,29.85828971862793
2010-03-23,30.29012680053711
2010-03-24,30.48891258239746
2010-03-25,30.39293670654297
2010-03-26,30.571163177490234
2010-03-29,30.756237030029297
2010-03-30,30.811058044433594
2010-03-31,31.030405044555664
2010-04-01,30.865896224975586
2010-04-05,31.15379524230957
2010-04-06,31.16065216064453
2010-04-07,31.01671600341797
2010-04-08,31.181198120117188
2010-04-09,31.37313461303711
2010-04-12,31.52393341064453
2010-04-13,31.29773712158203
2010-04-14,31.756988525390625
2010-04-15,31.852954864501953
2010-04-16,31.407405853271484
2010-04-19,31.35943031311035
2010-04-20,31.791263580322266
2010-04-21,32.003746032714844
2010-04-22,32.51784133911133
2010-04-23,32.70976257324219
2010-04-26,33.086761474609375
2010-04-27,32.17512130737305
2010-04-28,32.25052261352539
2010-04-29,33.258121490478516
2010-04-30,32.53840255737305
2010-05-03,33.251277923583984
2010-05-04,32.12028503417969
2010-05-05,31.448530197143555
2010-05-06,30.36551856994629
2010-05-07,29.83086395263672
2010-05-10,31.578777313232422
2010-05-11,31.427978515625
2010-05-12,32.12712860107422
2010-05-13,31.661020278930664
2010-05-14,31.174348831176758
2010-05-17,31.146934509277344
2010-05-18,30.859182357788086
2010-05-19,30.265735626220703
2010-05-20,28.837326049804688
2010-05-21,29.03053855895996
2010-05-24,28.871826171875
2010-05-25,28.837326049804688
2010-05-26,29.058143615722656
2010-05-27,29.962108612060547
2010-05-28,29.513574600219727
2010-06-01,28.913219451904297
2010-06-02,29.62399673461914
2010-06-03,29.851703643798828
2010-06-04,28.340486526489258
2010-06-07,27.602144241333008
2010-06-08,27.898860931396484
2010-06-09,27.609024047851562
2010-06-10,28.471603393554688
2010-06-11,28.512998580932617
2010-06-14,28.657913208007812
2010-06-15,29.699886322021484
2010-06-16,29.499778747558594
2010-06-17,29.43077850341797
2010-06-18,29.617088317871094
2010-06-21,29.62399673461914
2010-06-22,29.1202449798584
2010-06-23,28.871826171875
2010-06-24,28.292179107666016
2010-06-25,28.706207275390625
2010-06-28,28.430187225341797
2010-06-29,27.13979721069336
2010-06-30,26.93277931213379
2010-07-01,26.60155487060547
2010-07-02,26.587757110595703
2010-07-06,26.71196937561035
2010-07-07,27.733240127563477
2010-07-08,28.105876922607422
2010-07-09,28.478496551513672
2010-07-12,28.16798210144043
2010-07-13,28.87872886657715
2010-07-14,28.768321990966797
2010-07-15,28.837326049804688
2010-07-16,27.733240127563477
2010-07-19,27.84366226196289
2010-07-20,28.430187225341797
2010-07-21,28.381887435913086
2010-07-22,29.43766975402832
2010-07-23,30.017318725585938
2010-07-26,30.28643226623535
2010-07-27,29.96902084350586
2010-07-28,29.837907791137695
2010-07-29,29.479074478149414
2010-07-30,29.57567596435547
2010-08-02,30.17604637145996
2010-08-03,29.768896102905273
2010-08-04,30.348552703857422
2010-08-05,30.445154190063477
2010-08-06,30.20362663269043
2010-08-09,30.28643226623535
2010-08-10,29.962108612060547
2010-08-11,28.851133346557617
2010-08-12,28.492298126220703
2010-08-13,28.512998580932617
2010-08-16,28.416399002075195
2010-08-17,29.251367568969727
2010-08-18,29.302091598510742
2010-08-19,28.336021423339844
2010-08-20,28.24566650390625
2010-08-23,27.912046432495117
2010-08-24,27.34214210510254
2010-08-25,26.980730056762695
2010-08-26,26.897329330444336
2010-08-27,27.557592391967773
2010-08-30,27.008527755737305
2010-08-31,27.147525787353516
2010-09-01,28.412460327148438
2010-09-02,29.197847366333008
2010-09-03,29.76079750061035
2010-09-07,29.142253875732422
2010-09-08,29.322938919067383
2010-09-09,29.1700439453125
2010-09-10,29.75385093688965
2010-09-13,30.094417572021484
2010-09-14,30.261240005493164
2010-09-15,30.282072067260742
2010-09-16,30.393293380737305
2010-09-17,30.455829620361328
2010-09-20,30.79640007019043
2010-09-21,30.79640007019043
2010-09-22,30.358539581298828
2010-09-23,30.045774459838867
2010-09-24,30.900653839111328
2010-09-27,30.46973419189453
2010-09-28,30.712997436523438
