Date,IRM
2010-01-04,8.562055587768555
2010-01-05,8.588237762451172
2010-01-06,8.86504077911377
2010-01-07,9.007177352905273
2010-01-08,9.033360481262207
2010-01-11,9.100688934326172
2010-01-12,8.992216110229492
2010-01-13,9.224126815795898
2010-01-14,9.28771686553955
2010-01-15,9.119396209716797
2010-01-19,9.250309944152832
2010-01-20,9.089469909667969
2010-01-21,9.003433227539062
2010-01-22,8.879997253417969
2010-01-25,8.816408157348633
2010-01-26,8.678009986877441
2010-01-27,8.681753158569336
2010-01-28,8.565797805786133
2010-01-29,8.550837516784668
2010-02-01,8.595719337463379
2010-02-02,8.689234733581543
2010-02-03,8.64434814453125
2010-02-04,8.449838638305664
2010-02-05,8.266555786132812
2010-02-08,8.154340744018555
2010-02-09,8.206703186035156
2010-02-10,8.087008476257324
2010-02-11,8.128154754638672
2010-02-12,8.120674133300781
2010-02-16,8.378766059875488
2010-02-17,8.808927536010742
2010-02-18,8.917407035827637
2010-02-19,9.033360481262207
2010-02-22,8.928627967834473
2010-02-23,8.928627967834473
2010-02-24,9.089469909667969
2010-02-25,9.732841491699219
2010-02-26,9.680471420288086
2010-03-01,9.721617698669434
2010-03-02,9.661767959594727
2010-03-03,9.583218574523926
2010-03-04,9.5906982421875
2010-03-05,9.661767959594727
2010-03-08,9.665511131286621
2010-03-09,9.594442367553711
2010-03-10,9.5906982421875
2010-03-11,9.639321327209473
2010-03-12,9.691694259643555
2010-03-15,9.744061470031738
2010-03-16,9.762762069702148
2010-03-17,9.871240615844727
2010-03-18,9.860016822814941
2010-03-19,9.725356101989746
2010-03-22,9.84505558013916
2010-03-23,10.22862720489502
2010-03-24,10.131144523620605
2010-03-25,10.161134719848633
2010-03-26,10.13489055633545
2010-03-29,10.401103973388672
2010-03-30,10.281122207641602
2010-03-31,10.273624420166016
2010-04-01,10.292366981506348
2010-04-05,10.236127853393555
2010-04-06,10.127391815185547
2010-04-07,10.018656730651855
2010-04-08,9.943665504455566
2010-04-09,9.939916610717773
2010-04-12,9.936166763305664
2010-04-13,9.936166763305664
2010-04-14,10.078649520874023
2010-04-15,10.281122207641602
2010-04-16,10.206133842468262
2010-04-19,10.262377738952637
2010-04-20,10.401103973388672
2010-04-21,10.45360279083252
2010-04-22,10.614829063415527
2010-04-23,10.644824028015137
2010-04-26,10.59607982635498
2010-04-27,10.247377395629883
2010-04-28,10.498590469360352
2010-04-29,9.673702239990234
2010-04-30,9.429985046386719
2010-05-03,9.47497844696045
2010-05-04,9.399989128112793
2010-05-05,9.369997024536133
2010-05-06,8.957548141479492
2010-05-07,8.957548141479492
2010-05-10,9.414984703063965
2010-05-11,9.384990692138672
2010-05-12,9.561217308044434
2010-05-13,9.369997024536133
2010-05-14,9.178770065307617
2010-05-17,9.508724212646484
2010-05-18,9.624960899353027
2010-05-19,9.433736801147461
2010-05-20,8.980046272277832
2010-05-21,9.223759651184082
2010-05-24,9.08503246307373
2010-05-25,9.081281661987305
2010-05-26,9.092531204223633
2010-05-27,9.324995994567871
2010-05-28,9.193767547607422
2010-06-01,8.950051307678223
2010-06-02,9.122525215148926
2010-06-03,9.18626880645752
2010-06-04,8.770073890686035
2010-06-07,8.61259651184082
2010-06-08,8.698832511901855
2010-06-09,8.725078582763672
2010-06-10,8.931302070617676
2010-06-11,9.017541885375977
2010-06-14,9.133771896362305
2010-06-15,9.373736381530762
2010-06-16,9.354998588562012
2010-06-17,9.175016403198242
2010-06-18,9.126274108886719
2010-06-21,9.006294250488281
2010-06-22,8.897555351257324
2010-06-23,8.819733619689941
2010-06-24,8.8347749710083
2010-06-25,8.808456420898438
2010-06-28,8.748306274414062
2010-06-29,8.530256271362305
2010-06-30,8.443788528442383
2010-07-01,8.361076354980469
2010-07-02,8.274611473083496
2010-07-06,8.331003189086914
2010-07-07,8.669356346130371
2010-07-08,8.770864486694336
2010-07-09,8.842291831970215
2010-07-12,8.800939559936523
2010-07-13,9.030267715454102
2010-07-14,9.105456352233887
2010-07-15,9.101696968078613
2010-07-16,8.82725715637207
2010-07-19,8.8347749710083
2010-07-20,9.045309066772461
2010-07-21,9.064102172851562
2010-07-22,9.270873069763184
2010-07-23,9.436287879943848
2010-07-26,9.616745948791504
2010-07-27,9.586671829223633
2010-07-28,9.567870140075684
2010-07-29,9.045309066772461
2010-07-30,8.89868450164795
2010-08-02,9.161850929260254
2010-08-03,8.906204223632812
2010-08-04,8.876130104064941
2010-08-05,8.842291831970215
2010-08-06,8.733271598815918
2010-08-09,8.778380393981934
2010-08-10,8.688156127929688
2010-08-11,8.376119613647461
2010-08-12,8.33852481842041
2010-08-13,8.259573936462402
2010-08-16,8.270851135253906
2010-08-17,8.274611473083496
2010-08-18,8.237016677856445
2010-08-19,8.052802085876465
2010-08-20,8.112953186035156
2010-08-23,8.011451721191406
2010-08-24,7.891143321990967
2010-08-25,7.876104354858398
2010-08-26,7.680614948272705
2010-08-27,7.8046770095825195
2010-08-30,7.639261245727539
2010-08-31,7.6242218017578125
2010-09-01,7.714449405670166
2010-09-02,7.906182289123535
2010-09-03,7.894906044006348
2010-09-07,7.710691452026367
2010-09-08,7.684375286102295
2010-09-09,7.842272758483887
2010-09-10,7.947539806365967
2010-09-13,7.921217441558838
2010-09-14,7.823472023010254
2010-09-15,7.658057689666748
2010-09-16,7.612943172454834
2010-09-17,7.673095226287842
2010-09-20,7.782120704650879
2010-09-21,7.8535475730896
2010-09-22,7.842272758483887
2010-09-23,7.902426242828369
2010-09-24,8.239153861999512
2010-09-27,8.242925643920898
2010-09-28,8.416380882263184
