Date,EG
2010-01-04,61.189395904541016
2010-01-05,60.30144119262695
2010-01-06,60.279972076416016
2010-01-07,60.401702880859375
2010-01-08,60.29430389404297
2010-01-11,60.6953125
2010-01-12,60.76693344116211
2010-01-13,61.46868133544922
2010-01-14,61.60471725463867
2010-01-15,60.73112106323242
2010-01-19,61.7909049987793
2010-01-20,62.01291275024414
2010-01-21,61.40423583984375
2010-01-22,60.49482727050781
2010-01-25,60.55925750732422
2010-01-26,60.516273498535156
2010-01-27,61.50449752807617
2010-01-28,60.80272674560547
2010-01-29,61.39707565307617
2010-02-01,61.27534484863281
2010-02-02,61.597564697265625
2010-02-03,61.0533447265625
2010-02-04,59.821693420410156
2010-02-05,59.63551712036133
2010-02-08,59.29179382324219
2010-02-09,59.96489715576172
2010-02-10,60.41604232788086
2010-02-11,57.2939338684082
2010-02-12,57.981346130371094
2010-02-16,58.97671890258789
2010-02-17,59.07696533203125
2010-02-18,59.7643928527832
2010-02-19,60.05082702636719
2010-02-22,60.45899200439453
2010-02-23,60.29430389404297
2010-02-24,61.02470016479492
2010-02-25,61.447208404541016
2010-02-26,61.16792297363281
2010-03-01,61.21088409423828
2010-03-02,60.47332000732422
2010-03-03,59.44218444824219
2010-03-04,59.22017288208008
2010-03-05,58.54706573486328
2010-03-08,59.97328186035156
2010-03-09,59.45462417602539
2010-03-10,59.52667236328125
2010-03-11,59.87245178222656
2010-03-12,59.44743728637695
2010-03-15,59.152103424072266
2010-03-16,58.8928108215332
2010-03-17,59.339393615722656
2010-03-18,59.2601432800293
2010-03-19,58.222930908203125
2010-03-22,57.69707489013672
2010-03-23,57.286502838134766
2010-03-24,57.300926208496094
2010-03-25,57.60344314575195
2010-03-26,57.459381103515625
2010-03-29,58.2445182800293
2010-03-30,58.258914947509766
2010-03-31,58.29496383666992
2010-04-01,58.2085075378418
2010-04-05,57.99242401123047
2010-04-06,58.0284309387207
2010-04-07,58.96482849121094
2010-04-08,58.712730407714844
2010-04-09,58.900001525878906
2010-04-12,59.03688049316406
2010-04-13,59.09450912475586
2010-04-14,60.074134826660156
2010-04-15,59.548282623291016
2010-04-16,58.48940658569336
2010-04-19,58.900001525878906
2010-04-20,59.0800895690918
2010-04-21,59.29619216918945
2010-04-22,59.202518463134766
2010-04-23,59.69235610961914
2010-04-26,59.533905029296875
2010-04-27,57.733097076416016
2010-04-28,58.2445182800293
2010-04-29,56.321285247802734
2010-04-30,55.21201705932617
2010-05-03,55.4496955871582
2010-05-04,54.4196662902832
2010-05-05,55.384891510009766
2010-05-06,53.42563247680664
2010-05-07,53.55527114868164
2010-05-10,55.5361328125
2010-05-11,55.442501068115234
2010-05-12,55.99714279174805
2010-05-13,56.054786682128906
2010-05-14,55.36330032348633
2010-05-17,55.327266693115234
2010-05-18,54.71501159667969
2010-05-19,54.902259826660156
2010-05-20,53.051063537597656
2010-05-21,53.087066650390625
2010-05-24,52.32355880737305
2010-05-25,52.10026168823242
2010-05-26,51.70406723022461
2010-05-27,53.28879165649414
2010-05-28,52.694271087646484
2010-06-01,51.447235107421875
2010-06-02,52.317256927490234
2010-06-03,52.19401550292969
2010-06-04,50.758453369140625
2010-06-07,50.439483642578125
2010-06-08,51.048465728759766
2010-06-09,50.758453369140625
2010-06-10,51.66472244262695
2010-06-11,51.83872604370117
2010-06-14,52.35349655151367
2010-06-15,53.65126419067383
2010-06-16,53.528038024902344
2010-06-17,54.528564453125
2010-06-18,55.01430892944336
2010-06-21,54.441551208496094
2010-06-22,53.66578674316406
2010-06-23,52.25924301147461
2010-06-24,51.671993255615234
2010-06-25,52.027244567871094
2010-06-28,52.375240325927734
2010-06-29,50.96871566772461
2010-06-30,51.273223876953125
2010-07-01,50.6424560546875
2010-07-02,50.37421417236328
2010-07-06,50.2001838684082
2010-07-07,51.519710540771484
2010-07-08,52.33173751831055
2010-07-09,53.08576965332031
2010-07-12,52.90451431274414
2010-07-13,53.94853210449219
2010-07-14,54.035526275634766
2010-07-15,53.48451614379883
2010-07-16,51.96198654174805
2010-07-19,52.01273727416992
2010-07-20,52.52024841308594
2010-07-21,51.67921829223633
2010-07-22,53.23078155517578
2010-07-23,53.578765869140625
2010-07-26,54.24579620361328
2010-07-27,53.825286865234375
2010-07-28,52.78125
2010-07-29,55.75383758544922
2010-07-30,56.27584457397461
2010-08-02,56.85585403442383
2010-08-03,56.23958969116211
2010-08-04,56.696353912353516
2010-08-05,56.913841247558594
2010-08-06,57.704124450683594
2010-08-09,58.189903259277344
2010-08-10,57.97238540649414
2010-08-11,56.89937210083008
2010-08-12,57.23289108276367
2010-08-13,57.35613250732422
2010-08-16,57.50111389160156
2010-08-17,58.41464614868164
2010-08-18,58.50889205932617
2010-08-19,57.83462905883789
2010-08-20,58.42915344238281
2010-08-23,58.110130310058594
2010-08-24,58.2188720703125
2010-08-25,58.68288803100586
2010-08-26,57.24010467529297
2010-08-27,58.726409912109375
2010-08-30,58.25962829589844
2010-08-31,57.71990966796875
2010-09-01,58.71181106567383
2010-09-02,58.71181106567383
2010-09-03,60.22883605957031
2010-09-07,58.959781646728516
2010-09-08,59.9006233215332
2010-09-09,60.177791595458984
2010-09-10,59.89337158203125
2010-09-13,60.710205078125
2010-09-14,60.81960678100586
2010-09-15,61.27908706665039
2010-09-16,61.76042938232422
2010-09-17,62.03030776977539
2010-09-20,61.85526657104492
2010-09-21,61.541648864746094
2010-09-22,61.344722747802734
2010-09-23,60.907135009765625
2010-09-24,61.74589157104492
2010-09-27,62.11052703857422
2010-09-28,62.8179931640625
