Date,ACN
2010-01-04,31.492168426513672
2010-01-05,31.686792373657227
2010-01-06,32.0236701965332
2010-01-07,31.99371337890625
2010-01-08,31.866453170776367
2010-01-11,31.836511611938477
2010-01-12,31.63439178466797
2010-01-13,31.99371337890625
2010-01-14,32.278167724609375
2010-01-15,32.046112060546875
2010-01-19,32.7497673034668
2010-01-20,32.57011413574219
2010-01-21,32.25570297241211
2010-01-22,31.574522018432617
2010-01-25,31.34994125366211
2010-01-26,31.312519073486328
2010-01-27,31.387372970581055
2010-01-28,30.908294677734375
2010-01-29,30.683725357055664
2010-02-01,30.833436965942383
2010-02-02,31.155317306518555
2010-02-03,31.140352249145508
2010-02-04,30.399267196655273
2010-02-05,30.346879959106445
2010-02-08,30.069902420043945
2010-02-09,30.122299194335938
2010-02-10,29.957611083984375
2010-02-11,30.144760131835938
2010-02-12,30.309444427490234
2010-02-16,30.571430206298828
2010-02-17,30.534013748168945
2010-02-18,30.92325782775879
2010-02-19,30.593902587890625
2010-02-22,30.466629028320312
2010-02-23,30.137271881103516
2010-02-24,30.15224838256836
2010-02-25,29.7554874420166
2010-02-26,29.920198440551758
2010-03-01,30.010021209716797
2010-03-02,30.391780853271484
2010-03-03,30.421730041503906
2010-03-04,30.623838424682617
2010-03-05,30.825956344604492
2010-03-08,31.03554916381836
2010-03-09,31.484695434570312
2010-03-10,31.484695434570312
2010-03-11,31.43977165222168
2010-03-12,31.52960777282715
2010-03-15,31.81406593322754
2010-03-16,31.43977165222168
2010-03-17,31.619430541992188
2010-03-18,31.64937400817871
2010-03-19,31.484695434570312
2010-03-22,31.76166343688965
2010-03-23,31.73920249938965
2010-03-24,31.282583236694336
2010-03-25,31.08046531677246
2010-03-26,31.73920249938965
2010-03-29,31.664339065551758
2010-03-30,31.596981048583984
2010-03-31,31.40235137939453
2010-04-01,31.32000160217285
2010-04-05,31.40983009338379
2010-04-06,31.08046531677246
2010-04-07,31.110408782958984
2010-04-08,31.364917755126953
2010-04-09,32.06107711791992
2010-04-12,32.240753173828125
2010-04-13,32.26320266723633
2010-04-14,32.50105667114258
2010-04-15,32.652076721191406
2010-04-16,32.58413314819336
2010-04-19,32.342491149902344
2010-04-20,32.9767951965332
2010-04-21,33.21090316772461
2010-04-22,33.16557312011719
2010-04-23,33.731937408447266
2010-04-26,33.278865814208984
2010-04-27,32.62189483642578
2010-04-28,32.86351776123047
2010-04-29,33.36947250366211
2010-04-30,32.95415115356445
2010-05-03,33.03721237182617
2010-05-04,32.47085952758789
2010-05-05,31.844100952148438
2010-05-06,31.028553009033203
2010-05-07,30.447093963623047
2010-05-10,30.998348236083984
2010-05-11,31.0738525390625
2010-05-12,31.307945251464844
2010-05-13,30.824657440185547
2010-05-14,29.442768096923828
2010-05-17,30.06951332092285
2010-05-18,29.646652221679688
2010-05-19,29.631549835205078
2010-05-20,28.66497039794922
2010-05-21,28.80089569091797
2010-05-24,28.95191764831543
2010-05-25,28.642318725585938
2010-05-26,28.24964714050293
2010-05-27,28.883974075317383
2010-05-28,28.332706451416016
2010-06-01,27.721050262451172
2010-06-02,27.81167221069336
2010-06-03,28.581907272338867
2010-06-04,27.887189865112305
2010-06-07,27.600234985351562
2010-06-08,27.517166137695312
2010-06-09,27.517166137695312
2010-06-10,28.43842887878418
2010-06-11,28.423328399658203
2010-06-14,28.544157028198242
2010-06-15,29.102956771850586
2010-06-16,29.21622085571289
2010-06-17,29.0651912689209
2010-06-18,29.397449493408203
2010-06-21,29.306835174560547
2010-06-22,28.876422882080078
2010-06-23,28.823551177978516
2010-06-24,28.355365753173828
2010-06-25,30.62078094482422
2010-06-28,29.9940128326416
2010-06-29,29.18601417541504
2010-06-30,29.18601417541504
2010-07-01,28.906618118286133
2010-07-02,28.649869918823242
2010-07-06,29.00478744506836
2010-07-07,29.646652221679688
2010-07-08,29.707054138183594
2010-07-09,29.767473220825195
2010-07-12,30.00156593322754
2010-07-13,30.394229888916016
2010-07-14,30.28095817565918
2010-07-15,30.220548629760742
2010-07-16,29.450313568115234
2010-07-19,29.578691482543945
2010-07-20,29.37480354309082
2010-07-21,29.15581512451172
2010-07-22,30.02421760559082
2010-07-23,30.492399215698242
2010-07-26,30.567909240722656
2010-07-27,30.45463752746582
2010-07-28,30.09973907470703
2010-07-29,29.639089584350586
2010-07-30,29.933591842651367
2010-08-02,30.45463752746582
2010-08-03,30.205448150634766
2010-08-04,30.462196350097656
2010-08-05,30.182804107666016
2010-08-06,30.409339904785156
2010-08-09,30.635883331298828
2010-08-10,30.560373306274414
2010-08-11,30.19790267944336
2010-08-12,29.79768180847168
2010-08-13,29.337055206298828
2010-08-16,29.382352828979492
2010-08-17,29.94870376586914
2010-08-18,29.94870376586914
2010-08-19,29.37480354309082
2010-08-20,29.012327194213867
2010-08-23,28.6951847076416
2010-08-24,28.083515167236328
2010-08-25,28.151473999023438
2010-08-26,28.04576301574707
2010-08-27,28.091073989868164
2010-08-30,27.864524841308594
2010-08-31,27.637989044189453
2010-09-01,28.242107391357422
2010-09-02,28.687633514404297
2010-09-03,29.133155822753906
2010-09-07,28.95948028564453
2010-09-08,28.79334831237793
2010-09-09,28.85374641418457
2010-09-10,29.314380645751953
2010-09-13,29.51828384399414
2010-09-14,29.608888626098633
2010-09-15,29.933591842651367
2010-09-16,30.107288360595703
2010-09-17,30.628339767456055
2010-09-20,31.375917434692383
2010-09-21,31.36836051940918
2010-09-22,31.912063598632812
2010-09-23,32.040435791015625
2010-09-24,31.640207290649414
2010-09-27,31.47408676147461
2010-09-28,31.655311584472656
