Date,LIN
2010-01-04,60.627113342285156
2010-01-05,59.497230529785156
2010-01-06,60.0250129699707
2010-01-07,60.181129455566406
2010-01-08,60.575103759765625
2010-01-11,61.147457122802734
2010-01-12,60.49333572387695
2010-01-13,61.56375503540039
2010-01-14,60.21829605102539
2010-01-15,60.181129455566406
2010-01-19,60.270320892333984
2010-01-20,60.0250129699707
2010-01-21,59.09584426879883
2010-01-22,58.15923309326172
2010-01-25,59.043792724609375
2010-01-26,58.471435546875
2010-01-27,57.06650161743164
2010-01-28,56.60565185546875
2010-01-29,55.9886589050293
2010-02-01,57.096221923828125
2010-02-02,57.41586685180664
2010-02-03,57.155738830566406
2010-02-04,55.4460334777832
2010-02-05,55.014888763427734
2010-02-08,55.111507415771484
2010-02-09,55.89202880859375
2010-02-10,55.914337158203125
2010-02-11,56.66510772705078
2010-02-12,57.185420989990234
2010-02-16,57.921356201171875
2010-02-17,58.010562896728516
2010-02-18,57.7652702331543
2010-02-19,57.401004791259766
2010-02-22,57.16315460205078
2010-02-23,56.613075256347656
2010-02-24,56.494144439697266
2010-02-25,55.75824737548828
2010-02-26,55.8548583984375
2010-03-01,56.53874969482422
2010-03-02,57.215179443359375
2010-03-03,57.275001525878906
2010-03-04,57.76849365234375
2010-03-05,59.062034606933594
2010-03-08,59.24149703979492
2010-03-09,59.24149703979492
2010-03-10,59.07698440551758
2010-03-11,59.45084762573242
2010-03-12,59.51068115234375
2010-03-15,59.62283706665039
2010-03-16,60.25837326049805
2010-03-17,61.34257125854492
2010-03-18,61.40987777709961
2010-03-19,61.02852249145508
2010-03-22,61.36502456665039
2010-03-23,61.81361770629883
2010-03-24,61.52202606201172
2010-03-25,60.834110260009766
2010-03-26,60.99861526489258
2010-03-29,61.192996978759766
2010-03-30,61.88093185424805
2010-03-31,62.06037902832031
2010-04-01,62.673519134521484
2010-04-05,62.770694732666016
2010-04-06,63.00999069213867
2010-04-07,63.1370964050293
2010-04-08,63.174461364746094
2010-04-09,63.51841735839844
2010-04-12,63.54833221435547
2010-04-13,63.51096725463867
2010-04-14,64.21380615234375
2010-04-15,65.5297622680664
2010-04-16,64.9091567993164
2010-04-19,65.14845275878906
2010-04-20,65.90365600585938
2010-04-21,65.46996307373047
2010-04-22,65.58211517333984
2010-04-23,65.96343994140625
2010-04-26,66.00079345703125
2010-04-27,64.61007690429688
2010-04-28,63.06229019165039
2010-04-29,63.03989028930664
2010-04-30,62.63611602783203
2010-05-03,62.8155517578125
2010-05-04,61.439735412597656
2010-05-05,61.23789978027344
2010-05-06,59.323734283447266
2010-05-07,58.979801177978516
2010-05-10,60.78927230834961
2010-05-11,60.10886001586914
2010-05-12,61.12574005126953
2010-05-13,60.19856262207031
2010-05-14,58.24701690673828
2010-05-17,58.381614685058594
2010-05-18,58.16477966308594
2010-05-19,57.23013687133789
2010-05-20,55.53279495239258
2010-05-21,57.648841857910156
2010-05-24,56.803924560546875
2010-05-25,57.043209075927734
2010-05-26,57.461952209472656
2010-05-27,59.00223159790039
2010-05-28,58.022705078125
2010-06-01,57.01331329345703
2010-06-02,58.35171127319336
2010-06-03,57.49437713623047
2010-06-04,55.742103576660156
2010-06-07,55.832340240478516
2010-06-08,57.103302001953125
2010-06-09,57.231143951416016
2010-06-10,58.3968505859375
2010-06-11,58.49459457397461
2010-06-14,58.284027099609375
2010-06-15,59.6377067565918
2010-06-16,60.23182678222656
2010-06-17,60.720664978027344
2010-06-18,61.04404830932617
2010-06-21,61.54041290283203
2010-06-22,60.577781677246094
2010-06-23,60.314579010009766
2010-06-24,59.48729705810547
2010-06-25,59.75054931640625
2010-06-28,59.67530822753906
2010-06-29,58.186283111572266
2010-06-30,57.14845275878906
2010-07-01,57.735023498535156
2010-07-02,57.81774139404297
2010-07-06,58.25394821166992
2010-07-07,60.09647750854492
2010-07-08,60.97636032104492
2010-07-09,61.16439437866211
2010-07-12,61.292213439941406
2010-07-13,62.78879928588867
2010-07-14,62.29248046875
2010-07-15,62.27741241455078
2010-07-16,60.886131286621094
2010-07-19,60.93877029418945
2010-07-20,62.00667190551758
2010-07-21,61.93901062011719
2010-07-22,63.42052459716797
2010-07-23,64.21769714355469
2010-07-26,64.41321563720703
2010-07-27,64.54859161376953
2010-07-28,64.88701629638672
2010-07-29,64.53357696533203
2010-07-30,65.29316711425781
2010-08-02,66.08280944824219
2010-08-03,66.0301513671875
2010-08-04,66.51898193359375
2010-08-05,66.60175323486328
2010-08-06,66.00009155273438
2010-08-09,66.76717376708984
2010-08-10,66.69947814941406
2010-08-11,65.32321166992188
2010-08-12,65.66162872314453
2010-08-13,65.64659881591797
2010-08-16,66.16551208496094
2010-08-17,67.03791809082031
2010-08-18,67.00031280517578
2010-08-19,66.26329803466797
2010-08-20,66.44378662109375
2010-08-23,65.79704284667969
2010-08-24,64.81182098388672
2010-08-25,64.62379455566406
2010-08-26,64.36061096191406
2010-08-27,65.63911437988281
2010-08-30,64.63134002685547
2010-08-31,64.69901275634766
2010-09-01,65.50370025634766
2010-09-02,65.1257553100586
2010-09-03,65.94976043701172
2010-09-07,65.33741760253906
2010-09-08,65.45079803466797
2010-09-09,65.4432373046875
2010-09-10,65.3525161743164
2010-09-13,66.04044342041016
2010-09-14,66.43357849121094
2010-09-15,66.67546844482422
2010-09-16,67.31046295166016
2010-09-17,66.79643249511719
2010-09-20,66.99298858642578
2010-09-21,66.5847396850586
2010-09-22,66.56206512451172
2010-09-23,66.54694366455078
2010-09-24,68.1042251586914
2010-09-27,67.892578125
2010-09-28,68.36123657226562
