Date,PNW
2010-01-04,19.343528747558594
2010-01-05,19.081281661987305
2010-01-06,19.280580520629883
2010-01-07,19.243873596191406
2010-01-08,19.364498138427734
2010-01-11,19.679201126098633
2010-01-12,19.642484664916992
2010-01-13,19.747392654418945
2010-01-14,19.789348602294922
2010-01-15,19.474651336669922
2010-01-19,19.689699172973633
2010-01-20,19.574296951293945
2010-01-21,19.312055587768555
2010-01-22,18.87671661376953
2010-01-25,19.091764450073242
2010-01-26,19.36975860595703
2010-01-27,19.18092918395996
2010-01-28,19.19955825805664
2010-01-29,19.06119728088379
2010-02-01,19.19955825805664
2010-02-02,19.311307907104492
2010-02-03,19.316627502441406
2010-02-04,18.858983993530273
2010-02-05,18.821739196777344
2010-02-08,18.502460479736328
2010-02-09,18.709989547729492
2010-02-10,18.640804290771484
2010-02-11,18.811094284057617
2010-02-12,18.784482955932617
2010-02-16,19.353878021240234
2010-02-17,19.502880096435547
2010-02-18,19.630586624145508
2010-02-19,19.88601303100586
2010-02-22,19.81151580810547
2010-02-23,19.79554557800293
2010-02-24,20.02969741821289
2010-02-25,19.99243927001953
2010-02-26,19.375160217285156
2010-03-01,19.492229461669922
2010-03-02,19.87004852294922
2010-03-03,19.987125396728516
2010-03-04,20.061620712280273
2010-03-05,20.215938568115234
2010-03-08,20.14676284790039
2010-03-09,20.035015106201172
2010-03-10,19.90729522705078
2010-03-11,19.949880599975586
2010-03-12,19.864730834960938
2010-03-15,19.88601303100586
2010-03-16,20.072261810302734
2010-03-17,20.17337417602539
2010-03-18,20.189329147338867
2010-03-19,20.098875045776367
2010-03-22,20.093549728393555
2010-03-23,20.130796432495117
2010-03-24,19.923259735107422
2010-03-25,19.838115692138672
2010-03-26,19.981796264648438
2010-03-29,20.33833122253418
2010-03-30,20.269155502319336
2010-03-31,20.07758331298828
2010-04-01,20.279800415039062
2010-04-05,20.444759368896484
2010-04-06,20.790645599365234
2010-04-07,20.535215377807617
2010-04-08,20.49264907836914
2010-04-09,20.221261978149414
2010-04-12,20.16804313659668
2010-04-13,20.194652557373047
2010-04-14,20.25318717956543
2010-04-15,20.24254608154297
2010-04-16,19.965835571289062
2010-04-19,19.949880599975586
2010-04-20,20.247867584228516
2010-04-21,20.38090705871582
2010-04-22,20.40220069885254
2010-04-23,20.450082778930664
2010-04-26,20.306407928466797
2010-04-27,19.74233627319336
2010-04-28,20.10419273376465
2010-04-29,20.290359497070312
2010-04-30,20.150060653686523
2010-05-03,20.59795570373535
2010-05-04,20.133867263793945
2010-05-05,20.09609603881836
2010-05-06,19.399961471557617
2010-05-07,18.962860107421875
2010-05-10,19.157129287719727
2010-05-11,19.26505470275879
2010-05-12,19.658992767333984
2010-05-13,19.653589248657227
2010-05-14,19.5186824798584
2010-05-17,19.648191452026367
2010-05-18,19.60502052307129
2010-05-19,19.588842391967773
2010-05-20,18.941272735595703
2010-05-21,18.979047775268555
2010-05-24,18.876522064208984
2010-05-25,18.617490768432617
2010-05-26,18.617490768432617
2010-05-27,18.968250274658203
2010-05-28,18.946670532226562
2010-06-01,18.73621368408203
2010-06-02,19.173309326171875
2010-06-03,19.399961471557617
2010-06-04,18.746999740600586
