Date,SHW
2010-01-04,17.329343795776367
2010-01-05,16.919078826904297
2010-01-06,16.69709014892578
2010-01-07,16.846023559570312
2010-01-08,16.989330291748047
2010-01-11,16.756093978881836
2010-01-12,16.69709014892578
2010-01-13,16.9106388092041
2010-01-14,17.008995056152344
2010-01-15,16.63245391845703
2010-01-19,16.683040618896484
2010-01-20,16.520057678222656
2010-01-21,16.4694766998291
2010-01-22,16.29806137084961
2010-01-25,16.556581497192383
2010-01-26,17.655302047729492
2010-01-27,17.947538375854492
2010-01-28,17.866046905517578
2010-01-29,17.801422119140625
2010-02-01,18.158292770385742
2010-02-02,18.422435760498047
2010-02-03,18.0543270111084
2010-02-04,17.941919326782227
2010-02-05,17.955970764160156
2010-02-08,17.75926971435547
2010-02-09,17.919443130493164
2010-02-10,17.69745445251465
2010-02-11,17.908203125
2010-02-12,17.97002410888672
2010-02-16,18.135805130004883
2010-02-17,18.276315689086914
2010-02-18,18.329700469970703
2010-02-19,18.369043350219727
2010-02-22,18.211681365966797
2010-02-23,18.02060317993164
2010-02-24,18.19581413269043
2010-02-25,18.181678771972656
2010-02-26,17.910383224487305
2010-03-01,18.012126922607422
2010-03-02,18.108205795288086
2010-03-03,18.088420867919922
2010-03-04,18.291889190673828
2010-03-05,18.41339874267578
2010-03-08,18.441654205322266
2010-03-09,18.509469985961914
2010-03-10,18.283409118652344
2010-03-11,18.438831329345703
2010-03-12,18.520780563354492
2010-03-15,18.54056739807129
2010-03-16,18.387969970703125
2010-03-17,18.582950592041016
2010-03-18,18.447309494018555
2010-03-19,18.452960968017578
2010-03-22,18.582950592041016
2010-03-23,18.78076171875
2010-03-24,18.60838508605957
2010-03-25,18.763809204101562
2010-03-26,18.888151168823242
2010-03-29,18.936182022094727
2010-03-30,18.924888610839844
2010-03-31,19.125518798828125
2010-04-01,19.286590576171875
2010-04-05,19.495708465576172
2010-04-06,19.744388580322266
2010-04-07,19.73873519897461
2010-04-08,20.018495559692383
2010-04-09,20.123050689697266
2010-04-12,20.433900833129883
2010-04-13,20.439556121826172
2010-04-14,20.56954574584961
2010-04-15,20.76735496520996
2010-04-16,20.61758041381836
2010-04-19,20.676921844482422
2010-04-20,20.905813217163086
2010-04-21,20.99907684326172
2010-04-22,22.417665481567383
2010-04-23,22.47700309753418
2010-04-26,22.590045928955078
2010-04-27,22.440275192260742
2010-04-28,22.414831161499023
2010-04-29,22.36679458618164
2010-04-30,22.061607360839844
2010-05-03,22.609827041625977
2010-05-04,22.168989181518555
2010-05-05,21.773366928100586
2010-05-06,21.569894790649414
2010-05-07,21.462520599365234
2010-05-10,22.451574325561523
2010-05-11,22.460052490234375
2010-05-12,22.725688934326172
2010-05-13,22.104000091552734
2010-05-14,21.968345642089844
2010-05-17,22.358325958251953
2010-05-18,22.06443214416504
2010-05-19,22.124052047729492
2010-05-20,21.40578842163086
2010-05-21,21.49663543701172
2010-05-24,21.542062759399414
2010-05-25,21.439861297607422
2010-05-26,21.30926513671875
2010-05-27,21.888412475585938
2010-05-28,21.754980087280273
2010-06-01,21.689680099487305
2010-06-02,21.930992126464844
2010-06-03,21.825956344604492
2010-06-04,21.266674041748047
2010-06-07,20.894773483276367
2010-06-08,20.971426010131836
2010-06-09,21.03388023376465
2010-06-10,21.62439727783203
2010-06-11,21.75782012939453
2010-06-14,21.754980087280273
2010-06-15,22.121204376220703
2010-06-16,21.928159713745117
2010-06-17,21.7464599609375
2010-06-18,21.627229690551758
2010-06-21,21.701038360595703
2010-06-22,21.224098205566406
2010-06-23,21.048080444335938
2010-06-24,20.341175079345703
2010-06-25,20.292909622192383
2010-06-28,20.179351806640625
2010-06-29,19.986295700073242
2010-06-30,19.642791748046875
2010-07-01,19.855716705322266
2010-07-02,19.7109317779541
2010-07-06,19.821643829345703
2010-07-07,20.457569122314453
2010-07-08,20.616552352905273
2010-07-09,20.505836486816406
2010-07-12,20.44621467590332
2010-07-13,20.786888122558594
2010-07-14,20.338340759277344
2010-07-15,20.176513671875
2010-07-16,19.713768005371094
2010-07-19,19.818811416625977
2010-07-20,19.83016014099121
2010-07-21,19.74782943725586
2010-07-22,18.986989974975586
2010-07-23,19.58600616455078
2010-07-26,19.781898498535156
2010-07-27,19.730802536010742
2010-07-28,19.699573516845703
2010-07-29,19.47245216369629
2010-07-30,19.631431579589844
2010-08-02,20.13677215576172
2010-08-03,20.011857986450195
2010-08-04,20.04024887084961
2010-08-05,19.852874755859375
2010-08-06,19.784738540649414
2010-08-09,19.833005905151367
2010-08-10,19.742156982421875
2010-08-11,19.568979263305664
2010-08-12,19.702415466308594
2010-08-13,19.617250442504883
2010-08-16,19.38159942626953
2010-08-17,19.781898498535156
2010-08-18,19.850387573242188
2010-08-19,19.299623489379883
2010-08-20,19.50224494934082
2010-08-23,19.302474975585938
2010-08-24,19.162643432617188
2010-08-25,19.73338508605957
2010-08-26,19.687721252441406
2010-08-27,20.0444393157959
2010-08-30,19.75906753540039
2010-08-31,20.084392547607422
2010-09-01,20.22707748413086
2010-09-02,20.683670043945312
2010-09-03,20.63801383972168
2010-09-07,20.506744384765625
2010-09-08,20.635160446166992
2010-09-09,20.555261611938477
2010-09-10,20.623741149902344
2010-09-13,20.8149471282959
2010-09-14,20.677967071533203
2010-09-15,20.575227737426758
2010-09-16,20.663700103759766
2010-09-17,20.68082046508789
2010-09-20,21.320053100585938
2010-09-21,21.505542755126953
2010-09-22,21.536928176879883
2010-09-23,21.240137100219727
2010-09-24,21.47700309753418
2010-09-27,21.499832153320312
2010-09-28,21.856542587280273
